,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
8847,3.0,2002-12-30,479,1.0,3.0,266.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5909090909090909,22.0,98.0,0.0,0.0,0.25,16.0,98.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
6756,21.0,2002-04-08,222,1.0,0.0,0.0,1.0,1.0,0.5909090909090909,22.0,98.0,0.0,0.0,0.25,16.0,98.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3793103448275862,29.0,1.0,0.0
6738,21.0,2002-04-08,222,1.0,0.0,98.0,0.0,0.0,0.25,16.0,98.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3793103448275862,29.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0
6003,3.0,2001-12-31,203,1.0,3.0,98.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3793103448275862,29.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,21.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
5559,59.0,2001-09-24,139,1.0,0.0,14.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3793103448275862,29.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,21.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
5425,55.0,2001-09-10,138,1.0,3.0,14.0,0.0,0.0,0.3793103448275862,29.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,21.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.25,16.0,49.0,0.0,0.25,0.4186046511627907,43.0,0.0,0.0
5274,53.0,2001-08-27,125,1.0,3.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,21.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.25,16.0,49.0,0.0,0.25,0.4186046511627907,43.0,0.0,1.0,1.0,0.6,10.0,0.0,0.0
5127,50.0,2001-08-13,120,1.0,3.0,21.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.25,16.0,49.0,0.0,0.25,0.4186046511627907,43.0,0.0,1.0,1.0,0.6,10.0,0.0,1.0,0.6,0.6,50.0,0.0,0.0
4893,45.0,2001-07-23,105,1.0,0.0,7.0,0.0,0.0,0.25,16.0,49.0,0.0,0.25,0.4186046511627907,43.0,0.0,1.0,1.0,0.6,10.0,0.0,1.0,0.6,0.6,50.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
4786,42.0,2001-07-16,100,1.0,0.0,49.0,0.0,0.25,0.4186046511627907,43.0,0.0,1.0,1.0,0.6,10.0,0.0,1.0,0.6,0.6,50.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.5128205128205128,39.0,0.0,0.0
