,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46600,53.0,2016-09-20,48,0.0,3.0,18.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.5555555555555556,36.0,2.0,1.0,1.0,0.6333333333333333,30.0,14.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0,0.0,0.44,25.0,0.0,0.0
46570,52.0,2016-09-02,48,1.0,3.0,2.0,1.0,1.0,0.5555555555555556,36.0,2.0,1.0,1.0,0.6333333333333333,30.0,14.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,0.0
46544,52.0,2016-08-31,48,1.0,3.0,2.0,1.0,1.0,0.6333333333333333,30.0,14.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0
46480,52.0,2016-08-29,48,1.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,22.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0
46371,50.0,2016-08-15,47,1.0,3.0,3.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,22.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
46363,49.0,2016-08-12,48,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,22.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,0.0
46358,49.0,2016-08-11,48,1.0,3.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,22.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,11.0,0.0,0.0,0.3870967741935484,31.0,1.0,1.0
46352,49.0,2016-08-10,48,1.0,3.0,22.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,11.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,0.6,0.5192307692307693,52.0,0.0,1.0
46190,45.0,2016-07-19,45,1.0,0.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,11.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,0.6,0.5192307692307693,52.0,30.0,0.0,0.4,0.4222222222222222,45.0,0.0,0.0
46093,41.0,2016-07-13,44,1.0,0.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,11.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,0.6,0.5192307692307693,52.0,30.0,0.0,0.4,0.4222222222222222,45.0,2.0,1.0,1.0,0.6206896551724138,29.0,1.0,0.0
