,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
35559,38.0,2012-07-10,138,1.0,0.0,526.0,0.0,0.0,0.35,20.0,188.0,0.0,0.3333333333333333,0.4482758620689655,29.0,64.0,0.0,0.25,0.42105263157894735,38.0,73.0,0.0,0.0,0.2777777777777778,18.0,30.0,0.0,0.0,0.35,20.0,0.0,0.0
31534,7.0,2011-01-31,178,1.0,3.0,188.0,0.0,0.3333333333333333,0.4482758620689655,29.0,64.0,0.0,0.25,0.42105263157894735,38.0,73.0,0.0,0.0,0.2777777777777778,18.0,30.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
30369,42.0,2010-07-27,144,1.0,0.0,64.0,0.0,0.25,0.42105263157894735,38.0,73.0,0.0,0.0,0.2777777777777778,18.0,30.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,0.0,0.0
29836,31.0,2010-05-24,107,1.0,0.0,73.0,0.0,0.0,0.2777777777777778,18.0,30.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,155.0,0.0,0.0,0.28,25.0,0.0,0.0
29235,19.0,2010-03-12,129,1.0,3.0,30.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,155.0,0.0,0.0,0.28,25.0,67.0,0.0,0.25,0.43902439024390244,41.0,0.0,0.0
28960,10.0,2010-02-10,131,1.0,0.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,155.0,0.0,0.0,0.28,25.0,67.0,0.0,0.25,0.43902439024390244,41.0,2.0,1.0,0.6,0.5641025641025641,39.0,0.0,0.0
28874,7.0,2010-02-04,134,1.0,3.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,155.0,0.0,0.0,0.28,25.0,67.0,0.0,0.25,0.43902439024390244,41.0,2.0,1.0,0.6,0.5641025641025641,39.0,29.0,0.0,0.0,0.36666666666666664,30.0,1.0,0.0
28868,7.0,2010-02-02,134,1.0,3.0,155.0,0.0,0.0,0.28,25.0,67.0,0.0,0.25,0.43902439024390244,41.0,2.0,1.0,0.6,0.5641025641025641,39.0,29.0,0.0,0.0,0.36666666666666664,30.0,104.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
27962,49.0,2009-08-31,107,1.0,3.0,67.0,0.0,0.25,0.43902439024390244,41.0,2.0,1.0,0.6,0.5641025641025641,39.0,29.0,0.0,0.0,0.36666666666666664,30.0,104.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
27441,36.0,2009-06-25,118,1.0,2.0,2.0,1.0,0.6,0.5641025641025641,39.0,29.0,0.0,0.0,0.36666666666666664,30.0,104.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,158.0,0.0,0.0,0.3870967741935484,31.0,1.0,0.0
27405,36.0,2009-06-23,118,1.0,2.0,29.0,0.0,0.0,0.36666666666666664,30.0,104.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,158.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,0.6,0.5106382978723404,47.0,0.0,1.0
27124,31.0,2009-05-25,117,1.0,0.0,104.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,158.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,0.6,0.5106382978723404,47.0,406.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
26222,10.0,2009-02-10,125,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,158.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,0.6,0.5106382978723404,47.0,406.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
26134,7.0,2009-02-03,124,1.0,3.0,158.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,0.6,0.5106382978723404,47.0,406.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.3684210526315789,19.0,143.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
25349,51.0,2008-08-29,137,1.0,3.0,3.0,1.0,0.6,0.5106382978723404,47.0,406.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.3684210526315789,19.0,143.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,0.0
25309,51.0,2008-08-26,137,1.0,3.0,406.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.3684210526315789,19.0,143.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5172413793103449,29.0,12.0,0.0,0.0,0.25,16.0,0.0,1.0
22117,41.0,2007-07-17,144,1.0,3.0,8.0,0.0,0.0,0.3684210526315789,19.0,143.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5172413793103449,29.0,12.0,0.0,0.0,0.25,16.0,2.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
