,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
29692,28.0,2010-05-04,422,1.0,0.0,41.0,0.0,0.0,0.4,20.0,9.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,296.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
29326,20.0,2010-03-24,441,1.0,3.0,9.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,296.0,0.0,0.0,0.3684210526315789,19.0,66.0,0.0,0.0,0.5,6.0,0.0,0.0
29289,19.0,2010-03-15,694,1.0,3.0,2.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,296.0,0.0,0.0,0.3684210526315789,19.0,66.0,0.0,0.0,0.5,6.0,28.0,0.0,0.0,0.2,15.0,2.0,0.0
29258,19.0,2010-03-13,694,1.0,3.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,296.0,0.0,0.0,0.3684210526315789,19.0,66.0,0.0,0.0,0.5,6.0,28.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
29229,19.0,2010-03-11,694,1.0,3.0,296.0,0.0,0.0,0.3684210526315789,19.0,66.0,0.0,0.0,0.5,6.0,28.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0
27063,30.0,2009-05-19,38,1.0,0.0,66.0,0.0,0.0,0.5,6.0,28.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
26533,19.0,2009-03-14,29,1.0,3.0,28.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.65,20.0,3.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
26271,11.0,2009-02-14,28,0.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.65,20.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,3.0,0.0
26267,11.0,2009-02-13,28,0.0,3.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.65,20.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0
26261,11.0,2009-02-12,28,0.0,3.0,1.0,1.0,1.0,0.65,20.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.8571428571428571,14.0,1.0,1.0
26254,11.0,2009-02-11,28,0.0,3.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,1.0
26211,9.0,2009-02-08,29,0.0,1.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,10.0,0.0,0.0,0.3870967741935484,31.0,4.0,0.0
