,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38018,37.0,2013-06-24,416,1.0,2.0,301.0,0.0,0.4,0.49019607843137253,51.0,26.0,0.0,0.3333333333333333,0.48717948717948717,39.0,6.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,8.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
35989,51.0,2012-08-27,100,1.0,3.0,26.0,0.0,0.3333333333333333,0.48717948717948717,39.0,6.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.38461538461538464,26.0,0.0,0.0
35814,47.0,2012-08-01,92,1.0,3.0,6.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.38461538461538464,26.0,13.0,0.0,0.25,0.425,40.0,0.0,0.0
35788,46.0,2012-07-26,89,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.38461538461538464,26.0,13.0,0.0,0.25,0.425,40.0,2.0,1.0,0.75,0.4888888888888889,45.0,1.0,0.0
35777,46.0,2012-07-24,89,1.0,3.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.38461538461538464,26.0,13.0,0.0,0.25,0.425,40.0,2.0,1.0,0.75,0.4888888888888889,45.0,27.0,0.0,0.5,0.45,20.0,0.0,1.0
35690,43.0,2012-07-16,88,1.0,0.0,6.0,0.0,0.3333333333333333,0.38461538461538464,26.0,13.0,0.0,0.25,0.425,40.0,2.0,1.0,0.75,0.4888888888888889,45.0,27.0,0.0,0.5,0.45,20.0,20.0,0.0,0.0,0.3,10.0,0.0,0.0
35617,40.0,2012-07-10,89,1.0,0.0,13.0,0.0,0.25,0.425,40.0,2.0,1.0,0.75,0.4888888888888889,45.0,27.0,0.0,0.5,0.45,20.0,20.0,0.0,0.0,0.3,10.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
35491,37.0,2012-06-27,93,1.0,2.0,2.0,1.0,0.75,0.4888888888888889,45.0,27.0,0.0,0.5,0.45,20.0,20.0,0.0,0.0,0.3,10.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
35446,37.0,2012-06-25,93,1.0,2.0,27.0,0.0,0.5,0.45,20.0,20.0,0.0,0.0,0.3,10.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
35208,32.0,2012-05-29,85,1.0,0.0,20.0,0.0,0.0,0.3,10.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
35047,29.0,2012-05-09,77,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
35026,29.0,2012-05-07,77,1.0,0.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
34967,27.0,2012-05-01,78,1.0,0.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.6,30.0,0.0,0.0
34886,24.0,2012-04-25,82,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
34872,24.0,2012-04-24,82,1.0,0.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,45.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
34770,21.0,2012-04-14,100,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,45.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0
34767,21.0,2012-04-13,100,1.0,0.0,2.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,45.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0
34758,21.0,2012-04-11,100,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,45.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0
34747,21.0,2012-04-09,100,1.0,0.0,45.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
34399,13.0,2012-02-24,118,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.2,15.0,2.0,0.0
34395,13.0,2012-02-23,118,1.0,0.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0
34383,13.0,2012-02-21,118,1.0,0.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,27.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,1.0
34360,12.0,2012-02-16,121,0.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,27.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
34352,12.0,2012-02-14,121,0.0,0.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,27.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0,1.0,0.6190476190476191,21.0,68.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0
34246,8.0,2012-02-02,126,1.0,0.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,27.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0,1.0,0.6190476190476191,21.0,68.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,0.0
34233,8.0,2012-01-31,126,1.0,0.0,27.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0,1.0,0.6190476190476191,21.0,68.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,0.6666666666666666,0.5,32.0,9.0,0.0,0.3333333333333333,0.5,30.0,0.0,1.0
