,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44992,18.0,2016-02-23,70,0.0,0.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.4642857142857143,28.0,22.0,0.0,0.25,0.4418604651162791,43.0,8.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
44900,15.0,2016-02-16,62,1.0,0.0,7.0,0.0,0.3333333333333333,0.4642857142857143,28.0,22.0,0.0,0.25,0.4418604651162791,43.0,8.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.46153846153846156,26.0,0.0,0.0
44758,10.0,2016-02-09,60,1.0,0.0,22.0,0.0,0.25,0.4418604651162791,43.0,8.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.46153846153846156,26.0,127.0,0.0,0.5,0.5641025641025641,39.0,0.0,0.0
44552,6.0,2016-01-18,62,1.0,3.0,8.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.46153846153846156,26.0,127.0,0.0,0.5,0.5641025641025641,39.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,0.0,0.0
44487,4.0,2016-01-10,59,1.0,3.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.46153846153846156,26.0,127.0,0.0,0.5,0.5641025641025641,39.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,7.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
44473,3.0,2016-01-06,64,1.0,3.0,1.0,1.0,0.6666666666666666,0.46153846153846156,26.0,127.0,0.0,0.5,0.5641025641025641,39.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,7.0,0.0,0.3333333333333333,0.4,25.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
44463,3.0,2016-01-05,64,1.0,3.0,127.0,0.0,0.5,0.5641025641025641,39.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,7.0,0.0,0.3333333333333333,0.4,25.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
43855,52.0,2015-08-31,49,1.0,3.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,7.0,0.0,0.3333333333333333,0.4,25.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
43819,51.0,2015-08-25,48,1.0,3.0,7.0,0.0,0.3333333333333333,0.4,25.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0,1.0,0.65,20.0,0.0,0.0
43760,50.0,2015-08-18,46,1.0,3.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0,1.0,0.65,20.0,25.0,0.0,0.25,0.39473684210526316,38.0,0.0,0.0
