,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
24034,22.0,2008-04-17,205,1.0,0.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,213.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.9230769230769231,13.0,50.0,0.0,0.0,0.2,15.0,1.0,0.0
24018,22.0,2008-04-14,205,1.0,0.0,213.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.9230769230769231,13.0,50.0,0.0,0.0,0.2,15.0,146.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
22702,53.0,2007-09-14,230,1.0,0.0,2.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.9230769230769231,13.0,50.0,0.0,0.0,0.2,15.0,146.0,0.0,0.0,0.43478260869565216,23.0,210.0,0.0,0.3333333333333333,0.5161290322580645,31.0,2.0,0.0
22692,53.0,2007-09-12,230,1.0,0.0,1.0,1.0,1.0,0.9230769230769231,13.0,50.0,0.0,0.0,0.2,15.0,146.0,0.0,0.0,0.43478260869565216,23.0,210.0,0.0,0.3333333333333333,0.5161290322580645,31.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0
22686,53.0,2007-09-11,230,1.0,0.0,50.0,0.0,0.0,0.2,15.0,146.0,0.0,0.0,0.43478260869565216,23.0,210.0,0.0,0.3333333333333333,0.5161290322580645,31.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
22206,44.0,2007-07-23,179,1.0,0.0,146.0,0.0,0.0,0.43478260869565216,23.0,210.0,0.0,0.3333333333333333,0.5161290322580645,31.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,167.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
20904,16.0,2007-02-27,224,1.0,0.0,210.0,0.0,0.3333333333333333,0.5161290322580645,31.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,167.0,0.0,0.0,0.29411764705882354,17.0,189.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
19444,46.0,2006-08-01,206,1.0,0.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,167.0,0.0,0.0,0.29411764705882354,17.0,189.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.2,15.0,0.0,0.0
19293,42.0,2006-07-18,201,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,167.0,0.0,0.0,0.29411764705882354,17.0,189.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
19278,42.0,2006-07-17,201,1.0,0.0,167.0,0.0,0.0,0.29411764705882354,17.0,189.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
17750,8.0,2006-01-31,178,1.0,0.0,189.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.38095238095238093,21.0,43.0,0.0,0.4,0.5,50.0,0.0,0.0
16423,43.0,2005-07-26,154,1.0,0.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.38095238095238093,21.0,43.0,0.0,0.4,0.5,50.0,112.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
16394,42.0,2005-07-20,167,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.38095238095238093,21.0,43.0,0.0,0.4,0.5,50.0,112.0,0.0,0.0,0.29411764705882354,17.0,135.0,0.0,0.3333333333333333,0.5,26.0,1.0,0.0
16380,42.0,2005-07-19,167,1.0,0.0,14.0,0.0,0.0,0.38095238095238093,21.0,43.0,0.0,0.4,0.5,50.0,112.0,0.0,0.0,0.29411764705882354,17.0,135.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
16230,38.0,2005-07-05,166,1.0,0.0,43.0,0.0,0.4,0.5,50.0,112.0,0.0,0.0,0.29411764705882354,17.0,135.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,0.0,0.0
15792,31.0,2005-05-23,152,1.0,0.0,112.0,0.0,0.0,0.29411764705882354,17.0,135.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,62.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,0.0
14804,7.0,2005-01-31,161,1.0,3.0,135.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,62.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
14047,53.0,2004-09-18,198,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,62.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.7058823529411765,17.0,56.0,0.0,0.0,0.25,16.0,2.0,0.0
14042,53.0,2004-09-16,198,1.0,3.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,62.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.7058823529411765,17.0,56.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
14034,53.0,2004-09-15,198,1.0,3.0,62.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.7058823529411765,17.0,56.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,307.0,0.0,0.0,0.4,20.0,0.0,1.0
13472,41.0,2004-07-15,280,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,56.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,307.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
13455,41.0,2004-07-13,280,1.0,0.0,56.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,307.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,50.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0
12869,29.0,2004-05-18,299,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,307.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,50.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.4,20.0,1.0,0.0
12857,29.0,2004-05-17,299,1.0,0.0,307.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,50.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.4,20.0,20.0,0.0,0.3333333333333333,0.4,30.0,0.0,1.0
10524,40.0,2003-07-15,304,1.0,0.0,7.0,0.0,0.0,0.3333333333333333,18.0,50.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.4,20.0,20.0,0.0,0.3333333333333333,0.4,30.0,421.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
