,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
21968,36.0,2007-07-02,195,1.0,2.0,4.0,1.0,1.0,0.6129032258064516,31.0,2.0,1.0,0.6,0.5254237288135594,59.0,158.0,0.0,0.0,0.0,3.0,2.0,1.0,0.75,0.6,40.0,2.0,1.0,0.6,0.52,50.0,2.0,0.0
21935,36.0,2007-06-28,195,1.0,2.0,2.0,1.0,0.6,0.5254237288135594,59.0,158.0,0.0,0.0,0.0,3.0,2.0,1.0,0.75,0.6,40.0,2.0,1.0,0.6,0.52,50.0,81.0,0.0,0.0,0.4,20.0,1.0,1.0
21886,36.0,2007-06-26,195,1.0,2.0,158.0,0.0,0.0,0.0,3.0,2.0,1.0,0.75,0.6,40.0,2.0,1.0,0.6,0.52,50.0,81.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,1.0
20589,6.0,2007-01-19,163,1.0,3.0,2.0,1.0,0.75,0.6,40.0,2.0,1.0,0.6,0.52,50.0,81.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,21.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,0.0
20558,6.0,2007-01-17,163,1.0,3.0,2.0,1.0,0.6,0.52,50.0,81.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,21.0,0.0,0.3333333333333333,0.48717948717948717,39.0,70.0,0.0,0.0,0.4,20.0,1.0,1.0
20492,6.0,2007-01-15,163,1.0,3.0,81.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,21.0,0.0,0.3333333333333333,0.48717948717948717,39.0,70.0,0.0,0.0,0.4,20.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,1.0
20264,65.0,2006-10-26,196,0.0,1.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,21.0,0.0,0.3333333333333333,0.48717948717948717,39.0,70.0,0.0,0.0,0.4,20.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
20253,65.0,2006-10-24,196,0.0,1.0,21.0,0.0,0.3333333333333333,0.48717948717948717,39.0,70.0,0.0,0.0,0.4,20.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
20010,58.0,2006-10-03,185,1.0,3.0,70.0,0.0,0.0,0.4,20.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
19376,44.0,2006-07-25,172,1.0,3.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.25,0.42105263157894735,38.0,0.0,0.0
