,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46583,52.0,2016-09-04,44,1.0,3.0,2.0,1.0,0.75,0.5555555555555556,36.0,2.0,1.0,0.75,0.5675675675675675,37.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,3.0,0.0
46568,52.0,2016-09-02,44,1.0,3.0,2.0,1.0,0.75,0.5675675675675675,37.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,6.0,0.0,0.0,0.2777777777777778,18.0,2.0,1.0
46539,52.0,2016-08-31,44,1.0,3.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,6.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,1.0,0.5833333333333334,24.0,1.0,1.0
46489,52.0,2016-08-29,44,1.0,3.0,4.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,6.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,1.0,0.5833333333333334,24.0,26.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
46461,51.0,2016-08-25,44,1.0,3.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,6.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,1.0,0.5833333333333334,24.0,26.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
46448,51.0,2016-08-23,44,1.0,3.0,6.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,1.0,0.5833333333333334,24.0,26.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0
46398,50.0,2016-08-17,44,1.0,3.0,1.0,1.0,1.0,0.5833333333333334,24.0,26.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.65,20.0,1.0,0.0
46385,50.0,2016-08-16,44,1.0,3.0,26.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
46248,46.0,2016-07-21,41,1.0,3.0,0.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.0,0.42857142857142855,35.0,1.0,0.0
46244,46.0,2016-07-21,41,1.0,3.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.0,0.42857142857142855,35.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0
