,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46489,52.0,2016-08-29,90,1.0,3.0,42.0,0.0,0.0,0.46153846153846156,26.0,3.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.6666666666666666,27.0,13.0,0.0,0.0,0.28,25.0,0.0,0.0
46163,44.0,2016-07-18,88,1.0,0.0,3.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.6666666666666666,27.0,13.0,0.0,0.0,0.28,25.0,33.0,0.0,0.0,0.25,24.0,0.0,0.0
46068,40.0,2016-07-15,93,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.6666666666666666,27.0,13.0,0.0,0.0,0.28,25.0,33.0,0.0,0.0,0.25,24.0,2.0,1.0,1.0,0.7037037037037037,27.0,2.0,0.0
46059,40.0,2016-07-13,93,1.0,0.0,2.0,1.0,0.6666666666666666,0.6666666666666666,27.0,13.0,0.0,0.0,0.28,25.0,33.0,0.0,0.0,0.25,24.0,2.0,1.0,1.0,0.7037037037037037,27.0,29.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
46049,40.0,2016-07-11,93,1.0,0.0,13.0,0.0,0.0,0.28,25.0,33.0,0.0,0.0,0.25,24.0,2.0,1.0,1.0,0.7037037037037037,27.0,29.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.44,25.0,0.0,1.0
45966,39.0,2016-06-28,96,1.0,2.0,33.0,0.0,0.0,0.25,24.0,2.0,1.0,1.0,0.7037037037037037,27.0,29.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.44,25.0,10.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
45716,33.0,2016-05-26,99,1.0,0.0,2.0,1.0,1.0,0.7037037037037037,27.0,29.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.44,25.0,10.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
45673,33.0,2016-05-24,99,1.0,0.0,29.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.44,25.0,10.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
45413,27.0,2016-04-25,96,1.0,0.0,7.0,0.0,0.0,0.44,25.0,10.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,39.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
45311,24.0,2016-04-18,97,1.0,0.0,10.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,39.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
45249,22.0,2016-04-08,95,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,39.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.14285714285714285,14.0,2.0,0.0
45242,22.0,2016-04-06,95,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,39.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.44,25.0,1.0,1.0
45231,22.0,2016-04-04,95,1.0,0.0,39.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.44,25.0,224.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0
45002,18.0,2016-02-25,96,0.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.44,25.0,224.0,0.0,0.0,0.3870967741935484,31.0,124.0,0.0,0.0,0.2,15.0,1.0,0.0
44991,18.0,2016-02-23,96,0.0,0.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.44,25.0,224.0,0.0,0.0,0.3870967741935484,31.0,124.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,1.0
44904,15.0,2016-02-16,101,1.0,0.0,7.0,0.0,0.0,0.44,25.0,224.0,0.0,0.0,0.3870967741935484,31.0,124.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,13.0,0.0,0.0,0.16666666666666666,6.0,0.0,0.0
44755,10.0,2016-02-09,97,1.0,0.0,224.0,0.0,0.0,0.3870967741935484,31.0,124.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,13.0,0.0,0.0,0.16666666666666666,6.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,0.0
43331,39.0,2015-06-30,137,1.0,2.0,124.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,13.0,0.0,0.0,0.16666666666666666,6.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
42340,17.0,2015-02-26,128,1.0,0.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,13.0,0.0,0.0,0.16666666666666666,6.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,7.0,0.0,0.0,0.3333333333333333,18.0,162.0,0.0,0.0,0.36666666666666664,30.0,1.0,0.0
42334,17.0,2015-02-24,128,1.0,0.0,13.0,0.0,0.0,0.16666666666666666,6.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,7.0,0.0,0.0,0.3333333333333333,18.0,162.0,0.0,0.0,0.36666666666666664,30.0,89.0,0.0,0.0,0.2692307692307692,26.0,0.0,1.0
42190,12.0,2015-02-11,117,0.0,0.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,7.0,0.0,0.0,0.3333333333333333,18.0,162.0,0.0,0.0,0.36666666666666664,30.0,89.0,0.0,0.0,0.2692307692307692,26.0,2.0,1.0,0.6,0.5230769230769231,65.0,1.0,0.0
42180,12.0,2015-02-10,117,0.0,0.0,7.0,0.0,0.0,0.3333333333333333,18.0,162.0,0.0,0.0,0.36666666666666664,30.0,89.0,0.0,0.0,0.2692307692307692,26.0,2.0,1.0,0.6,0.5230769230769231,65.0,95.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,1.0
42074,8.0,2015-02-03,116,1.0,0.0,162.0,0.0,0.0,0.36666666666666664,30.0,89.0,0.0,0.0,0.2692307692307692,26.0,2.0,1.0,0.6,0.5230769230769231,65.0,95.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
41255,51.0,2014-08-25,109,1.0,3.0,89.0,0.0,0.0,0.2692307692307692,26.0,2.0,1.0,0.6,0.5230769230769231,65.0,95.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,721.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
40441,32.0,2014-05-28,143,1.0,0.0,2.0,1.0,0.6,0.5230769230769231,65.0,95.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,721.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
40406,32.0,2014-05-26,143,1.0,0.0,95.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,721.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,1.0
39686,15.0,2014-02-20,125,1.0,0.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,721.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,377.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
39668,15.0,2014-02-17,125,1.0,0.0,721.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,377.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.44,25.0,0.0,1.0
