,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46485,52.0,2016-08-29,312,1.0,3.0,39.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5384615384615384,26.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6,25.0,15.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
46239,46.0,2016-07-21,437,1.0,3.0,2.0,1.0,1.0,0.5384615384615384,26.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6,25.0,15.0,0.0,0.0,0.36666666666666664,30.0,13.0,0.0,0.0,0.44,25.0,1.0,0.0
46222,46.0,2016-07-19,437,1.0,3.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6,25.0,15.0,0.0,0.0,0.36666666666666664,30.0,13.0,0.0,0.0,0.44,25.0,21.0,0.0,0.0,0.3793103448275862,29.0,0.0,1.0
46119,42.0,2016-07-13,546,1.0,2.0,1.0,1.0,0.6666666666666666,0.6,25.0,15.0,0.0,0.0,0.36666666666666664,30.0,13.0,0.0,0.0,0.44,25.0,21.0,0.0,0.0,0.3793103448275862,29.0,7.0,0.0,0.0,0.25,16.0,1.0,0.0
46111,42.0,2016-07-12,546,1.0,2.0,15.0,0.0,0.0,0.36666666666666664,30.0,13.0,0.0,0.0,0.44,25.0,21.0,0.0,0.0,0.3793103448275862,29.0,7.0,0.0,0.0,0.25,16.0,54.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
45923,39.0,2016-06-27,589,1.0,2.0,13.0,0.0,0.0,0.44,25.0,21.0,0.0,0.0,0.3793103448275862,29.0,7.0,0.0,0.0,0.25,16.0,54.0,0.0,0.0,0.3333333333333333,18.0,65.0,0.0,0.25,0.4807692307692308,52.0,0.0,0.0
45816,36.0,2016-06-14,594,1.0,2.0,21.0,0.0,0.0,0.3793103448275862,29.0,7.0,0.0,0.0,0.25,16.0,54.0,0.0,0.0,0.3333333333333333,18.0,65.0,0.0,0.25,0.4807692307692308,52.0,874.0,0.0,0.25,0.42105263157894735,38.0,0.0,0.0
45663,33.0,2016-05-24,662,1.0,0.0,7.0,0.0,0.0,0.25,16.0,54.0,0.0,0.0,0.3333333333333333,18.0,65.0,0.0,0.25,0.4807692307692308,52.0,874.0,0.0,0.25,0.42105263157894735,38.0,15.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
45611,32.0,2016-05-17,669,1.0,0.0,54.0,0.0,0.0,0.3333333333333333,18.0,65.0,0.0,0.25,0.4807692307692308,52.0,874.0,0.0,0.25,0.42105263157894735,38.0,15.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
45130,20.0,2016-03-24,1045,1.0,3.0,65.0,0.0,0.25,0.4807692307692308,52.0,874.0,0.0,0.25,0.42105263157894735,38.0,15.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,208.0,0.0,1.0,0.5333333333333333,15.0,0.0,0.0
44596,6.0,2016-01-19,0,1.0,3.0,874.0,0.0,0.25,0.42105263157894735,38.0,15.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,208.0,0.0,1.0,0.5333333333333333,15.0,2.0,1.0,0.6,0.5384615384615384,52.0,0.0,0.0
38666,51.0,2013-08-28,185,1.0,3.0,15.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,208.0,0.0,1.0,0.5333333333333333,15.0,2.0,1.0,0.6,0.5384615384615384,52.0,5.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
38534,49.0,2013-08-13,185,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,208.0,0.0,1.0,0.5333333333333333,15.0,2.0,1.0,0.6,0.5384615384615384,52.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,0.0
38511,49.0,2013-08-12,185,1.0,3.0,208.0,0.0,1.0,0.5333333333333333,15.0,2.0,1.0,0.6,0.5384615384615384,52.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
36747,6.0,2013-01-16,57,1.0,3.0,2.0,1.0,0.6,0.5384615384615384,52.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,6.0,0.0,0.0,0.4090909090909091,22.0,68.0,0.0,0.0,0.3157894736842105,19.0,1.0,0.0
36697,6.0,2013-01-14,57,1.0,3.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,6.0,0.0,0.0,0.4090909090909091,22.0,68.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5,30.0,0.0,1.0
36642,4.0,2013-01-09,59,1.0,3.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,6.0,0.0,0.0,0.4090909090909091,22.0,68.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5,30.0,8.0,0.0,0.0,0.25,16.0,1.0,0.0
36629,4.0,2013-01-07,59,1.0,3.0,6.0,0.0,0.0,0.4090909090909091,22.0,68.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5,30.0,8.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
36550,1.0,2013-01-01,61,1.0,3.0,68.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5,30.0,8.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,0.0
36439,62.0,2012-10-25,57,0.0,3.0,2.0,1.0,0.6666666666666666,0.5,30.0,8.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.39285714285714285,28.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
36423,62.0,2012-10-23,57,0.0,3.0,8.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.39285714285714285,28.0,7.0,0.0,0.0,0.4090909090909091,22.0,24.0,0.0,0.0,0.3793103448275862,29.0,0.0,1.0
36363,60.0,2012-10-15,56,0.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.39285714285714285,28.0,7.0,0.0,0.0,0.4090909090909091,22.0,24.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0,1.0,0.6666666666666666,27.0,0.0,0.0
36291,58.0,2012-10-08,61,1.0,3.0,7.0,0.0,0.3333333333333333,0.39285714285714285,28.0,7.0,0.0,0.0,0.4090909090909091,22.0,24.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0,1.0,0.6666666666666666,27.0,15.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
36225,56.0,2012-10-01,62,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,24.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0,1.0,0.6666666666666666,27.0,15.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
36195,55.0,2012-09-24,60,0.0,3.0,24.0,0.0,0.0,0.3793103448275862,29.0,2.0,1.0,1.0,0.6666666666666666,27.0,15.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
36070,51.0,2012-08-31,70,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,27.0,15.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,6.0,0.0,0.0,0.44,25.0,1.0,0.0
36031,51.0,2012-08-29,70,1.0,3.0,15.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,6.0,0.0,0.0,0.44,25.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0
35902,49.0,2012-08-14,78,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,6.0,0.0,0.0,0.44,25.0,7.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.3448275862068966,29.0,1.0,0.0
35885,49.0,2012-08-13,78,1.0,3.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,6.0,0.0,0.0,0.44,25.0,7.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.75,0.6111111111111112,36.0,0.0,1.0
35801,47.0,2012-07-30,78,1.0,3.0,6.0,0.0,0.0,0.44,25.0,7.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.75,24.0,0.0,0.0
35775,46.0,2012-07-24,79,1.0,3.0,7.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.6551724137931034,29.0,0.0,0.0
35666,42.0,2012-07-17,79,1.0,3.0,14.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.6551724137931034,29.0,27.0,0.0,0.4,0.4186046511627907,43.0,0.0,0.0
35537,37.0,2012-07-03,126,1.0,2.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.6551724137931034,29.0,27.0,0.0,0.4,0.4186046511627907,43.0,2.0,1.0,1.0,0.5714285714285714,35.0,3.0,0.0
35526,37.0,2012-06-30,126,1.0,2.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.6551724137931034,29.0,27.0,0.0,0.4,0.4186046511627907,43.0,2.0,1.0,1.0,0.5714285714285714,35.0,2.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0
35500,37.0,2012-06-28,126,1.0,2.0,2.0,1.0,1.0,0.6551724137931034,29.0,27.0,0.0,0.4,0.4186046511627907,43.0,2.0,1.0,1.0,0.5714285714285714,35.0,2.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0
