,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46612,53.0,2016-09-21,106,0.0,3.0,1.0,1.0,0.6666666666666666,0.5625,32.0,35.0,0.0,0.0,0.38095238095238093,21.0,24.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,0.0
46601,53.0,2016-09-20,106,0.0,3.0,35.0,0.0,0.0,0.38095238095238093,21.0,24.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,1.0
46379,50.0,2016-08-16,107,1.0,3.0,24.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
46185,44.0,2016-07-23,123,1.0,0.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,57.0,0.0,0.25,0.4222222222222222,45.0,4.0,0.0
46183,44.0,2016-07-22,123,1.0,0.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,57.0,0.0,0.25,0.4222222222222222,45.0,111.0,0.0,0.3333333333333333,0.46875,32.0,3.0,1.0
46179,44.0,2016-07-21,123,1.0,0.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,57.0,0.0,0.25,0.4222222222222222,45.0,111.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0
46171,44.0,2016-07-20,123,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,57.0,0.0,0.25,0.4222222222222222,45.0,111.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.0,0.21739130434782608,23.0,97.0,0.0,0.3333333333333333,0.36,25.0,1.0,1.0
46167,44.0,2016-07-19,123,1.0,0.0,57.0,0.0,0.25,0.4222222222222222,45.0,111.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.0,0.21739130434782608,23.0,97.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0
45655,33.0,2016-05-23,104,1.0,0.0,111.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.0,0.21739130434782608,23.0,97.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.7,10.0,0.0,0.0
44674,7.0,2016-02-02,116,0.0,3.0,15.0,0.0,0.0,0.21739130434782608,23.0,97.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.7,10.0,29.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
44569,6.0,2016-01-18,118,1.0,3.0,97.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.7,10.0,29.0,0.0,0.0,0.3448275862068966,29.0,58.0,0.0,0.0,0.2692307692307692,26.0,0.0,0.0
44165,59.0,2015-10-13,93,1.0,3.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.7,10.0,29.0,0.0,0.0,0.3448275862068966,29.0,58.0,0.0,0.0,0.2692307692307692,26.0,2.0,1.0,0.6,0.5,48.0,0.0,0.0
44039,55.0,2015-09-30,95,0.0,3.0,1.0,1.0,1.0,0.7,10.0,29.0,0.0,0.0,0.3448275862068966,29.0,58.0,0.0,0.0,0.2692307692307692,26.0,2.0,1.0,0.6,0.5,48.0,2.0,1.0,1.0,0.6129032258064516,31.0,1.0,0.0
44028,55.0,2015-09-29,95,0.0,3.0,29.0,0.0,0.0,0.3448275862068966,29.0,58.0,0.0,0.0,0.2692307692307692,26.0,2.0,1.0,0.6,0.5,48.0,2.0,1.0,1.0,0.6129032258064516,31.0,36.0,0.0,0.25,0.45,40.0,0.0,1.0
43854,52.0,2015-08-31,101,1.0,3.0,58.0,0.0,0.0,0.2692307692307692,26.0,2.0,1.0,0.6,0.5,48.0,2.0,1.0,1.0,0.6129032258064516,31.0,36.0,0.0,0.25,0.45,40.0,28.0,0.0,0.0,0.25,16.0,0.0,0.0
43393,39.0,2015-07-04,153,1.0,2.0,2.0,1.0,0.6,0.5,48.0,2.0,1.0,1.0,0.6129032258064516,31.0,36.0,0.0,0.25,0.45,40.0,28.0,0.0,0.0,0.25,16.0,83.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,0.0
43375,39.0,2015-07-02,153,1.0,2.0,2.0,1.0,1.0,0.6129032258064516,31.0,36.0,0.0,0.25,0.45,40.0,28.0,0.0,0.0,0.25,16.0,83.0,0.0,0.3333333333333333,0.43333333333333335,30.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
43331,39.0,2015-06-30,153,1.0,2.0,36.0,0.0,0.25,0.45,40.0,28.0,0.0,0.0,0.25,16.0,83.0,0.0,0.3333333333333333,0.43333333333333335,30.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.65,20.0,0.0,1.0
43034,33.0,2015-05-25,160,1.0,0.0,28.0,0.0,0.0,0.25,16.0,83.0,0.0,0.3333333333333333,0.43333333333333335,30.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.65,20.0,259.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
