,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
26355,14.0,2009-02-19,227,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,120.0,0.0,0.0,0.3333333333333333,18.0,12.0,0.0,0.3333333333333333,0.4583333333333333,24.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,15.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
26347,14.0,2009-02-18,227,0.0,3.0,120.0,0.0,0.0,0.3333333333333333,18.0,12.0,0.0,0.3333333333333333,0.4583333333333333,24.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,15.0,0.0,0.0,0.4090909090909091,22.0,210.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
25703,61.0,2008-10-21,267,0.0,1.0,12.0,0.0,0.3333333333333333,0.4583333333333333,24.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,15.0,0.0,0.0,0.4090909090909091,22.0,210.0,0.0,0.0,0.4090909090909091,22.0,153.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
25605,58.0,2008-10-09,327,0.0,3.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,15.0,0.0,0.0,0.4090909090909091,22.0,210.0,0.0,0.0,0.4090909090909091,22.0,153.0,0.0,0.0,0.3684210526315789,19.0,57.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
25597,58.0,2008-10-08,327,0.0,3.0,15.0,0.0,0.0,0.4090909090909091,22.0,210.0,0.0,0.0,0.4090909090909091,22.0,153.0,0.0,0.0,0.3684210526315789,19.0,57.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0
25427,53.0,2008-09-23,339,0.0,3.0,210.0,0.0,0.0,0.4090909090909091,22.0,153.0,0.0,0.0,0.3684210526315789,19.0,57.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.3333333333333333,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5625,32.0,0.0,0.0
23711,16.0,2008-02-26,464,0.0,1.0,153.0,0.0,0.0,0.3684210526315789,19.0,57.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.3333333333333333,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5625,32.0,154.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,0.0
22715,54.0,2007-09-26,305,0.0,3.0,57.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.3333333333333333,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5625,32.0,154.0,0.0,0.3333333333333333,0.45161290322580644,31.0,111.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
22326,47.0,2007-07-31,260,1.0,3.0,12.0,0.0,0.3333333333333333,0.46153846153846156,26.0,1.0,1.0,0.6666666666666666,0.5625,32.0,154.0,0.0,0.3333333333333333,0.45161290322580644,31.0,111.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
22131,41.0,2007-07-19,255,1.0,3.0,1.0,1.0,0.6666666666666666,0.5625,32.0,154.0,0.0,0.3333333333333333,0.45161290322580644,31.0,111.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,27.0,0.0,0.0,0.2,15.0,1.0,0.0
