,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46650,54.0,2016-09-24,16,0.0,3.0,1.0,1.0,0.6666666666666666,0.64,25.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,19.0,0.0,0.4,0.4791666666666667,48.0,2.0,1.0,0.75,0.6216216216216216,37.0,2.0,1.0,0.75,0.5777777777777777,45.0,2.0,0.0
46646,54.0,2016-09-23,16,0.0,3.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,19.0,0.0,0.4,0.4791666666666667,48.0,2.0,1.0,0.75,0.6216216216216216,37.0,2.0,1.0,0.75,0.5777777777777777,45.0,2.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0
46638,54.0,2016-09-21,16,0.0,3.0,19.0,0.0,0.4,0.4791666666666667,48.0,2.0,1.0,0.75,0.6216216216216216,37.0,2.0,1.0,0.75,0.5777777777777777,45.0,2.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,0.0,1.0
46572,52.0,2016-09-02,17,1.0,3.0,2.0,1.0,0.75,0.6216216216216216,37.0,2.0,1.0,0.75,0.5777777777777777,45.0,2.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
46549,52.0,2016-08-31,17,1.0,3.0,2.0,1.0,0.75,0.5777777777777777,45.0,2.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.6153846153846154,26.0,1.0,1.0
46500,52.0,2016-08-29,17,1.0,3.0,2.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,1.0
46470,51.0,2016-08-27,17,1.0,3.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.3333333333333333,0.5,30.0,4.0,0.0
46468,51.0,2016-08-26,17,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.3333333333333333,0.5,30.0,46.0,0.0,0.0,0.35714285714285715,28.0,3.0,1.0
46466,51.0,2016-08-25,17,1.0,3.0,0.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.3333333333333333,0.5,30.0,46.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0
46461,51.0,2016-08-25,17,1.0,3.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.3333333333333333,0.5,30.0,46.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.6666666666666666,27.0,1.0,1.0
