,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45194,20.0,2016-03-30,18,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,30.0,2.0,1.0,1.0,0.5625,16.0,11.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.2777777777777778,18.0,2.0,0.0
45180,20.0,2016-03-28,18,1.0,3.0,2.0,1.0,1.0,0.5625,16.0,11.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,1.0,0.9230769230769231,13.0,1.0,1.0
45166,20.0,2016-03-26,18,1.0,3.0,11.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,1.0,0.9230769230769231,13.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
45086,19.0,2016-03-15,17,1.0,3.0,2.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,1.0,0.9230769230769231,13.0,1.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.3333333333333333,0.40625,32.0,1.0,0.0
45060,19.0,2016-03-13,17,1.0,3.0,17.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,1.0,0.9230769230769231,13.0,1.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.3333333333333333,0.40625,32.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,1.0
44979,17.0,2016-02-25,18,1.0,3.0,1.0,1.0,1.0,0.9230769230769231,13.0,1.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.3333333333333333,0.40625,32.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,2.0,0.0
44970,17.0,2016-02-24,18,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,11.0,0.0,0.3333333333333333,0.40625,32.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,3.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
44961,17.0,2016-02-23,18,1.0,3.0,11.0,0.0,0.3333333333333333,0.40625,32.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,3.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
44828,12.0,2016-02-12,17,0.0,3.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,3.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,0.0
44824,12.0,2016-02-11,17,0.0,3.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,3.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
