,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45580,31.0,2016-05-16,338,1.0,0.0,468.0,0.0,0.3333333333333333,0.4642857142857143,28.0,162.0,0.0,0.25,0.425,40.0,91.0,0.0,0.0,0.3333333333333333,27.0,35.0,0.0,0.0,0.25,16.0,286.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
42043,7.0,2015-02-03,110,0.0,3.0,162.0,0.0,0.25,0.425,40.0,91.0,0.0,0.0,0.3333333333333333,27.0,35.0,0.0,0.0,0.25,16.0,286.0,0.0,0.3333333333333333,0.4230769230769231,26.0,43.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
41252,51.0,2014-08-25,115,1.0,3.0,91.0,0.0,0.0,0.3333333333333333,27.0,35.0,0.0,0.0,0.25,16.0,286.0,0.0,0.3333333333333333,0.4230769230769231,26.0,43.0,0.0,0.0,0.36666666666666664,30.0,398.0,0.0,0.0,0.2,5.0,0.0,0.0
40413,32.0,2014-05-26,51,1.0,0.0,35.0,0.0,0.0,0.25,16.0,286.0,0.0,0.3333333333333333,0.4230769230769231,26.0,43.0,0.0,0.0,0.36666666666666664,30.0,398.0,0.0,0.0,0.2,5.0,57.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
40091,24.0,2014-04-21,49,1.0,0.0,286.0,0.0,0.3333333333333333,0.4230769230769231,26.0,43.0,0.0,0.0,0.36666666666666664,30.0,398.0,0.0,0.0,0.2,5.0,57.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
38206,40.0,2013-07-09,372,1.0,0.0,43.0,0.0,0.0,0.36666666666666664,30.0,398.0,0.0,0.0,0.2,5.0,57.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.0,0.3157894736842105,19.0,20.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
37779,32.0,2013-05-27,62,1.0,0.0,398.0,0.0,0.0,0.2,5.0,57.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.0,0.3157894736842105,19.0,20.0,0.0,0.3333333333333333,0.4230769230769231,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
34875,24.0,2012-04-24,110,1.0,0.0,57.0,0.0,0.0,0.14285714285714285,14.0,6.0,0.0,0.0,0.3157894736842105,19.0,20.0,0.0,0.3333333333333333,0.4230769230769231,26.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,0.75,0.575,40.0,0.0,0.0
34526,18.0,2012-02-27,97,1.0,3.0,6.0,0.0,0.0,0.3157894736842105,19.0,20.0,0.0,0.3333333333333333,0.4230769230769231,26.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,0.75,0.575,40.0,11.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,0.0
34412,14.0,2012-02-21,96,0.0,3.0,20.0,0.0,0.3333333333333333,0.4230769230769231,26.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,0.75,0.575,40.0,11.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
34271,9.0,2012-02-01,87,0.0,3.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,0.75,0.575,40.0,11.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,1.0,0.5909090909090909,22.0,168.0,0.0,0.0,0.44,25.0,0.0,0.0
34151,6.0,2012-01-18,93,1.0,3.0,2.0,1.0,0.75,0.575,40.0,11.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,1.0,0.5909090909090909,22.0,168.0,0.0,0.0,0.44,25.0,28.0,0.0,0.0,0.40625,32.0,1.0,0.0
34106,6.0,2012-01-16,93,1.0,3.0,11.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,1.0,0.5909090909090909,22.0,168.0,0.0,0.0,0.44,25.0,28.0,0.0,0.0,0.40625,32.0,28.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0
33982,2.0,2012-01-05,98,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,168.0,0.0,0.0,0.44,25.0,28.0,0.0,0.0,0.40625,32.0,28.0,0.0,0.0,0.3333333333333333,27.0,30.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
33973,2.0,2012-01-03,98,1.0,3.0,168.0,0.0,0.0,0.44,25.0,28.0,0.0,0.0,0.40625,32.0,28.0,0.0,0.0,0.3333333333333333,27.0,30.0,0.0,0.0,0.29411764705882354,17.0,234.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0
32996,41.0,2011-07-19,132,1.0,0.0,28.0,0.0,0.0,0.40625,32.0,28.0,0.0,0.0,0.3333333333333333,27.0,30.0,0.0,0.0,0.29411764705882354,17.0,234.0,0.0,0.0,0.35714285714285715,28.0,3.0,1.0,1.0,0.6551724137931034,29.0,0.0,0.0
32764,36.0,2011-06-21,156,1.0,2.0,28.0,0.0,0.0,0.3333333333333333,27.0,30.0,0.0,0.0,0.29411764705882354,17.0,234.0,0.0,0.0,0.35714285714285715,28.0,3.0,1.0,1.0,0.6551724137931034,29.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
32523,31.0,2011-05-24,139,1.0,0.0,30.0,0.0,0.0,0.29411764705882354,17.0,234.0,0.0,0.0,0.35714285714285715,28.0,3.0,1.0,1.0,0.6551724137931034,29.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,26.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
32301,27.0,2011-04-24,110,1.0,0.0,234.0,0.0,0.0,0.35714285714285715,28.0,3.0,1.0,1.0,0.6551724137931034,29.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,26.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
30716,49.0,2010-09-02,104,1.0,3.0,3.0,1.0,1.0,0.6551724137931034,29.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,26.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.75,16.0,8.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,0.0
30664,49.0,2010-08-30,104,1.0,3.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,26.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.75,16.0,8.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
