,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46506,52.0,2016-08-30,96,1.0,3.0,42.0,0.0,0.0,0.2,15.0,7.0,0.0,0.0,0.2,15.0,11.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.72,25.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
46213,46.0,2016-07-19,96,1.0,3.0,7.0,0.0,0.0,0.2,15.0,11.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.72,25.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,0.6666666666666666,0.6,25.0,0.0,0.0
46108,42.0,2016-07-12,96,1.0,2.0,11.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.72,25.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,0.6666666666666666,0.6,25.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,0.0,0.0
46010,39.0,2016-07-01,102,1.0,2.0,3.0,1.0,1.0,0.72,25.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,0.6666666666666666,0.6,25.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,5.0,0.0,0.0,0.3333333333333333,15.0,1.0,0.0
45966,39.0,2016-06-28,102,1.0,2.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,0.6666666666666666,0.6,25.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,5.0,0.0,0.0,0.3333333333333333,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
45907,38.0,2016-06-22,103,1.0,2.0,1.0,1.0,0.6666666666666666,0.6,25.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,5.0,0.0,0.0,0.3333333333333333,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.46153846153846156,26.0,2.0,0.0
45891,38.0,2016-06-21,103,1.0,2.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,5.0,0.0,0.0,0.3333333333333333,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.46153846153846156,26.0,15.0,0.0,0.0,0.3076923076923077,26.0,1.0,1.0
45877,38.0,2016-06-20,103,1.0,2.0,5.0,0.0,0.0,0.3333333333333333,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.46153846153846156,26.0,15.0,0.0,0.0,0.3076923076923077,26.0,26.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
45829,36.0,2016-06-15,114,1.0,2.0,2.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.46153846153846156,26.0,15.0,0.0,0.0,0.3076923076923077,26.0,26.0,0.0,0.0,0.29411764705882354,17.0,20.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
45814,36.0,2016-06-13,114,1.0,2.0,7.0,0.0,0.0,0.46153846153846156,26.0,15.0,0.0,0.0,0.3076923076923077,26.0,26.0,0.0,0.0,0.29411764705882354,17.0,20.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0
45788,35.0,2016-06-06,116,1.0,2.0,15.0,0.0,0.0,0.3076923076923077,26.0,26.0,0.0,0.0,0.29411764705882354,17.0,20.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6842105263157895,19.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
45634,33.0,2016-05-22,96,1.0,0.0,26.0,0.0,0.0,0.29411764705882354,17.0,20.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6842105263157895,19.0,11.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
45390,26.0,2016-04-26,92,1.0,0.0,20.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6842105263157895,19.0,11.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,0.0
