,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46531,52.0,2016-08-30,77,1.0,3.0,7.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,35.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.3333333333333333,0.41935483870967744,31.0,3.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
46443,51.0,2016-08-23,77,1.0,3.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,35.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.3333333333333333,0.41935483870967744,31.0,3.0,1.0,1.0,0.5652173913043478,23.0,13.0,0.0,0.0,0.35714285714285715,28.0,1.0,0.0
46430,51.0,2016-08-22,77,1.0,3.0,35.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.3333333333333333,0.41935483870967744,31.0,3.0,1.0,1.0,0.5652173913043478,23.0,13.0,0.0,0.0,0.35714285714285715,28.0,12.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46186,45.0,2016-07-18,69,1.0,0.0,4.0,0.0,0.3333333333333333,0.41935483870967744,31.0,3.0,1.0,1.0,0.5652173913043478,23.0,13.0,0.0,0.0,0.35714285714285715,28.0,12.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,0.0
46063,40.0,2016-07-14,68,1.0,0.0,3.0,1.0,1.0,0.5652173913043478,23.0,13.0,0.0,0.0,0.35714285714285715,28.0,12.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
46048,40.0,2016-07-11,68,1.0,0.0,13.0,0.0,0.0,0.35714285714285715,28.0,12.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
45954,39.0,2016-06-28,56,1.0,2.0,12.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,9.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
45862,37.0,2016-06-16,57,1.0,2.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,9.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.5384615384615384,52.0,1.0,0.0
45852,37.0,2016-06-14,57,1.0,2.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,9.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.5384615384615384,52.0,2.0,1.0,0.75,0.5641025641025641,39.0,0.0,1.0
45797,35.0,2016-06-08,58,1.0,2.0,2.0,1.0,1.0,0.6190476190476191,21.0,9.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.5384615384615384,52.0,2.0,1.0,0.75,0.5641025641025641,39.0,14.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
45787,35.0,2016-06-06,58,1.0,2.0,9.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.5384615384615384,52.0,2.0,1.0,0.75,0.5641025641025641,39.0,14.0,0.0,0.0,0.46153846153846156,26.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
45741,33.0,2016-05-28,66,1.0,0.0,2.0,1.0,0.6,0.5384615384615384,52.0,2.0,1.0,0.75,0.5641025641025641,39.0,14.0,0.0,0.0,0.46153846153846156,26.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,8.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,0.0
45710,33.0,2016-05-26,66,1.0,0.0,2.0,1.0,0.75,0.5641025641025641,39.0,14.0,0.0,0.0,0.46153846153846156,26.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,8.0,0.0,0.3333333333333333,0.4838709677419355,31.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
45661,33.0,2016-05-24,66,1.0,0.0,14.0,0.0,0.0,0.46153846153846156,26.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,8.0,0.0,0.3333333333333333,0.4838709677419355,31.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
45540,30.0,2016-05-10,69,1.0,0.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,8.0,0.0,0.3333333333333333,0.4838709677419355,31.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7058823529411765,17.0,16.0,0.0,0.0,0.4375,16.0,0.0,0.0
