,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46620,53.0,2016-09-23,238,0.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.8,15.0,21.0,0.0,0.4,0.4523809523809524,42.0,12.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,0.6666666666666666,0.5,28.0,2.0,0.0
46610,53.0,2016-09-21,238,0.0,3.0,2.0,1.0,1.0,0.8,15.0,21.0,0.0,0.4,0.4523809523809524,42.0,12.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,0.6666666666666666,0.5,28.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0
46598,53.0,2016-09-19,238,0.0,3.0,21.0,0.0,0.4,0.4523809523809524,42.0,12.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,0.6666666666666666,0.5,28.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6666666666666666,27.0,0.0,1.0
46479,52.0,2016-08-29,248,1.0,3.0,12.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,0.6666666666666666,0.5,28.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6666666666666666,27.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
46402,50.0,2016-08-17,294,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,28.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6666666666666666,27.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,6.0,0.0,0.0,0.25,16.0,1.0,0.0
46370,50.0,2016-08-15,294,1.0,3.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6666666666666666,27.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
46365,49.0,2016-08-12,361,1.0,3.0,1.0,1.0,0.6666666666666666,0.6666666666666666,27.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6666666666666666,18.0,33.0,0.0,0.25,0.42105263157894735,38.0,2.0,0.0
46354,49.0,2016-08-11,361,1.0,3.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6666666666666666,18.0,33.0,0.0,0.25,0.42105263157894735,38.0,3.0,1.0,1.0,0.6129032258064516,31.0,1.0,1.0
46343,49.0,2016-08-10,361,1.0,3.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6666666666666666,18.0,33.0,0.0,0.25,0.42105263157894735,38.0,3.0,1.0,1.0,0.6129032258064516,31.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
46333,48.0,2016-08-04,406,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,33.0,0.0,0.25,0.42105263157894735,38.0,3.0,1.0,1.0,0.6129032258064516,31.0,7.0,0.0,0.0,0.29411764705882354,17.0,27.0,0.0,0.25,0.4523809523809524,42.0,1.0,0.0
46323,48.0,2016-08-02,406,1.0,3.0,33.0,0.0,0.25,0.42105263157894735,38.0,3.0,1.0,1.0,0.6129032258064516,31.0,7.0,0.0,0.0,0.29411764705882354,17.0,27.0,0.0,0.25,0.4523809523809524,42.0,15.0,0.0,0.0,0.2,15.0,0.0,1.0
45998,39.0,2016-06-30,547,1.0,2.0,3.0,1.0,1.0,0.6129032258064516,31.0,7.0,0.0,0.0,0.29411764705882354,17.0,27.0,0.0,0.25,0.4523809523809524,42.0,15.0,0.0,0.0,0.2,15.0,83.0,0.0,0.0,0.44,25.0,1.0,0.0
45936,39.0,2016-06-27,547,1.0,2.0,7.0,0.0,0.0,0.29411764705882354,17.0,27.0,0.0,0.25,0.4523809523809524,42.0,15.0,0.0,0.0,0.2,15.0,83.0,0.0,0.0,0.44,25.0,7.0,0.0,0.0,0.4,20.0,0.0,1.0
45887,38.0,2016-06-20,547,1.0,2.0,27.0,0.0,0.25,0.4523809523809524,42.0,15.0,0.0,0.0,0.2,15.0,83.0,0.0,0.0,0.44,25.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
