,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46638,54.0,2016-09-21,83,0.0,3.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,18.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.55,40.0,64.0,0.0,0.0,0.35714285714285715,28.0,6.0,0.0,0.3333333333333333,0.4827586206896552,29.0,1.0,0.0
46625,54.0,2016-09-19,83,0.0,3.0,18.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.55,40.0,64.0,0.0,0.0,0.35714285714285715,28.0,6.0,0.0,0.3333333333333333,0.4827586206896552,29.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
46555,52.0,2016-09-01,89,1.0,3.0,2.0,1.0,0.75,0.55,40.0,64.0,0.0,0.0,0.35714285714285715,28.0,6.0,0.0,0.3333333333333333,0.4827586206896552,29.0,7.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.32142857142857145,28.0,1.0,0.0
46532,52.0,2016-08-30,89,1.0,3.0,64.0,0.0,0.0,0.35714285714285715,28.0,6.0,0.0,0.3333333333333333,0.4827586206896552,29.0,7.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.32142857142857145,28.0,8.0,0.0,0.0,0.4166666666666667,24.0,0.0,1.0
45943,39.0,2016-06-27,54,1.0,2.0,6.0,0.0,0.3333333333333333,0.4827586206896552,29.0,7.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.32142857142857145,28.0,8.0,0.0,0.0,0.4166666666666667,24.0,90.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
45900,38.0,2016-06-21,53,1.0,2.0,7.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.32142857142857145,28.0,8.0,0.0,0.0,0.4166666666666667,24.0,90.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
45817,36.0,2016-06-14,55,1.0,2.0,21.0,0.0,0.0,0.32142857142857145,28.0,8.0,0.0,0.0,0.4166666666666667,24.0,90.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
45681,33.0,2016-05-24,50,1.0,0.0,8.0,0.0,0.0,0.4166666666666667,24.0,90.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
45584,31.0,2016-05-16,52,1.0,0.0,90.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,0.0,0.0
44841,13.0,2016-02-16,79,1.0,3.0,3.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,5.0,0.0,0.0,0.44,25.0,0.0,0.0
44800,11.0,2016-02-13,102,0.0,3.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,3.0,0.0
44797,11.0,2016-02-12,102,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,16.0,0.0,0.25,0.38235294117647056,34.0,2.0,1.0
44792,11.0,2016-02-11,102,0.0,3.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,16.0,0.0,0.25,0.38235294117647056,34.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0
44784,11.0,2016-02-09,102,0.0,3.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,16.0,0.0,0.25,0.38235294117647056,34.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,1.0
44740,9.0,2016-02-04,96,0.0,3.0,1.0,1.0,0.6666666666666666,0.5384615384615384,26.0,16.0,0.0,0.25,0.38235294117647056,34.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,75.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
44733,9.0,2016-02-03,96,0.0,3.0,16.0,0.0,0.25,0.38235294117647056,34.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,75.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,0.0,1.0
44560,6.0,2016-01-18,85,1.0,3.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,75.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,22.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
44476,3.0,2016-01-06,85,1.0,3.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,75.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,22.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.5142857142857142,35.0,1.0,0.0
44469,3.0,2016-01-05,85,1.0,3.0,75.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,22.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.5142857142857142,35.0,21.0,0.0,0.4,0.43478260869565216,46.0,0.0,1.0
