,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46649,54.0,2016-09-24,9,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5,30.0,34.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,20.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
46645,54.0,2016-09-23,9,0.0,3.0,1.0,1.0,0.6666666666666666,0.5,30.0,34.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0
46642,54.0,2016-09-22,9,0.0,3.0,34.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,1.0
46416,50.0,2016-08-19,8,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,18.0,0.0,0.0,0.3333333333333333,27.0,1.0,0.0
46406,50.0,2016-08-18,8,1.0,3.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,18.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.6333333333333333,30.0,0.0,1.0
46310,47.0,2016-07-29,8,1.0,3.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,18.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.6333333333333333,30.0,1.0,1.0,0.6,0.5370370370370371,54.0,2.0,0.0
46306,47.0,2016-07-28,8,1.0,3.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,18.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.6333333333333333,30.0,1.0,1.0,0.6,0.5370370370370371,54.0,2.0,1.0,0.75,0.6111111111111112,36.0,1.0,1.0
46284,47.0,2016-07-26,8,1.0,3.0,18.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.6333333333333333,30.0,1.0,1.0,0.6,0.5370370370370371,54.0,2.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.72,25.0,0.0,1.0
46045,39.0,2016-07-08,9,1.0,2.0,2.0,1.0,1.0,0.6333333333333333,30.0,1.0,1.0,0.6,0.5370370370370371,54.0,2.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,0.75,0.5555555555555556,45.0,5.0,0.0
46042,39.0,2016-07-06,9,1.0,2.0,1.0,1.0,0.6,0.5370370370370371,54.0,2.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,0.75,0.5555555555555556,45.0,15.0,0.0,0.0,0.46153846153846156,26.0,4.0,1.0
46039,39.0,2016-07-05,9,1.0,2.0,2.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,0.75,0.5555555555555556,45.0,15.0,0.0,0.0,0.46153846153846156,26.0,12.0,0.0,0.0,0.36666666666666664,30.0,3.0,1.0
46030,39.0,2016-07-03,9,1.0,2.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,0.75,0.5555555555555556,45.0,15.0,0.0,0.0,0.46153846153846156,26.0,12.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0
46010,39.0,2016-07-01,9,1.0,2.0,2.0,1.0,0.75,0.5555555555555556,45.0,15.0,0.0,0.0,0.46153846153846156,26.0,12.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,1.0,0.6333333333333333,30.0,4.0,1.0,0.75,0.575,40.0,1.0,1.0
45972,39.0,2016-06-29,9,1.0,2.0,15.0,0.0,0.0,0.46153846153846156,26.0,12.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,1.0,0.6333333333333333,30.0,4.0,1.0,0.75,0.575,40.0,2.0,1.0,0.75,0.6060606060606061,33.0,0.0,1.0
45821,36.0,2016-06-14,8,1.0,2.0,12.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,1.0,0.6333333333333333,30.0,4.0,1.0,0.75,0.575,40.0,2.0,1.0,0.75,0.6060606060606061,33.0,2.0,1.0,1.0,0.75,24.0,0.0,0.0
45753,33.0,2016-06-02,8,1.0,0.0,1.0,1.0,1.0,0.6333333333333333,30.0,4.0,1.0,0.75,0.575,40.0,2.0,1.0,0.75,0.6060606060606061,33.0,2.0,1.0,1.0,0.75,24.0,12.0,0.0,0.0,0.0,12.0,4.0,0.0
45748,33.0,2016-06-01,8,1.0,0.0,4.0,1.0,0.75,0.575,40.0,2.0,1.0,0.75,0.6060606060606061,33.0,2.0,1.0,1.0,0.75,24.0,12.0,0.0,0.0,0.0,12.0,2.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0
45739,33.0,2016-05-28,8,1.0,0.0,2.0,1.0,0.75,0.6060606060606061,33.0,2.0,1.0,1.0,0.75,24.0,12.0,0.0,0.0,0.0,12.0,2.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0
45712,33.0,2016-05-26,8,1.0,0.0,2.0,1.0,1.0,0.75,24.0,12.0,0.0,0.0,0.0,12.0,2.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0
45662,33.0,2016-05-24,8,1.0,0.0,12.0,0.0,0.0,0.0,12.0,2.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
45567,30.0,2016-05-12,8,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0,1.0,0.6666666666666666,18.0,21.0,0.0,0.3333333333333333,0.4375,32.0,1.0,0.0
45545,30.0,2016-05-10,8,1.0,0.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0,1.0,0.6666666666666666,18.0,21.0,0.0,0.3333333333333333,0.4375,32.0,13.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
45514,29.0,2016-05-06,8,1.0,0.0,1.0,1.0,1.0,0.56,25.0,1.0,1.0,1.0,0.6666666666666666,18.0,21.0,0.0,0.3333333333333333,0.4375,32.0,13.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,0.0
45508,29.0,2016-05-05,8,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,21.0,0.0,0.3333333333333333,0.4375,32.0,13.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0
45494,29.0,2016-05-04,8,1.0,0.0,21.0,0.0,0.3333333333333333,0.4375,32.0,13.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
45285,23.0,2016-04-13,7,1.0,0.0,13.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
45196,20.0,2016-03-31,7,1.0,3.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.65,20.0,3.0,0.0
45188,20.0,2016-03-29,7,1.0,3.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.65,20.0,3.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0
45171,20.0,2016-03-27,7,1.0,3.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.65,20.0,3.0,1.0,1.0,0.6190476190476191,21.0,16.0,0.0,0.0,0.4,20.0,1.0,1.0
45139,20.0,2016-03-25,7,1.0,3.0,9.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.65,20.0,3.0,1.0,1.0,0.6190476190476191,21.0,16.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
45094,19.0,2016-03-16,7,1.0,3.0,1.0,1.0,1.0,0.65,20.0,3.0,1.0,1.0,0.6190476190476191,21.0,16.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
45081,19.0,2016-03-15,7,1.0,3.0,3.0,1.0,1.0,0.6190476190476191,21.0,16.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
45050,19.0,2016-03-12,7,1.0,3.0,16.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
44978,17.0,2016-02-25,7,1.0,3.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,0.0
44974,17.0,2016-02-24,7,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,23.0,0.0,0.0,0.3870967741935484,31.0,1.0,1.0
44966,17.0,2016-02-23,7,1.0,3.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,23.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.5111111111111111,45.0,0.0,1.0
44890,14.0,2016-02-20,8,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,23.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.5111111111111111,45.0,2.0,1.0,0.75,0.5277777777777778,36.0,2.0,0.0
44888,14.0,2016-02-19,8,0.0,3.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,23.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.5111111111111111,45.0,2.0,1.0,0.75,0.5277777777777778,36.0,2.0,1.0,1.0,0.72,25.0,1.0,1.0
44884,14.0,2016-02-18,8,0.0,3.0,23.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.5111111111111111,45.0,2.0,1.0,0.75,0.5277777777777778,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.7037037037037037,27.0,0.0,1.0
44661,6.0,2016-01-26,6,1.0,3.0,2.0,1.0,0.6,0.5111111111111111,45.0,2.0,1.0,0.75,0.5277777777777778,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.7037037037037037,27.0,10.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0
44655,6.0,2016-01-24,6,1.0,3.0,2.0,1.0,0.75,0.5277777777777778,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.7037037037037037,27.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,3.0,1.0
44644,6.0,2016-01-22,6,1.0,3.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.7037037037037037,27.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0
44612,6.0,2016-01-20,6,1.0,3.0,2.0,1.0,1.0,0.7037037037037037,27.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0
44551,6.0,2016-01-18,6,1.0,3.0,10.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,47.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
44485,3.0,2016-01-08,6,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,47.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0,0.3333333333333333,0.4666666666666667,30.0,3.0,0.0
44483,3.0,2016-01-07,6,1.0,3.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,47.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0
44479,3.0,2016-01-06,6,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,47.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0
44464,3.0,2016-01-05,6,1.0,3.0,47.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
44396,66.0,2015-11-19,6,0.0,3.0,2.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,2.0,0.0
44391,66.0,2015-11-17,6,0.0,3.0,2.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,10.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
44388,66.0,2015-11-15,6,0.0,3.0,9.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,10.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.8571428571428571,7.0,0.0,0.0
44382,65.0,2015-11-06,5,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,10.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.8571428571428571,7.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,0.0
