,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46161,44.0,2016-07-18,121,1.0,0.0,6.0,0.0,0.0,0.4166666666666667,24.0,34.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,41.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
46055,40.0,2016-07-12,119,1.0,0.0,34.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,41.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.3157894736842105,19.0,22.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
45769,34.0,2016-06-08,121,1.0,2.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,41.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.3157894736842105,19.0,22.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,0.0
45758,34.0,2016-06-06,121,1.0,2.0,41.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.3157894736842105,19.0,22.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,36.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,1.0
45391,26.0,2016-04-26,115,1.0,0.0,21.0,0.0,0.0,0.3157894736842105,19.0,22.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,36.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
45210,21.0,2016-04-05,109,1.0,0.0,22.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,36.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
45071,19.0,2016-03-14,112,1.0,3.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,36.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,155.0,0.0,0.0,0.3076923076923077,26.0,1.0,0.0
45042,19.0,2016-03-12,112,1.0,3.0,36.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,155.0,0.0,0.0,0.3076923076923077,26.0,34.0,0.0,0.0,0.4166666666666667,12.0,0.0,1.0
44688,7.0,2016-02-05,121,0.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,155.0,0.0,0.0,0.3076923076923077,26.0,34.0,0.0,0.0,0.4166666666666667,12.0,3.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,0.0
44680,7.0,2016-02-03,121,0.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,155.0,0.0,0.0,0.3076923076923077,26.0,34.0,0.0,0.0,0.4166666666666667,12.0,3.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0
