,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
25592,58.0,2008-10-07,173,0.0,3.0,71.0,0.0,0.0,0.3157894736842105,19.0,4.0,0.0,0.3333333333333333,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.625,24.0,12.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
25112,47.0,2008-07-28,161,1.0,3.0,4.0,0.0,0.3333333333333333,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.625,24.0,12.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,14.0,0.0,0.25,0.4782608695652174,46.0,0.0,0.0
25085,46.0,2008-07-24,188,1.0,3.0,2.0,1.0,0.6666666666666666,0.625,24.0,12.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,14.0,0.0,0.25,0.4782608695652174,46.0,8.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
25067,46.0,2008-07-22,188,1.0,3.0,12.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,14.0,0.0,0.25,0.4782608695652174,46.0,8.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.25,16.0,0.0,1.0
24843,38.0,2008-07-10,179,1.0,0.0,2.0,1.0,1.0,0.75,16.0,14.0,0.0,0.25,0.4782608695652174,46.0,8.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,0.0
24836,38.0,2008-07-08,179,1.0,0.0,14.0,0.0,0.25,0.4782608695652174,46.0,8.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,14.0,0.0,0.0,0.3793103448275862,29.0,0.0,1.0
24744,37.0,2008-06-24,128,1.0,2.0,8.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,14.0,0.0,0.0,0.3793103448275862,29.0,61.0,0.0,0.0,0.07692307692307693,13.0,0.0,0.0
24671,36.0,2008-06-16,101,1.0,2.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,14.0,0.0,0.0,0.3793103448275862,29.0,61.0,0.0,0.0,0.07692307692307693,13.0,10.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
24584,33.0,2008-06-11,102,1.0,2.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,14.0,0.0,0.0,0.3793103448275862,29.0,61.0,0.0,0.0,0.07692307692307693,13.0,10.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
24563,33.0,2008-06-09,102,1.0,2.0,14.0,0.0,0.0,0.3793103448275862,29.0,61.0,0.0,0.0,0.07692307692307693,13.0,10.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.5909090909090909,22.0,9.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
24415,31.0,2008-05-26,62,1.0,0.0,61.0,0.0,0.0,0.07692307692307693,13.0,10.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.5909090909090909,22.0,9.0,0.0,0.0,0.43478260869565216,23.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
23904,20.0,2008-03-26,57,1.0,3.0,10.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.5909090909090909,22.0,9.0,0.0,0.0,0.43478260869565216,23.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5,28.0,0.0,0.0
23842,19.0,2008-03-16,59,1.0,3.0,3.0,1.0,1.0,0.5909090909090909,22.0,9.0,0.0,0.0,0.43478260869565216,23.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5,28.0,1.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,0.0
23802,19.0,2008-03-13,59,1.0,3.0,9.0,0.0,0.0,0.43478260869565216,23.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5,28.0,1.0,1.0,0.6666666666666666,0.5151515151515151,33.0,3.0,1.0,1.0,0.75,16.0,0.0,1.0
23773,18.0,2008-03-04,57,1.0,3.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5,28.0,1.0,1.0,0.6666666666666666,0.5151515151515151,33.0,3.0,1.0,1.0,0.75,16.0,125.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
23700,15.0,2008-03-01,85,0.0,3.0,1.0,1.0,0.6666666666666666,0.5,28.0,1.0,1.0,0.6666666666666666,0.5151515151515151,33.0,3.0,1.0,1.0,0.75,16.0,125.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,0.0
23697,15.0,2008-02-29,85,0.0,3.0,1.0,1.0,0.6666666666666666,0.5151515151515151,33.0,3.0,1.0,1.0,0.75,16.0,125.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,40.0,0.0,0.4,0.4,45.0,2.0,1.0
23694,15.0,2008-02-28,85,0.0,3.0,3.0,1.0,1.0,0.75,16.0,125.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,40.0,0.0,0.4,0.4,45.0,3.0,1.0,1.0,0.6333333333333333,30.0,1.0,1.0
23675,15.0,2008-02-25,85,0.0,3.0,125.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,40.0,0.0,0.4,0.4,45.0,3.0,1.0,1.0,0.6333333333333333,30.0,13.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
23055,64.0,2007-10-23,62,0.0,1.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,40.0,0.0,0.4,0.4,45.0,3.0,1.0,1.0,0.6333333333333333,30.0,13.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
22884,59.0,2007-10-09,57,0.0,3.0,40.0,0.0,0.4,0.4,45.0,3.0,1.0,1.0,0.6333333333333333,30.0,13.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.29411764705882354,17.0,25.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
22584,51.0,2007-08-30,55,1.0,3.0,3.0,1.0,1.0,0.6333333333333333,30.0,13.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.29411764705882354,17.0,25.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,0.0
22529,51.0,2007-08-27,55,1.0,3.0,13.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.29411764705882354,17.0,25.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,5.0,0.0,0.25,0.3142857142857143,35.0,0.0,1.0
22430,49.0,2007-08-14,57,1.0,3.0,9.0,0.0,0.0,0.29411764705882354,17.0,25.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,5.0,0.0,0.25,0.3142857142857143,35.0,3.0,1.0,1.0,0.72,25.0,0.0,0.0
