,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
6562,18.0,2002-03-04,175,1.0,3.0,49.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0,0.6,0.54,50.0,14.0,0.0,0.0,0.4090909090909091,22.0,91.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
6148,6.0,2002-01-14,215,1.0,3.0,0.0,1.0,0.6,0.54,50.0,14.0,0.0,0.0,0.4090909090909091,22.0,91.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,0.0
6085,6.0,2002-01-14,215,1.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,91.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
5962,2.0,2001-12-31,196,1.0,3.0,91.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0,1.0,0.5909090909090909,22.0,35.0,0.0,0.0,0.35,20.0,2.0,0.0
5641,61.0,2001-10-01,141,1.0,3.0,0.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0,1.0,0.5909090909090909,22.0,35.0,0.0,0.0,0.35,20.0,14.0,0.0,0.0,0.25,16.0,1.0,0.0
5610,61.0,2001-10-01,141,1.0,3.0,14.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0,1.0,0.5909090909090909,22.0,35.0,0.0,0.0,0.35,20.0,14.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0
5502,57.0,2001-09-17,143,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,35.0,0.0,0.0,0.35,20.0,14.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0,1.0,0.9,20.0,1.0,0.0
5485,57.0,2001-09-17,143,1.0,3.0,35.0,0.0,0.0,0.35,20.0,14.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0,1.0,0.9,20.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
5182,51.0,2001-08-13,119,1.0,3.0,14.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0,1.0,0.9,20.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.75,16.0,0.0,0.0
5006,48.0,2001-07-30,117,1.0,3.0,35.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0,1.0,0.9,20.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
