,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
11320,58.0,2003-10-02,395,0.0,1.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,55.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.6153846153846154,13.0,161.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
11314,58.0,2003-10-01,395,0.0,1.0,55.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.6153846153846154,13.0,161.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.0,0.3333333333333333,18.0,185.0,0.0,0.0,0.44,25.0,0.0,1.0
10873,48.0,2003-08-07,538,1.0,3.0,2.0,1.0,1.0,0.6153846153846154,13.0,161.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.0,0.3333333333333333,18.0,185.0,0.0,0.0,0.44,25.0,14.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
10856,48.0,2003-08-05,538,1.0,3.0,161.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.0,0.3333333333333333,18.0,185.0,0.0,0.0,0.44,25.0,14.0,0.0,0.0,0.3333333333333333,18.0,210.0,0.0,0.3333333333333333,0.40625,32.0,0.0,1.0
9349,16.0,2003-02-25,436,1.0,3.0,12.0,0.0,0.0,0.3333333333333333,18.0,185.0,0.0,0.0,0.44,25.0,14.0,0.0,0.0,0.3333333333333333,18.0,210.0,0.0,0.3333333333333333,0.40625,32.0,140.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
9136,9.0,2003-02-13,451,0.0,3.0,185.0,0.0,0.0,0.44,25.0,14.0,0.0,0.0,0.3333333333333333,18.0,210.0,0.0,0.3333333333333333,0.40625,32.0,140.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.65,20.0,0.0,0.0
8049,49.0,2002-08-12,358,1.0,3.0,14.0,0.0,0.0,0.3333333333333333,18.0,210.0,0.0,0.3333333333333333,0.40625,32.0,140.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
7892,46.0,2002-07-29,271,1.0,3.0,210.0,0.0,0.3333333333333333,0.40625,32.0,140.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
5927,1.0,2001-12-31,160,1.0,3.0,140.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0,1.0,0.8,15.0,0.0,0.0
5201,51.0,2001-08-13,129,1.0,3.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0,1.0,0.8,15.0,21.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
5177,51.0,2001-08-13,129,1.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0,1.0,0.8,15.0,21.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0
5090,49.0,2001-08-06,135,1.0,3.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0,1.0,0.8,15.0,21.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,0.0
5031,48.0,2001-07-30,141,1.0,3.0,0.0,1.0,1.0,0.8,15.0,21.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,1.0,0.6666666666666666,0.625,32.0,1.0,0.0
4998,48.0,2001-07-30,141,1.0,3.0,21.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,1.0,0.6666666666666666,0.625,32.0,14.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,1.0
4758,41.0,2001-07-09,121,1.0,2.0,14.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,1.0,0.6666666666666666,0.625,32.0,14.0,0.0,0.3333333333333333,0.39285714285714285,28.0,119.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
4657,38.0,2001-06-25,149,1.0,2.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,1.0,0.6666666666666666,0.625,32.0,14.0,0.0,0.3333333333333333,0.39285714285714285,28.0,119.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.6666666666666666,18.0,2.0,0.0
