,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38673,51.0,2013-08-29,100,1.0,3.0,9.0,0.0,0.3333333333333333,0.5,30.0,1.0,1.0,1.0,0.6842105263157895,19.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6842105263157895,19.0,14.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
38589,50.0,2013-08-20,100,1.0,3.0,1.0,1.0,1.0,0.6842105263157895,19.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6842105263157895,19.0,14.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
38576,50.0,2013-08-19,100,1.0,3.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6842105263157895,19.0,14.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
38545,49.0,2013-08-14,97,1.0,3.0,1.0,1.0,1.0,0.6842105263157895,19.0,14.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5,36.0,1.0,0.0
38521,49.0,2013-08-13,97,1.0,3.0,14.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5,36.0,16.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0
38415,47.0,2013-07-30,77,1.0,3.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5,36.0,16.0,0.0,0.3333333333333333,0.41379310344827586,29.0,11.0,0.0,0.0,0.3870967741935484,31.0,0.0,0.0
38320,43.0,2013-07-26,91,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5,36.0,16.0,0.0,0.3333333333333333,0.41379310344827586,29.0,11.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.75,24.0,2.0,0.0
38315,43.0,2013-07-25,91,1.0,3.0,1.0,1.0,0.6666666666666666,0.5,36.0,16.0,0.0,0.3333333333333333,0.41379310344827586,29.0,11.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.75,24.0,8.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
38309,43.0,2013-07-24,91,1.0,3.0,16.0,0.0,0.3333333333333333,0.41379310344827586,29.0,11.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.75,24.0,8.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0
38169,39.0,2013-07-08,85,1.0,2.0,11.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.75,24.0,8.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.0,0.3076923076923077,26.0,47.0,0.0,0.0,0.44,25.0,0.0,0.0
38095,37.0,2013-06-27,87,1.0,2.0,2.0,1.0,1.0,0.75,24.0,8.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.0,0.3076923076923077,26.0,47.0,0.0,0.0,0.44,25.0,15.0,0.0,0.3333333333333333,0.5,30.0,1.0,0.0
38047,37.0,2013-06-25,87,1.0,2.0,8.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.0,0.3076923076923077,26.0,47.0,0.0,0.0,0.44,25.0,15.0,0.0,0.3333333333333333,0.5,30.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
37959,35.0,2013-06-17,93,1.0,2.0,22.0,0.0,0.0,0.3076923076923077,26.0,47.0,0.0,0.0,0.44,25.0,15.0,0.0,0.3333333333333333,0.5,30.0,3.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
37760,32.0,2013-05-26,96,1.0,0.0,47.0,0.0,0.0,0.44,25.0,15.0,0.0,0.3333333333333333,0.5,30.0,3.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
37373,22.0,2013-04-09,91,1.0,0.0,15.0,0.0,0.3333333333333333,0.5,30.0,3.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
37321,20.0,2013-03-25,95,1.0,3.0,3.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
37290,20.0,2013-03-22,95,1.0,3.0,1.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
37264,20.0,2013-03-21,95,1.0,3.0,10.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,1.0
37218,19.0,2013-03-11,99,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.5925925925925926,27.0,153.0,0.0,0.3333333333333333,0.4375,32.0,1.0,0.0
37181,19.0,2013-03-09,99,1.0,3.0,11.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.5925925925925926,27.0,153.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
