,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
32880,37.0,2011-07-05,403,1.0,2.0,392.0,0.0,0.3333333333333333,0.4482758620689655,29.0,350.0,0.0,0.0,0.3793103448275862,29.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,1.0,0.5652173913043478,23.0,357.0,0.0,0.25,0.4666666666666667,45.0,0.0,0.0
29971,33.0,2010-06-08,166,1.0,2.0,350.0,0.0,0.0,0.3793103448275862,29.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,1.0,0.5652173913043478,23.0,357.0,0.0,0.25,0.4666666666666667,45.0,5.0,0.0,0.0,0.4,20.0,0.0,0.0
27411,36.0,2009-06-23,191,1.0,2.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,1.0,0.5652173913043478,23.0,357.0,0.0,0.25,0.4666666666666667,45.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
27317,34.0,2009-06-17,189,1.0,2.0,2.0,1.0,1.0,0.5652173913043478,23.0,357.0,0.0,0.25,0.4666666666666667,45.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
27300,34.0,2009-06-15,189,1.0,2.0,357.0,0.0,0.25,0.4666666666666667,45.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.3333333333333333,18.0,314.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
24709,37.0,2008-06-23,242,1.0,2.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.3333333333333333,18.0,314.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.14285714285714285,7.0,0.0,0.0
24689,36.0,2008-06-18,271,1.0,2.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.3333333333333333,18.0,314.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.14285714285714285,7.0,7.0,0.0,0.3333333333333333,0.375,24.0,1.0,0.0
24677,36.0,2008-06-17,271,1.0,2.0,8.0,0.0,0.0,0.3333333333333333,18.0,314.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.14285714285714285,7.0,7.0,0.0,0.3333333333333333,0.375,24.0,14.0,0.0,0.0,0.42424242424242425,33.0,0.0,1.0
24560,33.0,2008-06-09,243,1.0,2.0,314.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.14285714285714285,7.0,7.0,0.0,0.3333333333333333,0.375,24.0,14.0,0.0,0.0,0.42424242424242425,33.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
22321,47.0,2007-07-31,127,1.0,3.0,14.0,0.0,0.0,0.14285714285714285,7.0,7.0,0.0,0.3333333333333333,0.375,24.0,14.0,0.0,0.0,0.42424242424242425,33.0,7.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
