,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
40005,22.0,2014-04-08,85,1.0,0.0,19.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.4,20.0,17.0,0.0,0.0,0.14285714285714285,14.0,4.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0,0.6666666666666666,0.56,25.0,0.0,0.0
39899,20.0,2014-03-20,94,1.0,3.0,13.0,0.0,0.0,0.4,20.0,17.0,0.0,0.0,0.14285714285714285,14.0,4.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0,0.6666666666666666,0.56,25.0,0.0,1.0,0.6666666666666666,0.4838709677419355,31.0,0.0,0.0
39800,19.0,2014-03-07,92,1.0,3.0,17.0,0.0,0.0,0.14285714285714285,14.0,4.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0,0.6666666666666666,0.56,25.0,0.0,1.0,0.6666666666666666,0.4838709677419355,31.0,30.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
39612,13.0,2014-02-18,88,1.0,3.0,4.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0,0.6666666666666666,0.56,25.0,0.0,1.0,0.6666666666666666,0.4838709677419355,31.0,30.0,0.0,0.0,0.29411764705882354,17.0,90.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
39570,11.0,2014-02-14,96,0.0,3.0,2.0,1.0,0.6666666666666666,0.56,25.0,0.0,1.0,0.6666666666666666,0.4838709677419355,31.0,30.0,0.0,0.0,0.29411764705882354,17.0,90.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.3157894736842105,19.0,2.0,0.0
39564,11.0,2014-02-12,96,0.0,3.0,0.0,1.0,0.6666666666666666,0.4838709677419355,31.0,30.0,0.0,0.0,0.29411764705882354,17.0,90.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.3157894736842105,19.0,25.0,0.0,0.4,0.52,50.0,1.0,1.0
39560,11.0,2014-02-12,96,0.0,3.0,30.0,0.0,0.0,0.29411764705882354,17.0,90.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.3157894736842105,19.0,25.0,0.0,0.4,0.52,50.0,1.0,1.0,0.6,0.4909090909090909,55.0,0.0,1.0
39329,6.0,2014-01-13,89,1.0,3.0,90.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.3157894736842105,19.0,25.0,0.0,0.4,0.52,50.0,1.0,1.0,0.6,0.4909090909090909,55.0,8.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
38972,59.0,2013-10-15,76,0.0,3.0,21.0,0.0,0.0,0.3157894736842105,19.0,25.0,0.0,0.4,0.52,50.0,1.0,1.0,0.6,0.4909090909090909,55.0,8.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
38830,55.0,2013-09-24,69,0.0,3.0,25.0,0.0,0.4,0.52,50.0,1.0,1.0,0.6,0.4909090909090909,55.0,8.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
