,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45651,33.0,2016-05-23,115,1.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.3333333333333333,18.0,29.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
45244,22.0,2016-04-06,84,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.3333333333333333,18.0,29.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.0,0.4090909090909091,22.0,25.0,0.0,0.25,0.4186046511627907,43.0,1.0,0.0
45236,22.0,2016-04-05,84,1.0,0.0,13.0,0.0,0.0,0.3333333333333333,18.0,29.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.0,0.4090909090909091,22.0,25.0,0.0,0.25,0.4186046511627907,43.0,2.0,1.0,0.75,0.5192307692307693,52.0,0.0,1.0
45120,20.0,2016-03-23,79,1.0,3.0,29.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.0,0.4090909090909091,22.0,25.0,0.0,0.25,0.4186046511627907,43.0,2.0,1.0,0.75,0.5192307692307693,52.0,8.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
44961,17.0,2016-02-23,73,1.0,3.0,8.0,0.0,0.0,0.4090909090909091,22.0,25.0,0.0,0.25,0.4186046511627907,43.0,2.0,1.0,0.75,0.5192307692307693,52.0,8.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
44866,14.0,2016-02-15,68,0.0,3.0,25.0,0.0,0.25,0.4186046511627907,43.0,2.0,1.0,0.75,0.5192307692307693,52.0,8.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,76.0,0.0,0.0,0.35294117647058826,17.0,0.0,0.0
44636,6.0,2016-01-21,64,1.0,3.0,2.0,1.0,0.75,0.5192307692307693,52.0,8.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,76.0,0.0,0.0,0.35294117647058826,17.0,8.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
44596,6.0,2016-01-19,64,1.0,3.0,8.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,76.0,0.0,0.0,0.35294117647058826,17.0,8.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
44515,5.0,2016-01-11,58,1.0,3.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,76.0,0.0,0.0,0.35294117647058826,17.0,8.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.14285714285714285,14.0,4.0,0.0,0.3333333333333333,0.48,25.0,0.0,0.0
44465,3.0,2016-01-05,58,1.0,3.0,76.0,0.0,0.0,0.35294117647058826,17.0,8.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.14285714285714285,14.0,4.0,0.0,0.3333333333333333,0.48,25.0,2.0,1.0,1.0,1.0,10.0,0.0,0.0
44207,60.0,2015-10-21,59,0.0,3.0,8.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.14285714285714285,14.0,4.0,0.0,0.3333333333333333,0.48,25.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
44157,59.0,2015-10-13,58,1.0,3.0,7.0,0.0,0.0,0.14285714285714285,14.0,4.0,0.0,0.3333333333333333,0.48,25.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
44091,57.0,2015-10-06,59,1.0,3.0,4.0,0.0,0.3333333333333333,0.48,25.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
44073,56.0,2015-10-02,62,1.0,3.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,0.0
44066,56.0,2015-09-30,62,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,23.0,0.0,0.0,0.28,25.0,1.0,1.0
44063,56.0,2015-09-29,62,1.0,3.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,23.0,0.0,0.0,0.28,25.0,5.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0
44020,54.0,2015-09-25,63,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,23.0,0.0,0.0,0.28,25.0,5.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0,0.6666666666666666,0.5128205128205128,39.0,2.0,0.0
44017,54.0,2015-09-24,63,0.0,3.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,23.0,0.0,0.0,0.28,25.0,5.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0,0.6666666666666666,0.5128205128205128,39.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
44007,54.0,2015-09-23,63,0.0,3.0,23.0,0.0,0.0,0.28,25.0,5.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0,0.6666666666666666,0.5128205128205128,39.0,2.0,1.0,1.0,0.631578947368421,19.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0
43846,52.0,2015-08-31,62,1.0,3.0,5.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0,0.6666666666666666,0.5128205128205128,39.0,2.0,1.0,1.0,0.631578947368421,19.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,0.0,0.0
43835,51.0,2015-08-26,62,1.0,3.0,0.0,1.0,0.6666666666666666,0.5128205128205128,39.0,2.0,1.0,1.0,0.631578947368421,19.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.5384615384615384,26.0,2.0,0.0
43829,51.0,2015-08-26,62,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.5384615384615384,26.0,29.0,0.0,0.4,0.4375,48.0,1.0,1.0
43804,51.0,2015-08-24,62,1.0,3.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.5384615384615384,26.0,29.0,0.0,0.4,0.4375,48.0,4.0,0.0,0.0,0.4,20.0,0.0,1.0
43610,46.0,2015-07-31,71,1.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.5384615384615384,26.0,29.0,0.0,0.4,0.4375,48.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,2.0,0.0
43606,46.0,2015-07-30,71,1.0,0.0,2.0,1.0,1.0,0.5384615384615384,26.0,29.0,0.0,0.4,0.4375,48.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0,0.6666666666666666,0.6206896551724138,29.0,1.0,1.0
43596,46.0,2015-07-28,71,1.0,0.0,29.0,0.0,0.4,0.4375,48.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0,0.6666666666666666,0.6206896551724138,29.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
43303,39.0,2015-06-29,55,1.0,2.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0,0.6666666666666666,0.6206896551724138,29.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
43283,38.0,2015-06-25,56,1.0,2.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0,0.6666666666666666,0.6206896551724138,29.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.2,15.0,16.0,0.0,0.4,0.4146341463414634,41.0,3.0,0.0
43275,38.0,2015-06-24,56,1.0,2.0,1.0,1.0,0.6666666666666666,0.6206896551724138,29.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.2,15.0,16.0,0.0,0.4,0.4146341463414634,41.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0
43261,38.0,2015-06-23,56,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.2,15.0,16.0,0.0,0.4,0.4146341463414634,41.0,2.0,1.0,1.0,0.6666666666666666,27.0,3.0,1.0,1.0,0.6428571428571429,28.0,1.0,1.0
43253,38.0,2015-06-22,56,1.0,2.0,7.0,0.0,0.0,0.2,15.0,16.0,0.0,0.4,0.4146341463414634,41.0,2.0,1.0,1.0,0.6666666666666666,27.0,3.0,1.0,1.0,0.6428571428571429,28.0,14.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0
43214,37.0,2015-06-15,55,1.0,2.0,16.0,0.0,0.4,0.4146341463414634,41.0,2.0,1.0,1.0,0.6666666666666666,27.0,3.0,1.0,1.0,0.6428571428571429,28.0,14.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.25,16.0,0.0,0.0
