,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
37933,34.0,2013-06-12,0.0,1.0,2.0,824.0,0.0,0.3333333333333333,0.4722222222222222,36.0,66.0,0.0,0.0,0.4,20.0,211.0,0.0,0.0,0.43478260869565216,23.0,153.0,0.0,0.0,0.29411764705882354,17.0,96.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,0.0
31919,19.0,2011-03-11,629,1.0,3.0,66.0,0.0,0.0,0.4,20.0,211.0,0.0,0.0,0.43478260869565216,23.0,153.0,0.0,0.0,0.29411764705882354,17.0,96.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
31302,2.0,2011-01-04,626,1.0,3.0,211.0,0.0,0.0,0.43478260869565216,23.0,153.0,0.0,0.0,0.29411764705882354,17.0,96.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,266.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
29927,32.0,2010-06-07,532,1.0,2.0,153.0,0.0,0.0,0.29411764705882354,17.0,96.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,266.0,0.0,0.0,0.43478260869565216,23.0,180.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
28626,2.0,2010-01-05,391,1.0,3.0,96.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,266.0,0.0,0.0,0.43478260869565216,23.0,180.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.56,25.0,0.0,0.0
28175,52.0,2009-10-01,447,0.0,3.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,266.0,0.0,0.0,0.43478260869565216,23.0,180.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
28161,52.0,2009-09-29,447,0.0,3.0,266.0,0.0,0.0,0.43478260869565216,23.0,180.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
25888,2.0,2009-01-06,332,1.0,3.0,180.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,0.0
24899,40.0,2008-07-10,374,1.0,2.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,252.0,0.0,0.0,0.35,20.0,2.0,0.0
24894,40.0,2008-07-09,374,1.0,2.0,2.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,252.0,0.0,0.0,0.35,20.0,13.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0
