,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
13447,41.0,2004-07-12,489,1.0,0.0,21.0,0.0,0.0,0.40625,32.0,27.0,0.0,0.0,0.32142857142857145,28.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,3.0,1.0,0.6666666666666666,0.6521739130434783,23.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
13170,35.0,2004-06-21,488,1.0,2.0,27.0,0.0,0.0,0.32142857142857145,28.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,3.0,1.0,0.6666666666666666,0.6521739130434783,23.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,230.0,0.0,0.0,0.28,25.0,0.0,0.0
12920,30.0,2004-05-25,492,1.0,0.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,3.0,1.0,0.6666666666666666,0.6521739130434783,23.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,230.0,0.0,0.0,0.28,25.0,36.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
12844,28.0,2004-05-19,574,1.0,0.0,3.0,1.0,0.6666666666666666,0.6521739130434783,23.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,230.0,0.0,0.0,0.28,25.0,36.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.375,24.0,1.0,0.0
12824,28.0,2004-05-16,574,1.0,0.0,34.0,0.0,0.3333333333333333,0.4444444444444444,27.0,230.0,0.0,0.0,0.28,25.0,36.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.375,24.0,20.0,0.0,0.4,0.5,46.0,0.0,1.0
12455,20.0,2004-04-12,226,1.0,0.0,230.0,0.0,0.0,0.28,25.0,36.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.375,24.0,20.0,0.0,0.4,0.5,46.0,29.0,0.0,0.0,0.28,25.0,0.0,0.0
11024,51.0,2003-08-26,96,1.0,3.0,36.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.375,24.0,20.0,0.0,0.4,0.5,46.0,29.0,0.0,0.0,0.28,25.0,38.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
10643,43.0,2003-07-21,99,1.0,0.0,7.0,0.0,0.3333333333333333,0.375,24.0,20.0,0.0,0.4,0.5,46.0,29.0,0.0,0.0,0.28,25.0,38.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
10553,41.0,2003-07-14,95,1.0,0.0,20.0,0.0,0.4,0.5,46.0,29.0,0.0,0.0,0.28,25.0,38.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,0.0
10345,36.0,2003-06-24,95,1.0,2.0,29.0,0.0,0.0,0.28,25.0,38.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,0.0
10045,31.0,2003-05-26,95,1.0,0.0,38.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,0.0,0.0
9712,23.0,2003-04-18,82,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,0.0
9702,23.0,2003-04-17,82,1.0,0.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0
9686,23.0,2003-04-16,82,1.0,0.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0
9672,23.0,2003-04-15,82,1.0,0.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,1.0,0.56,25.0,0.0,1.0
9622,21.0,2003-04-13,102,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,1.0,0.56,25.0,99.0,0.0,0.0,0.4,20.0,4.0,1.0
9620,21.0,2003-04-12,102,1.0,0.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,1.0,0.56,25.0,99.0,0.0,0.0,0.4,20.0,70.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0
9617,21.0,2003-04-11,102,1.0,0.0,2.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,1.0,0.56,25.0,99.0,0.0,0.0,0.4,20.0,70.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0
9609,21.0,2003-04-09,102,1.0,0.0,1.0,1.0,1.0,0.56,25.0,99.0,0.0,0.0,0.4,20.0,70.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.35,20.0,1.0,1.0
9598,21.0,2003-04-08,102,1.0,0.0,99.0,0.0,0.0,0.4,20.0,70.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.35,20.0,42.0,0.0,0.25,0.37142857142857144,35.0,0.0,1.0
8843,3.0,2002-12-30,77,1.0,3.0,70.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.35,20.0,42.0,0.0,0.25,0.37142857142857144,35.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
8627,62.0,2002-10-21,54,0.0,1.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.35,20.0,42.0,0.0,0.25,0.37142857142857144,35.0,7.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,0.0
8591,61.0,2002-10-14,51,0.0,3.0,7.0,0.0,0.0,0.35,20.0,42.0,0.0,0.25,0.37142857142857144,35.0,7.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4722222222222222,36.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
8526,59.0,2002-10-07,51,0.0,1.0,42.0,0.0,0.25,0.37142857142857144,35.0,7.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4722222222222222,36.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
8180,51.0,2002-08-26,54,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4722222222222222,36.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
