,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
39026,61.0,2013-10-15,244,0.0,3.0,127.0,0.0,0.0,0.38095238095238093,21.0,125.0,0.0,0.3333333333333333,0.4411764705882353,34.0,608.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6,20.0,314.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
37908,34.0,2013-06-10,325,1.0,2.0,125.0,0.0,0.3333333333333333,0.4411764705882353,34.0,608.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6,20.0,314.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
36866,9.0,2013-02-05,379,0.0,3.0,608.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6,20.0,314.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.46153846153846156,26.0,13.0,0.0,0.25,0.4444444444444444,45.0,0.0,0.0
32661,33.0,2011-06-08,200,1.0,2.0,2.0,1.0,1.0,0.6,20.0,314.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.46153846153846156,26.0,13.0,0.0,0.25,0.4444444444444444,45.0,2.0,1.0,0.75,0.5227272727272727,44.0,1.0,0.0
32641,33.0,2011-06-06,200,1.0,2.0,314.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.46153846153846156,26.0,13.0,0.0,0.25,0.4444444444444444,45.0,2.0,1.0,0.75,0.5227272727272727,44.0,139.0,0.0,0.0,0.44,25.0,0.0,1.0
30393,43.0,2010-07-27,135,1.0,3.0,21.0,0.0,0.0,0.46153846153846156,26.0,13.0,0.0,0.25,0.4444444444444444,45.0,2.0,1.0,0.75,0.5227272727272727,44.0,139.0,0.0,0.0,0.44,25.0,253.0,0.0,0.25,0.4772727272727273,44.0,0.0,0.0
30207,37.0,2010-07-06,137,1.0,2.0,13.0,0.0,0.25,0.4444444444444444,45.0,2.0,1.0,0.75,0.5227272727272727,44.0,139.0,0.0,0.0,0.44,25.0,253.0,0.0,0.25,0.4772727272727273,44.0,334.0,0.0,0.4,0.49122807017543857,57.0,0.0,0.0
30141,36.0,2010-06-23,152,1.0,2.0,2.0,1.0,0.75,0.5227272727272727,44.0,139.0,0.0,0.0,0.44,25.0,253.0,0.0,0.25,0.4772727272727273,44.0,334.0,0.0,0.4,0.49122807017543857,57.0,2.0,1.0,0.75,0.5526315789473685,38.0,1.0,0.0
30074,36.0,2010-06-21,152,1.0,2.0,139.0,0.0,0.0,0.44,25.0,253.0,0.0,0.25,0.4772727272727273,44.0,334.0,0.0,0.4,0.49122807017543857,57.0,2.0,1.0,0.75,0.5526315789473685,38.0,329.0,0.0,0.3333333333333333,0.36,25.0,0.0,1.0
28926,9.0,2010-02-02,176,0.0,3.0,253.0,0.0,0.25,0.4772727272727273,44.0,334.0,0.0,0.4,0.49122807017543857,57.0,2.0,1.0,0.75,0.5526315789473685,38.0,329.0,0.0,0.3333333333333333,0.36,25.0,12.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
