,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22055,39.0,2007-07-10,139,1.0,2.0,41.0,0.0,0.0,0.18181818181818182,22.0,9.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.56,25.0,26.0,0.0,0.0,0.25,16.0,0.0,0.0
21645,31.0,2007-05-30,110,1.0,0.0,9.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.56,25.0,26.0,0.0,0.0,0.25,16.0,19.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
21558,30.0,2007-05-21,111,1.0,0.0,12.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.56,25.0,26.0,0.0,0.0,0.25,16.0,19.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
21481,28.0,2007-05-09,125,1.0,0.0,2.0,1.0,1.0,0.56,25.0,26.0,0.0,0.0,0.25,16.0,19.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.5652173913043478,23.0,10.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
21454,28.0,2007-05-07,125,1.0,0.0,26.0,0.0,0.0,0.25,16.0,19.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.5652173913043478,23.0,10.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.8,15.0,0.0,1.0
21225,22.0,2007-04-11,78,1.0,0.0,19.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.5652173913043478,23.0,10.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.8,15.0,9.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
21125,20.0,2007-03-23,82,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,10.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.8,15.0,9.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
21086,20.0,2007-03-21,82,1.0,3.0,10.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.8,15.0,9.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
21032,19.0,2007-03-11,82,1.0,3.0,2.0,1.0,1.0,0.8,15.0,9.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.14285714285714285,14.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
21001,19.0,2007-03-09,82,1.0,3.0,9.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.14285714285714285,14.0,5.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.3,10.0,0.0,1.0
20950,17.0,2007-02-28,88,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.14285714285714285,14.0,5.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.3,10.0,2.0,1.0,1.0,0.56,25.0,1.0,0.0
20938,17.0,2007-02-27,88,1.0,3.0,8.0,0.0,0.0,0.14285714285714285,14.0,5.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.3,10.0,2.0,1.0,1.0,0.56,25.0,15.0,0.0,0.25,0.46938775510204084,49.0,0.0,1.0
20866,15.0,2007-02-19,71,0.0,3.0,5.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.3,10.0,2.0,1.0,1.0,0.56,25.0,15.0,0.0,0.25,0.46938775510204084,49.0,4.0,0.0,0.0,0.07692307692307693,13.0,0.0,0.0
20750,11.0,2007-02-14,68,0.0,3.0,13.0,0.0,0.0,0.3,10.0,2.0,1.0,1.0,0.56,25.0,15.0,0.0,0.25,0.46938775510204084,49.0,4.0,0.0,0.0,0.07692307692307693,13.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
