,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46610,53.0,2016-09-21,68,0.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,21.0,0.0,0.0,0.3870967741935484,31.0,38.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0
46603,53.0,2016-09-20,68,0.0,3.0,21.0,0.0,0.0,0.3870967741935484,31.0,38.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,1.0,0.65,20.0,0.0,1.0
46501,52.0,2016-08-30,86,1.0,3.0,38.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
46156,43.0,2016-07-23,99,1.0,0.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,3.0,0.0
46152,43.0,2016-07-22,99,1.0,0.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0
46148,43.0,2016-07-21,99,1.0,0.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.4,0.4583333333333333,48.0,1.0,1.0
46141,43.0,2016-07-19,99,1.0,0.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.4,0.4583333333333333,48.0,3.0,1.0,0.6,0.5319148936170213,47.0,0.0,1.0
46069,40.0,2016-07-15,101,1.0,0.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.4,0.4583333333333333,48.0,3.0,1.0,0.6,0.5319148936170213,47.0,13.0,0.0,0.0,0.44,25.0,2.0,0.0
46063,40.0,2016-07-14,101,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.4,0.4583333333333333,48.0,3.0,1.0,0.6,0.5319148936170213,47.0,13.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0
46054,40.0,2016-07-12,101,1.0,0.0,11.0,0.0,0.4,0.4583333333333333,48.0,3.0,1.0,0.6,0.5319148936170213,47.0,13.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.6190476190476191,21.0,20.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0
46008,39.0,2016-07-01,85,1.0,2.0,3.0,1.0,0.6,0.5319148936170213,47.0,13.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.6190476190476191,21.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.6,0.5178571428571429,56.0,1.0,0.0
