,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
12842,28.0,2004-05-19,181,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,65.0,0.0,0.0,0.29411764705882354,17.0,164.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
12834,28.0,2004-05-17,181,1.0,0.0,65.0,0.0,0.0,0.29411764705882354,17.0,164.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.3684210526315789,19.0,15.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
12280,18.0,2004-03-13,134,1.0,3.0,164.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.3684210526315789,19.0,15.0,0.0,0.0,0.14285714285714285,14.0,41.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
11361,59.0,2003-10-01,120,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.3684210526315789,19.0,15.0,0.0,0.0,0.14285714285714285,14.0,41.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
11345,59.0,2003-09-30,120,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,15.0,0.0,0.0,0.14285714285714285,14.0,41.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
11238,56.0,2003-09-23,119,1.0,3.0,15.0,0.0,0.0,0.14285714285714285,14.0,41.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
11113,52.0,2003-09-08,108,1.0,0.0,41.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.14285714285714285,14.0,40.0,0.0,0.25,0.37142857142857144,35.0,0.0,0.0
10756,46.0,2003-07-29,116,1.0,0.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.14285714285714285,14.0,40.0,0.0,0.25,0.37142857142857144,35.0,2.0,1.0,0.6,0.5853658536585366,41.0,0.0,0.0
10711,44.0,2003-07-24,123,1.0,0.0,3.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.14285714285714285,14.0,40.0,0.0,0.25,0.37142857142857144,35.0,2.0,1.0,0.6,0.5853658536585366,41.0,46.0,0.0,0.3333333333333333,0.35714285714285715,28.0,1.0,0.0
10695,44.0,2003-07-21,123,1.0,0.0,13.0,0.0,0.0,0.14285714285714285,14.0,40.0,0.0,0.25,0.37142857142857144,35.0,2.0,1.0,0.6,0.5853658536585366,41.0,46.0,0.0,0.3333333333333333,0.35714285714285715,28.0,1.0,1.0,0.6666666666666666,0.4666666666666667,30.0,0.0,1.0
