,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
6887,24.0,2002-04-22,140,1.0,0.0,0.0,1.0,0.6666666666666666,0.5666666666666667,30.0,14.0,0.0,0.0,0.2727272727272727,11.0,42.0,0.0,0.0,0.3333333333333333,18.0,154.0,0.0,0.0,0.25,16.0,28.0,0.0,0.25,0.4473684210526316,38.0,1.0,0.0
6865,24.0,2002-04-22,140,1.0,0.0,14.0,0.0,0.0,0.2727272727272727,11.0,42.0,0.0,0.0,0.3333333333333333,18.0,154.0,0.0,0.0,0.25,16.0,28.0,0.0,0.25,0.4473684210526316,38.0,7.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
6750,21.0,2002-04-08,115,1.0,0.0,42.0,0.0,0.0,0.3333333333333333,18.0,154.0,0.0,0.0,0.25,16.0,28.0,0.0,0.25,0.4473684210526316,38.0,7.0,0.0,0.0,0.14285714285714285,14.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,0.0
6425,14.0,2002-02-25,107,1.0,0.0,154.0,0.0,0.0,0.25,16.0,28.0,0.0,0.25,0.4473684210526316,38.0,7.0,0.0,0.0,0.14285714285714285,14.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0,1.0,0.75,12.0,0.0,0.0
5560,59.0,2001-09-24,89,1.0,0.0,28.0,0.0,0.25,0.4473684210526316,38.0,7.0,0.0,0.0,0.14285714285714285,14.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0,1.0,0.75,12.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
5310,53.0,2001-08-27,83,1.0,3.0,7.0,0.0,0.0,0.14285714285714285,14.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0,1.0,0.75,12.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
5232,52.0,2001-08-20,85,1.0,3.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0,1.0,0.75,12.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
4916,45.0,2001-07-23,60,1.0,0.0,0.0,1.0,1.0,0.75,12.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.48,25.0,1.0,0.0
4889,45.0,2001-07-23,60,1.0,0.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.48,25.0,14.0,0.0,0.0,0.21739130434782608,23.0,0.0,1.0
4846,43.0,2001-07-16,62,1.0,0.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.48,25.0,14.0,0.0,0.0,0.21739130434782608,23.0,28.0,0.0,0.6666666666666666,0.5161290322580645,31.0,2.0,0.0
4826,43.0,2001-07-16,62,1.0,0.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.48,25.0,14.0,0.0,0.0,0.21739130434782608,23.0,28.0,0.0,0.6666666666666666,0.5161290322580645,31.0,0.0,1.0,0.6,0.5510204081632653,49.0,1.0,1.0
4811,43.0,2001-07-16,62,1.0,0.0,7.0,0.0,0.3333333333333333,0.48,25.0,14.0,0.0,0.0,0.21739130434782608,23.0,28.0,0.0,0.6666666666666666,0.5161290322580645,31.0,0.0,1.0,0.6,0.5510204081632653,49.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0
4728,40.0,2001-07-09,60,1.0,0.0,14.0,0.0,0.0,0.21739130434782608,23.0,28.0,0.0,0.6666666666666666,0.5161290322580645,31.0,0.0,1.0,0.6,0.5510204081632653,49.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
4570,38.0,2001-06-25,61,1.0,2.0,28.0,0.0,0.6666666666666666,0.5161290322580645,31.0,0.0,1.0,0.6,0.5510204081632653,49.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
4373,33.0,2001-05-28,65,1.0,0.0,0.0,1.0,0.6,0.5510204081632653,49.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,0.0
4292,33.0,2001-05-28,65,1.0,0.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0,0.0,0.5714285714285714,7.0,0.0,1.0
4198,31.0,2001-05-14,68,1.0,0.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0,0.0,0.5714285714285714,7.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
4164,30.0,2001-05-07,73,1.0,0.0,0.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0,0.0,0.5714285714285714,7.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.8,15.0,1.0,0.0
4128,30.0,2001-05-07,73,1.0,0.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0,0.0,0.5714285714285714,7.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
