,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
31733,13.0,2011-02-17,196,1.0,0.0,2.0,1.0,1.0,0.75,16.0,532.0,0.0,0.0,0.40625,32.0,210.0,0.0,0.0,0.29411764705882354,17.0,280.0,1.0,1.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,0.0
31717,13.0,2011-02-15,196,1.0,0.0,532.0,0.0,0.0,0.40625,32.0,210.0,0.0,0.0,0.29411764705882354,17.0,280.0,1.0,1.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,49.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,1.0
27988,49.0,2009-09-01,188,1.0,3.0,210.0,0.0,0.0,0.29411764705882354,17.0,280.0,1.0,1.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,49.0,0.0,0.3333333333333333,0.46153846153846156,26.0,6.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
26164,8.0,2009-02-03,194,1.0,0.0,280.0,1.0,1.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,49.0,0.0,0.3333333333333333,0.46153846153846156,26.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
24150,25.0,2008-04-29,122,1.0,0.0,14.0,0.0,0.3333333333333333,0.4230769230769231,26.0,49.0,0.0,0.3333333333333333,0.46153846153846156,26.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
24022,22.0,2008-04-15,118,1.0,0.0,49.0,0.0,0.3333333333333333,0.46153846153846156,26.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.38095238095238093,21.0,11.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
23644,14.0,2008-02-26,99,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.38095238095238093,21.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
23565,11.0,2008-02-20,103,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.38095238095238093,21.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.65,20.0,1.0,0.0
23554,11.0,2008-02-19,103,1.0,0.0,7.0,0.0,0.0,0.38095238095238093,21.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.65,20.0,14.0,0.0,0.4,0.4883720930232558,43.0,0.0,1.0
23468,8.0,2008-02-12,100,1.0,0.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.65,20.0,14.0,0.0,0.4,0.4883720930232558,43.0,167.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
