,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
21193,21.0,2007-04-11,263,1.0,0.0,169.0,0.0,0.0,0.29411764705882354,17.0,20.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5128205128205128,39.0,7.0,0.0,0.3333333333333333,0.5,34.0,61.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
20188,63.0,2006-10-24,167,0.0,1.0,20.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5128205128205128,39.0,7.0,0.0,0.3333333333333333,0.5,34.0,61.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
20015,58.0,2006-10-04,173,1.0,3.0,1.0,1.0,0.6666666666666666,0.5128205128205128,39.0,7.0,0.0,0.3333333333333333,0.5,34.0,61.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,6.0,0.0,0.0,0.35,20.0,1.0,0.0
20010,58.0,2006-10-03,173,1.0,3.0,7.0,0.0,0.3333333333333333,0.5,34.0,61.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
19874,54.0,2006-09-26,173,0.0,3.0,61.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.7058823529411765,17.0,128.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,0.0
19388,44.0,2006-07-27,180,1.0,3.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.7058823529411765,17.0,128.0,0.0,0.3333333333333333,0.4827586206896552,29.0,53.0,0.0,0.0,0.3076923076923077,26.0,1.0,0.0
19377,44.0,2006-07-25,180,1.0,3.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.7058823529411765,17.0,128.0,0.0,0.3333333333333333,0.4827586206896552,29.0,53.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.55,40.0,0.0,1.0
19256,41.0,2006-07-19,185,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,128.0,0.0,0.3333333333333333,0.4827586206896552,29.0,53.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.55,40.0,82.0,0.0,0.3333333333333333,0.5,30.0,1.0,0.0
19235,41.0,2006-07-18,185,1.0,3.0,128.0,0.0,0.3333333333333333,0.4827586206896552,29.0,53.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.55,40.0,82.0,0.0,0.3333333333333333,0.5,30.0,16.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
18112,19.0,2006-03-12,150,1.0,3.0,53.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.55,40.0,82.0,0.0,0.3333333333333333,0.5,30.0,16.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.25,16.0,0.0,0.0
17649,6.0,2006-01-18,143,1.0,3.0,2.0,1.0,0.75,0.55,40.0,82.0,0.0,0.3333333333333333,0.5,30.0,16.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
17585,6.0,2006-01-16,143,1.0,3.0,82.0,0.0,0.3333333333333333,0.5,30.0,16.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.6,30.0,0.0,1.0
17347,65.0,2005-10-26,127,0.0,1.0,16.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.6,30.0,15.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
17132,59.0,2005-10-10,124,0.0,1.0,6.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.6,30.0,15.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.25,0.4,35.0,0.0,0.0
17095,58.0,2005-10-04,124,1.0,3.0,5.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,0.6666666666666666,0.6,30.0,15.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.25,0.4,35.0,43.0,0.0,0.3333333333333333,0.3076923076923077,26.0,0.0,0.0
17012,55.0,2005-09-29,89,0.0,3.0,2.0,1.0,0.6666666666666666,0.6,30.0,15.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.25,0.4,35.0,43.0,0.0,0.3333333333333333,0.3076923076923077,26.0,15.0,0.0,0.0,0.4117647058823529,17.0,1.0,0.0
16997,55.0,2005-09-27,89,0.0,3.0,15.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.25,0.4,35.0,43.0,0.0,0.3333333333333333,0.3076923076923077,26.0,15.0,0.0,0.0,0.4117647058823529,17.0,12.0,0.0,0.0,0.28,25.0,0.0,1.0
16900,52.0,2005-09-12,90,1.0,3.0,12.0,0.0,0.25,0.4,35.0,43.0,0.0,0.3333333333333333,0.3076923076923077,26.0,15.0,0.0,0.0,0.4117647058823529,17.0,12.0,0.0,0.0,0.28,25.0,2.0,1.0,1.0,0.75,24.0,0.0,0.0
16833,51.0,2005-08-31,90,1.0,3.0,43.0,0.0,0.3333333333333333,0.3076923076923077,26.0,15.0,0.0,0.0,0.4117647058823529,17.0,12.0,0.0,0.0,0.28,25.0,2.0,1.0,1.0,0.75,24.0,3.0,0.0,0.3333333333333333,0.4,30.0,0.0,0.0
16377,42.0,2005-07-19,85,1.0,0.0,15.0,0.0,0.0,0.4117647058823529,17.0,12.0,0.0,0.0,0.28,25.0,2.0,1.0,1.0,0.75,24.0,3.0,0.0,0.3333333333333333,0.4,30.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
16258,39.0,2005-07-04,89,1.0,2.0,12.0,0.0,0.0,0.28,25.0,2.0,1.0,1.0,0.75,24.0,3.0,0.0,0.3333333333333333,0.4,30.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
16134,36.0,2005-06-22,91,1.0,2.0,2.0,1.0,1.0,0.75,24.0,3.0,0.0,0.3333333333333333,0.4,30.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.25,16.0,1.0,0.0
16085,36.0,2005-06-20,91,1.0,2.0,3.0,0.0,0.3333333333333333,0.4,30.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.2962962962962963,27.0,0.0,1.0
16030,34.0,2005-06-17,101,1.0,2.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.2962962962962963,27.0,14.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
16022,34.0,2005-06-15,101,1.0,2.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.2962962962962963,27.0,14.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0
16009,34.0,2005-06-13,101,1.0,2.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.2962962962962963,27.0,14.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.38095238095238093,21.0,22.0,0.0,0.0,0.25,16.0,0.0,1.0
15953,33.0,2005-06-06,103,1.0,2.0,14.0,0.0,0.0,0.2962962962962963,27.0,14.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.38095238095238093,21.0,22.0,0.0,0.0,0.25,16.0,11.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
15800,31.0,2005-05-23,96,1.0,0.0,14.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.38095238095238093,21.0,22.0,0.0,0.0,0.25,16.0,11.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.4,20.0,0.0,0.0
