,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
19349,43.0,2006-07-26,188,1.0,0.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,90.0,0.0,0.0,0.43478260869565216,23.0,61.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,146.0,0.0,0.3333333333333333,0.4827586206896552,29.0,1.0,0.0
19324,43.0,2006-07-24,188,1.0,0.0,90.0,0.0,0.0,0.43478260869565216,23.0,61.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,146.0,0.0,0.3333333333333333,0.4827586206896552,29.0,64.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
18419,24.0,2006-04-25,184,1.0,0.0,61.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,146.0,0.0,0.3333333333333333,0.4827586206896552,29.0,64.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.25,16.0,0.0,0.0
17976,15.0,2006-02-23,211,0.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,146.0,0.0,0.3333333333333333,0.4827586206896552,29.0,64.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,0.0
17968,15.0,2006-02-21,211,0.0,3.0,146.0,0.0,0.3333333333333333,0.4827586206896552,29.0,64.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0
16973,54.0,2005-09-28,186,0.0,3.0,64.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.0,0.35,20.0,12.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
16505,45.0,2005-07-26,163,1.0,0.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.0,0.35,20.0,12.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.5757575757575758,33.0,0.0,0.0
16306,40.0,2005-07-20,148,1.0,0.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.0,0.35,20.0,12.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.5757575757575758,33.0,28.0,0.0,0.4,0.5094339622641509,53.0,1.0,0.0
16295,40.0,2005-07-19,148,1.0,0.0,14.0,0.0,0.0,0.35,20.0,12.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.5757575757575758,33.0,28.0,0.0,0.4,0.5094339622641509,53.0,8.0,0.0,0.0,0.35,20.0,0.0,1.0
16205,37.0,2005-07-05,130,1.0,0.0,12.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.5757575757575758,33.0,28.0,0.0,0.4,0.5094339622641509,53.0,8.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
16156,36.0,2005-06-23,125,1.0,2.0,2.0,1.0,1.0,0.5757575757575758,33.0,28.0,0.0,0.4,0.5094339622641509,53.0,8.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,0.0
16102,36.0,2005-06-21,125,1.0,2.0,28.0,0.0,0.4,0.5094339622641509,53.0,8.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
15836,31.0,2005-05-24,85,1.0,0.0,8.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.4166666666666667,24.0,0.0,0.0
15769,30.0,2005-05-16,87,1.0,0.0,20.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.4166666666666667,24.0,12.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
15582,26.0,2005-04-26,83,1.0,0.0,4.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.4166666666666667,24.0,12.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
15564,25.0,2005-04-22,85,1.0,0.0,3.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.4166666666666667,24.0,12.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.3333333333333333,0.4,25.0,18.0,0.0,0.0,0.4,20.0,1.0,0.0
15543,25.0,2005-04-19,85,1.0,0.0,14.0,0.0,0.0,0.4166666666666667,24.0,12.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.3333333333333333,0.4,25.0,18.0,0.0,0.0,0.4,20.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
15407,22.0,2005-04-05,81,1.0,0.0,12.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.3333333333333333,0.4,25.0,18.0,0.0,0.0,0.4,20.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
15289,20.0,2005-03-24,78,1.0,3.0,12.0,0.0,0.3333333333333333,0.4,25.0,18.0,0.0,0.0,0.4,20.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,9.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
15199,19.0,2005-03-12,77,1.0,3.0,18.0,0.0,0.0,0.4,20.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,9.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
15090,16.0,2005-02-22,81,1.0,0.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,9.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.4791666666666667,48.0,0.0,0.0
15005,13.0,2005-02-17,86,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,9.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.4791666666666667,48.0,111.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,0.0
15000,13.0,2005-02-16,86,1.0,0.0,9.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.4791666666666667,48.0,111.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.9230769230769231,13.0,0.0,1.0
14897,10.0,2005-02-07,86,1.0,0.0,6.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.4791666666666667,48.0,111.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.9230769230769231,13.0,13.0,0.0,0.0,0.25,16.0,0.0,0.0
14870,9.0,2005-02-01,85,1.0,0.0,14.0,0.0,0.4,0.4791666666666667,48.0,111.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.9230769230769231,13.0,13.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
14724,6.0,2005-01-18,78,1.0,3.0,111.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.9230769230769231,13.0,13.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.32142857142857145,28.0,0.0,0.0
14099,55.0,2004-09-29,88,1.0,0.0,1.0,1.0,1.0,0.9230769230769231,13.0,13.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.32142857142857145,28.0,3.0,1.0,0.6,0.5555555555555556,45.0,1.0,0.0
14087,55.0,2004-09-28,88,1.0,0.0,13.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.32142857142857145,28.0,3.0,1.0,0.6,0.5555555555555556,45.0,20.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,1.0
14009,52.0,2004-09-15,101,1.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.32142857142857145,28.0,3.0,1.0,0.6,0.5555555555555556,45.0,20.0,0.0,0.3333333333333333,0.4827586206896552,29.0,18.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
14005,52.0,2004-09-14,101,1.0,0.0,12.0,0.0,0.0,0.32142857142857145,28.0,3.0,1.0,0.6,0.5555555555555556,45.0,20.0,0.0,0.3333333333333333,0.4827586206896552,29.0,18.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
13909,50.0,2004-09-02,106,1.0,3.0,3.0,1.0,0.6,0.5555555555555556,45.0,20.0,0.0,0.3333333333333333,0.4827586206896552,29.0,18.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
