,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
27533,38.0,2009-07-16,151,1.0,0.0,2.0,1.0,1.0,0.5909090909090909,22.0,20.0,0.0,0.25,0.42105263157894735,38.0,2.0,1.0,1.0,0.782608695652174,23.0,42.0,0.0,0.0,0.25,16.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,0.0
27522,38.0,2009-07-14,151,1.0,0.0,20.0,0.0,0.25,0.42105263157894735,38.0,2.0,1.0,1.0,0.782608695652174,23.0,42.0,0.0,0.0,0.25,16.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
27426,36.0,2009-06-24,140,1.0,2.0,2.0,1.0,1.0,0.782608695652174,23.0,42.0,0.0,0.0,0.25,16.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,14.0,0.0,0.0,0.4090909090909091,22.0,11.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,0.0
27381,36.0,2009-06-22,140,1.0,2.0,42.0,0.0,0.0,0.25,16.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,14.0,0.0,0.0,0.4090909090909091,22.0,11.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0
27004,29.0,2009-05-11,108,1.0,0.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,14.0,0.0,0.0,0.4090909090909091,22.0,11.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.6,20.0,0.0,0.0
26909,26.0,2009-05-05,107,1.0,0.0,14.0,0.0,0.0,0.4090909090909091,22.0,11.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.6,20.0,11.0,0.0,0.3333333333333333,0.47058823529411764,34.0,0.0,0.0
26813,24.0,2009-04-21,113,1.0,0.0,11.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.6,20.0,11.0,0.0,0.3333333333333333,0.47058823529411764,34.0,14.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
26738,22.0,2009-04-10,113,1.0,0.0,0.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.6,20.0,11.0,0.0,0.3333333333333333,0.47058823529411764,34.0,14.0,0.0,0.0,0.38095238095238093,21.0,17.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
26735,22.0,2009-04-10,113,1.0,0.0,3.0,1.0,1.0,0.6,20.0,11.0,0.0,0.3333333333333333,0.47058823529411764,34.0,14.0,0.0,0.0,0.38095238095238093,21.0,17.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
26725,22.0,2009-04-07,113,1.0,0.0,11.0,0.0,0.3333333333333333,0.47058823529411764,34.0,14.0,0.0,0.0,0.38095238095238093,21.0,17.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.44,25.0,0.0,1.0
