,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
36961,12.0,2013-02-14,151,0.0,0.0,1.0,1.0,0.5,0.6818181818181818,22.0,203.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,8.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
36956,12.0,2013-02-13,151,0.0,0.0,203.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,8.0,0.0,0.0,0.46153846153846156,26.0,145.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
35786,46.0,2012-07-25,139,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,8.0,0.0,0.0,0.46153846153846156,26.0,145.0,0.0,0.3333333333333333,0.45454545454545453,33.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
35773,46.0,2012-07-23,139,1.0,3.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,8.0,0.0,0.0,0.46153846153846156,26.0,145.0,0.0,0.3333333333333333,0.45454545454545453,33.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,119.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
35665,42.0,2012-07-17,139,1.0,3.0,8.0,0.0,0.0,0.46153846153846156,26.0,145.0,0.0,0.3333333333333333,0.45454545454545453,33.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,119.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.3333333333333333,0.391304347826087,23.0,0.0,0.0
35552,38.0,2012-07-09,135,1.0,0.0,145.0,0.0,0.3333333333333333,0.45454545454545453,33.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,119.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.3333333333333333,0.391304347826087,23.0,84.0,0.0,0.0,0.2,15.0,0.0,0.0
34355,12.0,2012-02-15,126,0.0,0.0,15.0,0.0,0.3333333333333333,0.4642857142857143,28.0,119.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.3333333333333333,0.391304347826087,23.0,84.0,0.0,0.0,0.2,15.0,90.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
34233,8.0,2012-01-31,130,1.0,0.0,119.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.3333333333333333,0.391304347826087,23.0,84.0,0.0,0.0,0.2,15.0,90.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
33588,55.0,2011-10-04,103,1.0,3.0,8.0,0.0,0.3333333333333333,0.391304347826087,23.0,84.0,0.0,0.0,0.2,15.0,90.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,30.0,0.0,0.0,0.35,20.0,0.0,0.0
33556,54.0,2011-09-26,104,0.0,3.0,84.0,0.0,0.0,0.2,15.0,90.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,30.0,0.0,0.0,0.35,20.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
32873,37.0,2011-07-04,109,1.0,2.0,90.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,30.0,0.0,0.0,0.35,20.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,361.0,0.0,0.3333333333333333,0.47058823529411764,34.0,0.0,0.0
32119,22.0,2011-04-05,138,1.0,0.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,30.0,0.0,0.0,0.35,20.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,361.0,0.0,0.3333333333333333,0.47058823529411764,34.0,3.0,1.0,0.6666666666666666,0.64,25.0,0.0,0.0
32017,20.0,2011-03-24,146,1.0,3.0,30.0,0.0,0.0,0.35,20.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,361.0,0.0,0.3333333333333333,0.47058823529411764,34.0,3.0,1.0,0.6666666666666666,0.64,25.0,151.0,0.0,0.25,0.3225806451612903,31.0,0.0,0.0
31803,16.0,2011-02-22,171,1.0,0.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,361.0,0.0,0.3333333333333333,0.47058823529411764,34.0,3.0,1.0,0.6666666666666666,0.64,25.0,151.0,0.0,0.25,0.3225806451612903,31.0,3.0,1.0,1.0,0.6785714285714286,28.0,0.0,0.0
31571,8.0,2011-02-01,163,1.0,0.0,361.0,0.0,0.3333333333333333,0.47058823529411764,34.0,3.0,1.0,0.6666666666666666,0.64,25.0,151.0,0.0,0.25,0.3225806451612903,31.0,3.0,1.0,1.0,0.6785714285714286,28.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
28908,8.0,2010-02-05,143,1.0,0.0,3.0,1.0,0.6666666666666666,0.64,25.0,151.0,0.0,0.25,0.3225806451612903,31.0,3.0,1.0,1.0,0.6785714285714286,28.0,7.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
28898,8.0,2010-02-02,143,1.0,0.0,151.0,0.0,0.25,0.3225806451612903,31.0,3.0,1.0,1.0,0.6785714285714286,28.0,7.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,21.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,1.0
28034,49.0,2009-09-04,87,1.0,3.0,3.0,1.0,1.0,0.6785714285714286,28.0,7.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,21.0,0.0,0.3333333333333333,0.42857142857142855,28.0,6.0,0.0,0.3333333333333333,0.5172413793103449,29.0,1.0,0.0
27985,49.0,2009-09-01,87,1.0,3.0,7.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.6190476190476191,21.0,21.0,0.0,0.3333333333333333,0.42857142857142855,28.0,6.0,0.0,0.3333333333333333,0.5172413793103449,29.0,35.0,0.0,0.0,0.32142857142857145,28.0,0.0,1.0
27925,48.0,2009-08-25,88,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,21.0,0.0,0.3333333333333333,0.42857142857142855,28.0,6.0,0.0,0.3333333333333333,0.5172413793103449,29.0,35.0,0.0,0.0,0.32142857142857145,28.0,7.0,0.0,0.0,0.35,20.0,1.0,0.0
27900,48.0,2009-08-23,88,1.0,3.0,21.0,0.0,0.3333333333333333,0.42857142857142855,28.0,6.0,0.0,0.3333333333333333,0.5172413793103449,29.0,35.0,0.0,0.0,0.32142857142857145,28.0,7.0,0.0,0.0,0.35,20.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0
27741,45.0,2009-08-02,85,1.0,3.0,6.0,0.0,0.3333333333333333,0.5172413793103449,29.0,35.0,0.0,0.0,0.32142857142857145,28.0,7.0,0.0,0.0,0.35,20.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,15.0,0.0,0.25,0.40540540540540543,37.0,0.0,0.0
27655,42.0,2009-07-27,83,1.0,0.0,35.0,0.0,0.0,0.32142857142857145,28.0,7.0,0.0,0.0,0.35,20.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,15.0,0.0,0.25,0.40540540540540543,37.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
27378,36.0,2009-06-22,84,1.0,2.0,7.0,0.0,0.0,0.35,20.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,15.0,0.0,0.25,0.40540540540540543,37.0,6.0,0.0,0.0,0.29411764705882354,17.0,10.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
27301,34.0,2009-06-15,84,1.0,2.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,15.0,0.0,0.25,0.40540540540540543,37.0,6.0,0.0,0.0,0.29411764705882354,17.0,10.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,0.0
27260,33.0,2009-06-09,84,1.0,2.0,15.0,0.0,0.25,0.40540540540540543,37.0,6.0,0.0,0.0,0.29411764705882354,17.0,10.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,0.6666666666666666,0.56,25.0,0.0,0.0
27118,31.0,2009-05-25,76,1.0,0.0,6.0,0.0,0.0,0.29411764705882354,17.0,10.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,0.6666666666666666,0.56,25.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
27065,30.0,2009-05-19,76,1.0,0.0,10.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,0.6666666666666666,0.56,25.0,2.0,1.0,1.0,0.75,16.0,26.0,0.0,0.3333333333333333,0.5,36.0,0.0,0.0
26963,27.0,2009-05-09,91,1.0,0.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,0.6666666666666666,0.56,25.0,2.0,1.0,1.0,0.75,16.0,26.0,0.0,0.3333333333333333,0.5,36.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,3.0,0.0
26959,27.0,2009-05-08,91,1.0,0.0,2.0,1.0,0.6666666666666666,0.56,25.0,2.0,1.0,1.0,0.75,16.0,26.0,0.0,0.3333333333333333,0.5,36.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,42.0,0.0,0.3333333333333333,0.36,25.0,2.0,1.0
26951,27.0,2009-05-06,91,1.0,0.0,2.0,1.0,1.0,0.75,16.0,26.0,0.0,0.3333333333333333,0.5,36.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,42.0,0.0,0.3333333333333333,0.36,25.0,14.0,0.0,0.0,0.14285714285714285,7.0,1.0,1.0
26937,27.0,2009-05-04,91,1.0,0.0,26.0,0.0,0.3333333333333333,0.5,36.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,42.0,0.0,0.3333333333333333,0.36,25.0,14.0,0.0,0.0,0.14285714285714285,7.0,4.0,0.0,0.0,0.4166666666666667,24.0,0.0,1.0
26729,22.0,2009-04-08,87,1.0,0.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,42.0,0.0,0.3333333333333333,0.36,25.0,14.0,0.0,0.0,0.14285714285714285,7.0,4.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
26726,22.0,2009-04-07,87,1.0,0.0,42.0,0.0,0.3333333333333333,0.36,25.0,14.0,0.0,0.0,0.14285714285714285,7.0,4.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
26434,17.0,2009-02-24,94,1.0,3.0,14.0,0.0,0.0,0.14285714285714285,7.0,4.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.631578947368421,19.0,161.0,0.0,0.4,0.48936170212765956,47.0,0.0,0.0
26220,10.0,2009-02-10,94,1.0,0.0,4.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.631578947368421,19.0,161.0,0.0,0.4,0.48936170212765956,47.0,28.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,0.0
26176,8.0,2009-02-06,102,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.631578947368421,19.0,161.0,0.0,0.4,0.48936170212765956,47.0,28.0,0.0,0.3333333333333333,0.39285714285714285,28.0,10.0,0.0,0.3333333333333333,0.4,25.0,2.0,0.0
26168,8.0,2009-02-04,102,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,161.0,0.0,0.4,0.48936170212765956,47.0,28.0,0.0,0.3333333333333333,0.39285714285714285,28.0,10.0,0.0,0.3333333333333333,0.4,25.0,3.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
