,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22891,59.0,2007-10-10,304,0.0,3.0,371.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.6,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.3333333333333333,18.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,0.0
20025,58.0,2006-10-04,124,1.0,3.0,2.0,1.0,0.6666666666666666,0.6,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.3333333333333333,18.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,3.0,1.0,0.6666666666666666,0.53125,32.0,1.0,0.0
19994,58.0,2006-10-02,124,1.0,3.0,6.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.3333333333333333,18.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,3.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.8,15.0,0.0,1.0
19872,54.0,2006-09-26,124,0.0,3.0,13.0,0.0,0.0,0.3333333333333333,18.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,3.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.8,15.0,3.0,0.0,0.3333333333333333,0.5,32.0,0.0,0.0
19823,52.0,2006-09-13,121,1.0,3.0,40.0,0.0,0.3333333333333333,0.45714285714285713,35.0,3.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.8,15.0,3.0,0.0,0.3333333333333333,0.5,32.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
19496,47.0,2006-08-04,115,1.0,3.0,3.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.8,15.0,3.0,0.0,0.3333333333333333,0.5,32.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,4.0,0.0,0.0,0.2,15.0,2.0,0.0
19477,47.0,2006-08-01,115,1.0,3.0,1.0,1.0,1.0,0.8,15.0,3.0,0.0,0.3333333333333333,0.5,32.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,4.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
19462,47.0,2006-07-31,115,1.0,3.0,3.0,0.0,0.3333333333333333,0.5,32.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,4.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
19390,44.0,2006-07-28,120,1.0,3.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,4.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
19373,44.0,2006-07-25,120,1.0,3.0,4.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.0,0.46153846153846156,26.0,29.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,1.0
19266,41.0,2006-07-21,123,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.0,0.46153846153846156,26.0,29.0,0.0,0.3333333333333333,0.42857142857142855,28.0,15.0,0.0,0.25,0.4358974358974359,39.0,2.0,0.0
19253,41.0,2006-07-19,123,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.0,0.46153846153846156,26.0,29.0,0.0,0.3333333333333333,0.42857142857142855,28.0,15.0,0.0,0.25,0.4358974358974359,39.0,65.0,0.0,0.0,0.35,20.0,1.0,1.0
19239,41.0,2006-07-18,123,1.0,3.0,7.0,0.0,0.0,0.46153846153846156,26.0,29.0,0.0,0.3333333333333333,0.42857142857142855,28.0,15.0,0.0,0.25,0.4358974358974359,39.0,65.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.625,24.0,0.0,1.0
19173,39.0,2006-07-11,120,1.0,2.0,29.0,0.0,0.3333333333333333,0.42857142857142855,28.0,15.0,0.0,0.25,0.4358974358974359,39.0,65.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.625,24.0,10.0,0.0,0.0,0.25,16.0,0.0,0.0
18869,33.0,2006-06-12,105,1.0,2.0,15.0,0.0,0.25,0.4358974358974359,39.0,65.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.625,24.0,10.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,0.0
18702,31.0,2006-05-28,112,1.0,0.0,65.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.625,24.0,10.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.4,20.0,0.0,0.0
18209,20.0,2006-03-24,110,1.0,3.0,2.0,1.0,0.6666666666666666,0.625,24.0,10.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
18176,20.0,2006-03-22,110,1.0,3.0,10.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
18115,19.0,2006-03-12,110,1.0,3.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
18082,19.0,2006-03-10,110,1.0,3.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
