,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45125,20.0,2016-03-24,53,1.0,3.0,12.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.8571428571428571,14.0,1.0,1.0,1.0,0.8,15.0,0.0,0.0
45048,19.0,2016-03-12,52,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.8571428571428571,14.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,0.0
45015,19.0,2016-03-10,52,1.0,3.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.8571428571428571,14.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,0.0,1.0
45011,18.0,2016-02-28,67,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,14.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,7.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0
45009,18.0,2016-02-27,67,0.0,0.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.375,24.0,3.0,1.0
45005,18.0,2016-02-26,67,0.0,0.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.375,24.0,4.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0
44997,18.0,2016-02-25,67,0.0,0.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.375,24.0,4.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,1.0,1.0
44993,18.0,2016-02-23,67,0.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.375,24.0,4.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,1.0,1.0,0.75,16.0,0.0,1.0
44906,15.0,2016-02-16,66,1.0,0.0,7.0,0.0,0.3333333333333333,0.375,24.0,4.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.32142857142857145,28.0,0.0,0.0
44759,10.0,2016-02-09,64,1.0,0.0,4.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.32142857142857145,28.0,13.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,0.0
