,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46607,53.0,2016-09-21,77,0.0,3.0,22.0,0.0,0.0,0.3870967741935484,31.0,43.0,0.0,0.0,0.4,20.0,4.0,0.0,0.3333333333333333,0.41379310344827586,29.0,2.0,1.0,1.0,0.56,25.0,14.0,0.0,0.0,0.42424242424242425,33.0,0.0,0.0
46503,52.0,2016-08-30,75,1.0,3.0,43.0,0.0,0.0,0.4,20.0,4.0,0.0,0.3333333333333333,0.41379310344827586,29.0,2.0,1.0,1.0,0.56,25.0,14.0,0.0,0.0,0.42424242424242425,33.0,21.0,0.0,0.0,0.25,16.0,0.0,0.0
46162,44.0,2016-07-18,76,1.0,0.0,4.0,0.0,0.3333333333333333,0.41379310344827586,29.0,2.0,1.0,1.0,0.56,25.0,14.0,0.0,0.0,0.42424242424242425,33.0,21.0,0.0,0.0,0.25,16.0,14.0,0.0,0.25,0.3888888888888889,36.0,0.0,0.0
46094,41.0,2016-07-14,82,1.0,0.0,2.0,1.0,1.0,0.56,25.0,14.0,0.0,0.0,0.42424242424242425,33.0,21.0,0.0,0.0,0.25,16.0,14.0,0.0,0.25,0.3888888888888889,36.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
46088,41.0,2016-07-12,82,1.0,0.0,14.0,0.0,0.0,0.42424242424242425,33.0,21.0,0.0,0.0,0.25,16.0,14.0,0.0,0.25,0.3888888888888889,36.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
45960,39.0,2016-06-28,75,1.0,2.0,21.0,0.0,0.0,0.25,16.0,14.0,0.0,0.25,0.3888888888888889,36.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
45790,35.0,2016-06-07,74,1.0,2.0,14.0,0.0,0.25,0.3888888888888889,36.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.44,25.0,0.0,0.0
45665,33.0,2016-05-24,69,1.0,0.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
45589,31.0,2016-05-17,61,1.0,0.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
45580,31.0,2016-05-16,61,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.44,25.0,1.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
