,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
11017,51.0,2003-08-26,222,1.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.41379310344827586,29.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.8571428571428571,14.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,0.0
10957,50.0,2003-08-19,223,1.0,3.0,8.0,0.0,0.3333333333333333,0.41379310344827586,29.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.8571428571428571,14.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,56.0,0.0,0.0,0.2692307692307692,26.0,0.0,0.0
10899,49.0,2003-08-11,217,1.0,3.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.8571428571428571,14.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,56.0,0.0,0.0,0.2692307692307692,26.0,66.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
10740,45.0,2003-07-31,168,1.0,3.0,1.0,1.0,1.0,0.8571428571428571,14.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,56.0,0.0,0.0,0.2692307692307692,26.0,66.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.75,16.0,1.0,0.0
10728,45.0,2003-07-30,168,1.0,3.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,56.0,0.0,0.0,0.2692307692307692,26.0,66.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.2,15.0,0.0,1.0
10606,42.0,2003-07-22,173,1.0,3.0,56.0,0.0,0.0,0.2692307692307692,26.0,66.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.2,15.0,20.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
10079,31.0,2003-05-27,142,1.0,0.0,66.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.2,15.0,20.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
9539,20.0,2003-03-22,122,1.0,3.0,1.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.2,15.0,20.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,135.0,0.0,0.0,0.25,16.0,1.0,0.0
9525,20.0,2003-03-21,122,1.0,3.0,10.0,0.0,0.0,0.2,15.0,20.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,135.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,1.0
9455,19.0,2003-03-11,119,1.0,3.0,20.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,135.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
