,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46559,52.0,2016-09-02,55,1.0,3.0,3.0,1.0,1.0,0.6666666666666666,27.0,15.0,0.0,0.3333333333333333,0.5,34.0,5.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.46153846153846156,13.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
46509,52.0,2016-08-30,55,1.0,3.0,15.0,0.0,0.3333333333333333,0.5,34.0,5.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.46153846153846156,13.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,0.0,1.0
46374,50.0,2016-08-15,53,1.0,3.0,5.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.46153846153846156,13.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,9.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,0.0
46342,49.0,2016-08-10,39,1.0,3.0,14.0,0.0,0.0,0.46153846153846156,13.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,9.0,0.0,0.3333333333333333,0.4827586206896552,29.0,11.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
46283,47.0,2016-07-27,39,1.0,3.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,9.0,0.0,0.3333333333333333,0.4827586206896552,29.0,11.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.6,0.6363636363636364,44.0,0.0,0.0
46207,45.0,2016-07-22,38,1.0,0.0,2.0,1.0,1.0,0.8571428571428571,14.0,9.0,0.0,0.3333333333333333,0.4827586206896552,29.0,11.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.6,0.6363636363636364,44.0,13.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,0.0
46199,45.0,2016-07-20,38,1.0,0.0,9.0,0.0,0.3333333333333333,0.4827586206896552,29.0,11.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.6,0.6363636363636364,44.0,13.0,0.0,0.3333333333333333,0.4722222222222222,36.0,18.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0
46079,41.0,2016-07-11,34,1.0,0.0,11.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.6,0.6363636363636364,44.0,13.0,0.0,0.3333333333333333,0.4722222222222222,36.0,18.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6428571428571429,28.0,0.0,0.0
45995,39.0,2016-06-30,34,1.0,2.0,3.0,1.0,0.6,0.6363636363636364,44.0,13.0,0.0,0.3333333333333333,0.4722222222222222,36.0,18.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,0.75,0.5675675675675675,37.0,1.0,0.0
45948,39.0,2016-06-27,34,1.0,2.0,13.0,0.0,0.3333333333333333,0.4722222222222222,36.0,18.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,0.75,0.5675675675675675,37.0,11.0,0.0,0.0,0.25,16.0,0.0,1.0
