,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46548,52.0,2016-08-31,144,1.0,3.0,2.0,1.0,0.75,0.5384615384615384,39.0,41.0,0.0,0.0,0.3157894736842105,19.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
46487,52.0,2016-08-29,144,1.0,3.0,41.0,0.0,0.0,0.3157894736842105,19.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,1.0,1.0,0.5652173913043478,23.0,258.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
46142,43.0,2016-07-19,129,1.0,0.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,1.0,1.0,0.5652173913043478,23.0,258.0,0.0,0.0,0.4090909090909091,22.0,93.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
46126,42.0,2016-07-15,136,1.0,2.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,1.0,1.0,0.5652173913043478,23.0,258.0,0.0,0.0,0.4090909090909091,22.0,93.0,0.0,0.0,0.3333333333333333,18.0,46.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
46118,42.0,2016-07-13,136,1.0,2.0,1.0,1.0,1.0,0.5652173913043478,23.0,258.0,0.0,0.0,0.4090909090909091,22.0,93.0,0.0,0.0,0.3333333333333333,18.0,46.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,1.0,1.0
46110,42.0,2016-07-12,136,1.0,2.0,258.0,0.0,0.0,0.4090909090909091,22.0,93.0,0.0,0.0,0.3333333333333333,18.0,46.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
44294,63.0,2015-10-28,313,0.0,3.0,93.0,0.0,0.0,0.3333333333333333,18.0,46.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,28.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,0.0
43559,45.0,2015-07-27,361,1.0,0.0,46.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,28.0,0.0,0.3333333333333333,0.4827586206896552,29.0,27.0,0.0,0.25,0.4897959183673469,49.0,0.0,0.0
43144,34.0,2015-06-11,339,1.0,2.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,28.0,0.0,0.3333333333333333,0.4827586206896552,29.0,27.0,0.0,0.25,0.4897959183673469,49.0,309.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
43133,34.0,2015-06-09,339,1.0,2.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,28.0,0.0,0.3333333333333333,0.4827586206896552,29.0,27.0,0.0,0.25,0.4897959183673469,49.0,309.0,0.0,0.0,0.3333333333333333,18.0,384.0,0.0,0.3333333333333333,0.5142857142857142,35.0,0.0,1.0
41653,61.0,2014-10-21,178,0.0,3.0,28.0,0.0,0.3333333333333333,0.4827586206896552,29.0,27.0,0.0,0.25,0.4897959183673469,49.0,309.0,0.0,0.0,0.3333333333333333,18.0,384.0,0.0,0.3333333333333333,0.5142857142857142,35.0,-356.0,0.0,0.0,0.44,25.0,0.0,0.0
41429,54.0,2014-09-23,163,1.0,3.0,27.0,0.0,0.25,0.4897959183673469,49.0,309.0,0.0,0.0,0.3333333333333333,18.0,384.0,0.0,0.3333333333333333,0.5142857142857142,35.0,-356.0,0.0,0.0,0.44,25.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
41293,51.0,2014-08-27,167,1.0,3.0,309.0,0.0,0.0,0.3333333333333333,18.0,384.0,0.0,0.3333333333333333,0.5142857142857142,35.0,-356.0,0.0,0.0,0.44,25.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,272.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
39055,62.0,2013-10-22,175,0.0,3.0,384.0,0.0,0.3333333333333333,0.5142857142857142,35.0,-356.0,0.0,0.0,0.44,25.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,272.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
38896,57.0,2012-10-03,161,1.0,3.0,-356.0,0.0,0.0,0.44,25.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,272.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,19.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
