,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45672,33.0,2016-05-24,111,1.0,0.0,7.0,0.0,0.0,0.4090909090909091,22.0,19.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,8.0,0.0,0.0,0.3684210526315789,19.0,9.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
45613,32.0,2016-05-17,112,1.0,0.0,19.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,8.0,0.0,0.0,0.3684210526315789,19.0,9.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,0.0,0.0
45431,27.0,2016-04-28,84,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,8.0,0.0,0.0,0.3684210526315789,19.0,9.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,3.0,1.0,0.6666666666666666,0.6206896551724138,29.0,1.0,0.0
45419,27.0,2016-04-26,84,1.0,0.0,8.0,0.0,0.0,0.3684210526315789,19.0,9.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,3.0,1.0,0.6666666666666666,0.6206896551724138,29.0,11.0,0.0,0.3333333333333333,0.4,25.0,0.0,1.0
45312,24.0,2016-04-18,71,1.0,0.0,9.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,3.0,1.0,0.6666666666666666,0.6206896551724138,29.0,11.0,0.0,0.3333333333333333,0.4,25.0,13.0,0.0,0.3333333333333333,0.391304347826087,23.0,0.0,0.0
45224,21.0,2016-04-09,71,1.0,0.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,3.0,1.0,0.6666666666666666,0.6206896551724138,29.0,11.0,0.0,0.3333333333333333,0.4,25.0,13.0,0.0,0.3333333333333333,0.391304347826087,23.0,16.0,0.0,0.0,0.07692307692307693,13.0,2.0,0.0
45217,21.0,2016-04-07,71,1.0,0.0,3.0,1.0,0.6666666666666666,0.6206896551724138,29.0,11.0,0.0,0.3333333333333333,0.4,25.0,13.0,0.0,0.3333333333333333,0.391304347826087,23.0,16.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
45202,21.0,2016-04-04,71,1.0,0.0,11.0,0.0,0.3333333333333333,0.4,25.0,13.0,0.0,0.3333333333333333,0.391304347826087,23.0,16.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0
45133,20.0,2016-03-24,67,1.0,3.0,13.0,0.0,0.3333333333333333,0.391304347826087,23.0,16.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.25,16.0,4.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
45026,19.0,2016-03-11,64,1.0,3.0,16.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.25,16.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
44970,17.0,2016-02-24,66,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.25,16.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
44954,17.0,2016-02-22,66,1.0,3.0,7.0,0.0,0.0,0.25,16.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0
44867,14.0,2016-02-15,69,0.0,3.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.3333333333333333,27.0,12.0,0.0,0.0,0.44,25.0,0.0,0.0
44823,12.0,2016-02-11,69,0.0,3.0,2.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.3333333333333333,27.0,12.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
44808,12.0,2016-02-09,69,0.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.3333333333333333,27.0,12.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.5652173913043478,23.0,94.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
44725,9.0,2016-02-02,56,0.0,3.0,15.0,0.0,0.0,0.3333333333333333,27.0,12.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.5652173913043478,23.0,94.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.8571428571428571,14.0,0.0,0.0
44558,6.0,2016-01-18,52,1.0,3.0,12.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.5652173913043478,23.0,94.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,1.0,0.9230769230769231,13.0,0.0,0.0
44416,1.0,2016-01-06,51,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,94.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,1.0,0.9230769230769231,13.0,26.0,0.0,0.0,0.46153846153846156,39.0,1.0,0.0
44405,1.0,2016-01-04,51,1.0,3.0,94.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,1.0,0.9230769230769231,13.0,26.0,0.0,0.0,0.46153846153846156,39.0,2.0,1.0,1.0,0.75,24.0,0.0,1.0
44075,56.0,2015-10-02,58,1.0,3.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,1.0,0.9230769230769231,13.0,26.0,0.0,0.0,0.46153846153846156,39.0,2.0,1.0,1.0,0.75,24.0,6.0,0.0,0.3333333333333333,0.53125,32.0,2.0,0.0
44072,56.0,2015-10-01,58,1.0,3.0,2.0,1.0,1.0,0.9230769230769231,13.0,26.0,0.0,0.0,0.46153846153846156,39.0,2.0,1.0,1.0,0.75,24.0,6.0,0.0,0.3333333333333333,0.53125,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
44057,56.0,2015-09-29,58,1.0,3.0,26.0,0.0,0.0,0.46153846153846156,39.0,2.0,1.0,1.0,0.75,24.0,6.0,0.0,0.3333333333333333,0.53125,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5625,32.0,0.0,1.0
43926,52.0,2015-09-03,69,1.0,3.0,2.0,1.0,1.0,0.75,24.0,6.0,0.0,0.3333333333333333,0.53125,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5625,32.0,13.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
43903,52.0,2015-09-01,69,1.0,3.0,6.0,0.0,0.3333333333333333,0.53125,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5625,32.0,13.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
43830,51.0,2015-08-26,71,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5625,32.0,13.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.8,15.0,2.0,0.0
43824,51.0,2015-08-25,71,1.0,3.0,2.0,1.0,0.6666666666666666,0.5625,32.0,13.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.8,15.0,35.0,0.0,0.4,0.48,50.0,1.0,1.0
43801,51.0,2015-08-23,71,1.0,3.0,13.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.8,15.0,35.0,0.0,0.4,0.48,50.0,6.0,0.0,0.0,0.25,16.0,0.0,1.0
43694,49.0,2015-08-10,75,1.0,3.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.8,15.0,35.0,0.0,0.4,0.48,50.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
43661,48.0,2015-08-05,77,1.0,3.0,2.0,1.0,1.0,0.8,15.0,35.0,0.0,0.4,0.48,50.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,72.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
43643,48.0,2015-08-03,77,1.0,3.0,35.0,0.0,0.4,0.48,50.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,72.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
43312,39.0,2015-06-29,79,1.0,2.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,72.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
43265,38.0,2015-06-23,78,1.0,2.0,2.0,1.0,1.0,0.5652173913043478,23.0,72.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.6153846153846154,26.0,1.0,0.0
43248,38.0,2015-06-21,78,1.0,2.0,72.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.6153846153846154,26.0,548.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
