,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46569,52.0,2016-09-02,9,1.0,3.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.6551724137931034,29.0,8.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,2.0,1.0,1.0,0.75,8.0,2.0,0.0
46547,52.0,2016-08-31,9,1.0,3.0,2.0,1.0,1.0,0.6551724137931034,29.0,8.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,2.0,1.0,1.0,0.75,8.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0
46473,52.0,2016-08-29,9,1.0,3.0,8.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,2.0,1.0,1.0,0.75,8.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
46423,50.0,2016-08-21,14,1.0,3.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,2.0,1.0,1.0,0.75,8.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.631578947368421,19.0,5.0,1.0
46422,50.0,2016-08-21,14,1.0,3.0,2.0,1.0,1.0,0.75,8.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.43478260869565216,23.0,4.0,1.0
46419,50.0,2016-08-19,14,1.0,3.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.43478260869565216,23.0,21.0,0.0,0.4,0.46296296296296297,54.0,3.0,1.0
46416,50.0,2016-08-19,14,1.0,3.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.43478260869565216,23.0,21.0,0.0,0.4,0.46296296296296297,54.0,2.0,1.0,1.0,0.8461538461538461,13.0,2.0,1.0
46405,50.0,2016-08-18,14,1.0,3.0,3.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.43478260869565216,23.0,21.0,0.0,0.4,0.46296296296296297,54.0,2.0,1.0,1.0,0.8461538461538461,13.0,2.0,1.0,1.0,0.6428571428571429,28.0,1.0,1.0
46375,50.0,2016-08-15,14,1.0,3.0,19.0,0.0,0.0,0.43478260869565216,23.0,21.0,0.0,0.4,0.46296296296296297,54.0,2.0,1.0,1.0,0.8461538461538461,13.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,0.75,0.5853658536585366,41.0,0.0,1.0
46295,47.0,2016-07-27,12,1.0,3.0,21.0,0.0,0.4,0.46296296296296297,54.0,2.0,1.0,1.0,0.8461538461538461,13.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,0.75,0.5853658536585366,41.0,3.0,1.0,1.0,0.6333333333333333,30.0,0.0,0.0
46040,39.0,2016-07-06,13,1.0,2.0,2.0,1.0,1.0,0.8461538461538461,13.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,0.75,0.5853658536585366,41.0,3.0,1.0,1.0,0.6333333333333333,30.0,9.0,0.0,0.3333333333333333,0.42857142857142855,28.0,4.0,0.0
46033,39.0,2016-07-04,13,1.0,2.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,0.75,0.5853658536585366,41.0,3.0,1.0,1.0,0.6333333333333333,30.0,9.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,0.6666666666666666,0.5625,32.0,3.0,1.0
46019,39.0,2016-07-02,13,1.0,2.0,2.0,1.0,0.75,0.5853658536585366,41.0,3.0,1.0,1.0,0.6333333333333333,30.0,9.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0
45994,39.0,2016-06-30,13,1.0,2.0,3.0,1.0,1.0,0.6333333333333333,30.0,9.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0
45923,39.0,2016-06-27,13,1.0,2.0,9.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,5.0,0.0,0.0,0.44,25.0,0.0,1.0
45870,37.0,2016-06-18,13,1.0,2.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,5.0,0.0,0.0,0.44,25.0,17.0,0.0,0.25,0.45,40.0,3.0,0.0
