,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38174,39.0,2013-07-09,147,1.0,2.0,77.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.53125,32.0,42.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.07692307692307693,13.0,0.0,0.0
37506,25.0,2013-04-23,133,1.0,0.0,12.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.53125,32.0,42.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.07692307692307693,13.0,5.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
37384,22.0,2013-04-11,107,1.0,0.0,2.0,1.0,0.6666666666666666,0.53125,32.0,42.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.07692307692307693,13.0,5.0,0.0,0.0,0.46153846153846156,26.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,0.0
37375,22.0,2013-04-09,107,1.0,0.0,42.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.07692307692307693,13.0,5.0,0.0,0.0,0.46153846153846156,26.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,0.0,0.5,2.0,0.0,1.0
37098,17.0,2013-02-26,100,1.0,3.0,8.0,0.0,0.0,0.07692307692307693,13.0,5.0,0.0,0.0,0.46153846153846156,26.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,0.0,0.5,2.0,23.0,0.0,0.0,0.25,24.0,0.0,0.0
36975,13.0,2013-02-18,99,1.0,0.0,5.0,0.0,0.0,0.46153846153846156,26.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,0.0,0.5,2.0,23.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
36927,11.0,2013-02-13,99,0.0,3.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,0.0,0.5,2.0,23.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.3684210526315789,19.0,75.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
36877,9.0,2013-02-07,99,0.0,3.0,1.0,1.0,0.0,0.5,2.0,23.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.3684210526315789,19.0,75.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6,20.0,1.0,0.0
36869,9.0,2013-02-06,99,0.0,3.0,23.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.3684210526315789,19.0,75.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.35,20.0,0.0,1.0
36696,6.0,2013-01-14,95,1.0,3.0,13.0,0.0,0.0,0.3684210526315789,19.0,75.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.6,30.0,0.0,0.0
