,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
10529,40.0,2003-07-15,214,1.0,0.0,113.0,0.0,0.3333333333333333,0.36,25.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,1.0,9.0,24.0,0.0,0.3333333333333333,0.4074074074074074,27.0,42.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
9570,20.0,2003-03-24,178,1.0,3.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,1.0,9.0,24.0,0.0,0.3333333333333333,0.4074074074074074,27.0,42.0,0.0,0.0,0.3448275862068966,29.0,91.0,0.0,0.0,0.14285714285714285,14.0,2.0,0.0
9541,20.0,2003-03-22,178,1.0,3.0,2.0,1.0,1.0,1.0,9.0,24.0,0.0,0.3333333333333333,0.4074074074074074,27.0,42.0,0.0,0.0,0.3448275862068966,29.0,91.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0
9505,20.0,2003-03-20,178,1.0,3.0,24.0,0.0,0.3333333333333333,0.4074074074074074,27.0,42.0,0.0,0.0,0.3448275862068966,29.0,91.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.3333333333333333,0.45161290322580644,31.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0
9280,14.0,2003-02-24,137,1.0,0.0,42.0,0.0,0.0,0.3448275862068966,29.0,91.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.3333333333333333,0.45161290322580644,31.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
8939,6.0,2003-01-13,118,1.0,3.0,91.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.3333333333333333,0.45161290322580644,31.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.6,20.0,0.0,0.0
8586,61.0,2002-10-14,106,0.0,3.0,14.0,0.0,0.3333333333333333,0.45161290322580644,31.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.6,20.0,28.0,0.0,0.25,0.4888888888888889,45.0,0.0,0.0
8466,58.0,2002-09-30,90,1.0,3.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.6,20.0,28.0,0.0,0.25,0.4888888888888889,45.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
8395,55.0,2002-09-23,101,1.0,3.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.6,20.0,28.0,0.0,0.25,0.4888888888888889,45.0,7.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,0.0
8386,55.0,2002-09-23,101,1.0,3.0,0.0,1.0,1.0,0.6,20.0,28.0,0.0,0.25,0.4888888888888889,45.0,7.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,0.6666666666666666,0.59375,32.0,1.0,1.0
8371,55.0,2002-09-23,101,1.0,3.0,28.0,0.0,0.25,0.4888888888888889,45.0,7.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,0.6666666666666666,0.59375,32.0,28.0,0.0,0.0,0.4,20.0,0.0,1.0
8152,51.0,2002-08-26,84,1.0,3.0,7.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0,0.6666666666666666,0.59375,32.0,28.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
