,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
35239,32.0,2012-05-31,139,1.0,0.0,3.0,1.0,0.5,0.5102040816326531,49.0,66.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,29.0,0.0,0.0,0.3684210526315789,19.0,152.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,0.0
35181,32.0,2012-05-28,139,1.0,0.0,66.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,29.0,0.0,0.0,0.3684210526315789,19.0,152.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
34692,20.0,2012-03-23,153,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,29.0,0.0,0.0,0.3684210526315789,19.0,152.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.631578947368421,19.0,77.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
34662,20.0,2012-03-21,153,1.0,3.0,29.0,0.0,0.0,0.3684210526315789,19.0,152.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.631578947368421,19.0,77.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
34411,14.0,2012-02-21,155,0.0,3.0,152.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.631578947368421,19.0,77.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.4,0.46938775510204084,49.0,0.0,0.0
33517,52.0,2011-09-22,172,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,77.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.4,0.46938775510204084,49.0,8.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
33511,52.0,2011-09-21,172,0.0,3.0,77.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.4,0.46938775510204084,49.0,8.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.4,20.0,0.0,1.0
32891,37.0,2011-07-06,169,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.4,0.46938775510204084,49.0,8.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
32884,37.0,2011-07-05,169,1.0,2.0,14.0,0.0,0.4,0.46938775510204084,49.0,8.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.25,0.4772727272727273,44.0,0.0,1.0
32770,36.0,2011-06-21,143,1.0,2.0,8.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.25,0.4772727272727273,44.0,2.0,1.0,0.75,0.5128205128205128,39.0,0.0,0.0
32722,35.0,2011-06-13,138,1.0,2.0,5.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.25,0.4772727272727273,44.0,2.0,1.0,0.75,0.5128205128205128,39.0,97.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
32657,33.0,2011-06-08,146,1.0,2.0,2.0,1.0,1.0,0.6190476190476191,21.0,11.0,0.0,0.25,0.4772727272727273,44.0,2.0,1.0,0.75,0.5128205128205128,39.0,97.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0
32631,33.0,2011-06-06,146,1.0,2.0,11.0,0.0,0.25,0.4772727272727273,44.0,2.0,1.0,0.75,0.5128205128205128,39.0,97.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
32562,31.0,2011-05-26,158,1.0,0.0,2.0,1.0,0.75,0.5128205128205128,39.0,97.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,15.0,0.0,0.4,0.4782608695652174,46.0,1.0,0.0
32518,31.0,2011-05-24,158,1.0,0.0,97.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,15.0,0.0,0.4,0.4782608695652174,46.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
31752,14.0,2011-02-16,104,0.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,15.0,0.0,0.4,0.4782608695652174,46.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,0.0
31612,9.0,2011-02-03,116,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,15.0,0.0,0.4,0.4782608695652174,46.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,7.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
31606,9.0,2011-02-02,116,0.0,3.0,15.0,0.0,0.4,0.4782608695652174,46.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,7.0,0.0,0.0,0.3684210526315789,19.0,56.0,0.0,0.3333333333333333,0.375,24.0,0.0,1.0
31466,6.0,2011-01-18,113,1.0,3.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,7.0,0.0,0.0,0.3684210526315789,19.0,56.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,0.0
31370,4.0,2011-01-12,75,1.0,3.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,7.0,0.0,0.0,0.3684210526315789,19.0,56.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
31362,4.0,2011-01-11,75,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,56.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.4,20.0,0.0,1.0
31270,1.0,2011-01-04,78,1.0,3.0,56.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.4,20.0,4.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
31214,64.0,2010-11-09,72,0.0,3.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.4,20.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,1.0,0.0
31204,64.0,2010-11-08,72,0.0,3.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.4,20.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,27.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
31170,63.0,2010-11-01,73,0.0,3.0,7.0,0.0,0.0,0.4,20.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,27.0,0.0,0.0,0.3333333333333333,18.0,18.0,0.0,0.4,0.4888888888888889,45.0,0.0,0.0
31052,59.0,2010-10-25,63,0.0,3.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,27.0,0.0,0.0,0.3333333333333333,18.0,18.0,0.0,0.4,0.4888888888888889,45.0,2.0,1.0,1.0,0.5789473684210527,19.0,0.0,0.0
31039,58.0,2010-10-21,60,0.0,3.0,2.0,1.0,1.0,0.75,16.0,27.0,0.0,0.0,0.3333333333333333,18.0,18.0,0.0,0.4,0.4888888888888889,45.0,2.0,1.0,1.0,0.5789473684210527,19.0,2.0,1.0,0.6,0.4782608695652174,46.0,1.0,0.0
31030,58.0,2010-10-19,60,0.0,3.0,27.0,0.0,0.0,0.3333333333333333,18.0,18.0,0.0,0.4,0.4888888888888889,45.0,2.0,1.0,1.0,0.5789473684210527,19.0,2.0,1.0,0.6,0.4782608695652174,46.0,8.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
30809,51.0,2010-09-22,60,0.0,3.0,18.0,0.0,0.4,0.4888888888888889,45.0,2.0,1.0,1.0,0.5789473684210527,19.0,2.0,1.0,0.6,0.4782608695652174,46.0,8.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.25,16.0,0.0,0.0
