,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45981,39.0,2016-06-30,174,1.0,2.0,73.0,0.0,0.3333333333333333,0.375,24.0,74.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,1.0,0.7058823529411765,17.0,235.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
45361,25.0,2016-04-18,186,1.0,0.0,74.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,1.0,0.7058823529411765,17.0,235.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,0.0
44738,9.0,2016-02-04,214,0.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,235.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,34.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
44725,9.0,2016-02-02,214,0.0,3.0,235.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,34.0,0.0,0.0,0.38095238095238093,21.0,15.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0
43150,34.0,2015-06-12,196,1.0,2.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,34.0,0.0,0.0,0.38095238095238093,21.0,15.0,0.0,0.3333333333333333,0.5,26.0,88.0,0.0,0.0,0.42857142857142855,35.0,2.0,0.0
43142,34.0,2015-06-10,196,1.0,2.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,34.0,0.0,0.0,0.38095238095238093,21.0,15.0,0.0,0.3333333333333333,0.5,26.0,88.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,1.0,0.6785714285714286,28.0,1.0,1.0
43130,34.0,2015-06-08,196,1.0,2.0,34.0,0.0,0.0,0.38095238095238093,21.0,15.0,0.0,0.3333333333333333,0.5,26.0,88.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,1.0,0.6785714285714286,28.0,14.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0
42857,29.0,2015-05-05,177,1.0,0.0,15.0,0.0,0.3333333333333333,0.5,26.0,88.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,1.0,0.6785714285714286,28.0,14.0,0.0,0.3333333333333333,0.4666666666666667,30.0,81.0,0.0,0.0,0.25,16.0,0.0,0.0
42731,25.0,2015-04-20,172,1.0,0.0,88.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,1.0,0.6785714285714286,28.0,14.0,0.0,0.3333333333333333,0.4666666666666667,30.0,81.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
41998,6.0,2015-01-22,194,1.0,3.0,2.0,1.0,1.0,0.6785714285714286,28.0,14.0,0.0,0.3333333333333333,0.4666666666666667,30.0,81.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,0.0
41965,6.0,2015-01-20,194,1.0,3.0,14.0,0.0,0.3333333333333333,0.4666666666666667,30.0,81.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,98.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
41776,1.0,2015-01-06,201,1.0,3.0,81.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,98.0,0.0,0.0,0.43478260869565216,23.0,62.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
41617,59.0,2014-10-17,181,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,98.0,0.0,0.0,0.43478260869565216,23.0,62.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,1.0,0.631578947368421,19.0,2.0,0.0
41609,59.0,2014-10-16,181,0.0,3.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,98.0,0.0,0.0,0.43478260869565216,23.0,62.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
41600,59.0,2014-10-14,181,0.0,3.0,98.0,0.0,0.0,0.43478260869565216,23.0,62.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
40809,39.0,2014-07-08,161,1.0,2.0,62.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,56.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
40248,28.0,2014-05-07,164,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,56.0,0.0,0.0,0.3684210526315789,19.0,53.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
40218,28.0,2014-05-05,164,1.0,0.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,56.0,0.0,0.0,0.3684210526315789,19.0,53.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
40151,25.0,2014-04-24,167,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,56.0,0.0,0.0,0.3684210526315789,19.0,53.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.5128205128205128,39.0,1.0,0.0
