,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
25001,44.0,2008-07-15,564,1.0,0.0,7.0,0.0,0.3333333333333333,0.42857142857142855,21.0,29.0,0.0,0.0,0.3333333333333333,9.0,14.0,0.0,0.25,0.41025641025641024,39.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
24915,41.0,2008-07-08,557,1.0,0.0,29.0,0.0,0.0,0.3333333333333333,9.0,14.0,0.0,0.25,0.41025641025641024,39.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,20.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
24608,34.0,2008-06-09,560,1.0,0.0,14.0,0.0,0.25,0.41025641025641024,39.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,20.0,0.0,0.3333333333333333,0.46875,32.0,75.0,0.0,0.0,0.2,15.0,0.0,0.0
24407,31.0,2008-05-26,604,1.0,0.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,20.0,0.0,0.3333333333333333,0.46875,32.0,75.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
24349,29.0,2008-05-20,733,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,20.0,0.0,0.3333333333333333,0.46875,32.0,75.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,0.0
24338,29.0,2008-05-19,733,1.0,0.0,20.0,0.0,0.3333333333333333,0.46875,32.0,75.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.3333333333333333,0.4482758620689655,29.0,516.0,0.0,0.0,0.4,5.0,0.0,1.0
24148,25.0,2008-04-29,811,1.0,0.0,75.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.3333333333333333,0.4482758620689655,29.0,516.0,0.0,0.0,0.4,5.0,30.0,0.0,0.0,0.5454545454545454,11.0,0.0,0.0
23476,8.0,2008-02-14,0,1.0,0.0,2.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.3333333333333333,0.4482758620689655,29.0,516.0,0.0,0.0,0.4,5.0,30.0,0.0,0.0,0.5454545454545454,11.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
23461,8.0,2008-02-12,0,1.0,0.0,15.0,0.0,0.3333333333333333,0.4482758620689655,29.0,516.0,0.0,0.0,0.4,5.0,30.0,0.0,0.0,0.5454545454545454,11.0,6.0,0.0,0.0,0.29411764705882354,17.0,3.0,0.0,0.0,0.2222222222222222,9.0,0.0,1.0
23426,7.0,2008-01-28,0,1.0,0.0,516.0,0.0,0.0,0.4,5.0,30.0,0.0,0.0,0.5454545454545454,11.0,6.0,0.0,0.0,0.29411764705882354,17.0,3.0,0.0,0.0,0.2222222222222222,9.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
