,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38332,44.0,2013-07-23,206,1.0,0.0,455.0,0.0,0.0,0.3333333333333333,18.0,217.0,0.0,0.0,0.3333333333333333,18.0,63.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.2,15.0,0.0,0.0
34914,25.0,2012-04-24,247,1.0,0.0,217.0,0.0,0.0,0.3333333333333333,18.0,63.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.2,15.0,264.0,0.0,0.0,0.44,25.0,0.0,0.0
33480,51.0,2011-09-20,210,1.0,0.0,63.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.2,15.0,264.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
33006,41.0,2011-07-19,194,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.2,15.0,264.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.5909090909090909,22.0,26.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,0.0
32991,41.0,2011-07-18,194,1.0,0.0,6.0,0.0,0.0,0.2,15.0,264.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.5909090909090909,22.0,26.0,0.0,0.3333333333333333,0.48484848484848486,33.0,2.0,1.0,1.0,0.75,16.0,0.0,1.0
32935,39.0,2011-07-12,195,1.0,0.0,264.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.5909090909090909,22.0,26.0,0.0,0.3333333333333333,0.48484848484848486,33.0,2.0,1.0,1.0,0.75,16.0,70.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
31011,57.0,2010-10-21,176,0.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,26.0,0.0,0.3333333333333333,0.48484848484848486,33.0,2.0,1.0,1.0,0.75,16.0,70.0,0.0,0.0,0.29411764705882354,17.0,140.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
31000,57.0,2010-10-19,176,0.0,3.0,26.0,0.0,0.3333333333333333,0.48484848484848486,33.0,2.0,1.0,1.0,0.75,16.0,70.0,0.0,0.0,0.29411764705882354,17.0,140.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
30790,50.0,2010-09-23,184,1.0,0.0,2.0,1.0,1.0,0.75,16.0,70.0,0.0,0.0,0.29411764705882354,17.0,140.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3333333333333333,18.0,97.0,0.0,0.0,0.18181818181818182,11.0,1.0,0.0
30778,50.0,2010-09-21,184,1.0,0.0,70.0,0.0,0.0,0.29411764705882354,17.0,140.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3333333333333333,18.0,97.0,0.0,0.0,0.18181818181818182,11.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
