,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
32874,37.0,2011-07-04,164,1.0,2.0,42.0,0.0,0.0,0.2692307692307692,26.0,48.0,0.0,0.0,0.4090909090909091,22.0,42.0,0.0,0.0,0.38095238095238093,21.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
32498,31.0,2011-05-23,147,1.0,0.0,48.0,0.0,0.0,0.4090909090909091,22.0,42.0,0.0,0.0,0.38095238095238093,21.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,0.0
32113,22.0,2011-04-05,104,1.0,0.0,42.0,0.0,0.0,0.38095238095238093,21.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
31836,17.0,2011-02-22,89,1.0,3.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.44,25.0,0.0,0.0
31787,15.0,2011-02-17,99,0.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.44,25.0,16.0,0.0,0.0,0.3793103448275862,29.0,1.0,0.0
31777,15.0,2011-02-15,99,0.0,3.0,5.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.44,25.0,16.0,0.0,0.0,0.3793103448275862,29.0,139.0,0.0,0.0,0.28,25.0,0.0,1.0
31700,12.0,2011-02-10,106,0.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.44,25.0,16.0,0.0,0.0,0.3793103448275862,29.0,139.0,0.0,0.0,0.28,25.0,28.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
31686,12.0,2011-02-08,106,0.0,3.0,6.0,0.0,0.0,0.44,25.0,16.0,0.0,0.0,0.3793103448275862,29.0,139.0,0.0,0.0,0.28,25.0,28.0,0.0,0.0,0.38095238095238093,21.0,24.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
31547,7.0,2011-02-02,106,1.0,3.0,16.0,0.0,0.0,0.3793103448275862,29.0,139.0,0.0,0.0,0.28,25.0,28.0,0.0,0.0,0.38095238095238093,21.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,0.0,0.0
31423,6.0,2011-01-17,109,1.0,3.0,139.0,0.0,0.0,0.28,25.0,28.0,0.0,0.0,0.38095238095238093,21.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
30667,49.0,2010-08-31,96,1.0,3.0,28.0,0.0,0.0,0.38095238095238093,21.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.5,0.5238095238095238,21.0,0.0,0.0
30452,45.0,2010-08-03,91,1.0,3.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.5,0.5238095238095238,21.0,112.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
30225,37.0,2010-07-10,105,1.0,2.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.5,0.5238095238095238,21.0,112.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0
30220,37.0,2010-07-08,105,1.0,2.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.5,0.5238095238095238,21.0,112.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0
30212,37.0,2010-07-07,105,1.0,2.0,1.0,1.0,0.5,0.5238095238095238,21.0,112.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,226.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0
30205,37.0,2010-07-06,105,1.0,2.0,112.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,226.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
29291,19.0,2010-03-16,175,1.0,3.0,3.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,226.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.0,0.3793103448275862,29.0,2.0,0.0
29254,19.0,2010-03-13,175,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,226.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.0,0.3793103448275862,29.0,28.0,0.0,0.25,0.45454545454545453,44.0,1.0,1.0
29232,19.0,2010-03-11,175,1.0,3.0,226.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.0,0.3793103448275862,29.0,28.0,0.0,0.25,0.45454545454545453,44.0,19.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
27714,44.0,2009-07-28,117,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.0,0.3793103448275862,29.0,28.0,0.0,0.25,0.45454545454545453,44.0,19.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.8,15.0,0.0,0.0
27633,41.0,2009-07-21,118,1.0,3.0,28.0,0.0,0.0,0.3793103448275862,29.0,28.0,0.0,0.25,0.45454545454545453,44.0,19.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.8,15.0,29.0,0.0,0.3333333333333333,0.44,25.0,0.0,0.0
27407,36.0,2009-06-23,99,1.0,2.0,28.0,0.0,0.25,0.45454545454545453,44.0,19.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.8,15.0,29.0,0.0,0.3333333333333333,0.44,25.0,41.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
27136,31.0,2009-05-26,107,1.0,0.0,19.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.8,15.0,29.0,0.0,0.3333333333333333,0.44,25.0,41.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.25,16.0,0.0,0.0
26927,26.0,2009-05-07,108,1.0,0.0,1.0,1.0,1.0,0.8,15.0,29.0,0.0,0.3333333333333333,0.44,25.0,41.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.25,16.0,3.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,0.0
