,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
32283,26.0,2011-04-26,147,1.0,0.0,98.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.25,16.0,196.0,0.0,0.4,0.40425531914893614,47.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
31446,6.0,2011-01-18,93,1.0,3.0,15.0,0.0,0.0,0.25,16.0,196.0,0.0,0.4,0.40425531914893614,47.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,62.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
31294,2.0,2011-01-03,96,1.0,3.0,196.0,0.0,0.4,0.40425531914893614,47.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,62.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
30083,36.0,2010-06-21,108,1.0,2.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,62.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
29989,33.0,2010-06-09,112,1.0,2.0,2.0,1.0,1.0,0.7058823529411765,17.0,62.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.3333333333333333,18.0,17.0,0.0,0.3333333333333333,0.53125,32.0,1.0,0.0
29970,33.0,2010-06-07,112,1.0,2.0,62.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.3333333333333333,18.0,17.0,0.0,0.3333333333333333,0.53125,32.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
29442,22.0,2010-04-06,111,1.0,0.0,12.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.3333333333333333,18.0,17.0,0.0,0.3333333333333333,0.53125,32.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
29347,20.0,2010-03-25,110,1.0,3.0,13.0,0.0,0.0,0.3333333333333333,18.0,17.0,0.0,0.3333333333333333,0.53125,32.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.75,16.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
29244,19.0,2010-03-12,86,1.0,3.0,17.0,0.0,0.3333333333333333,0.53125,32.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.75,16.0,7.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,0.0
29136,16.0,2010-02-23,87,1.0,0.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.75,16.0,7.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,13.0,0.0,0.0,0.32142857142857145,28.0,0.0,0.0
29059,13.0,2010-02-18,86,1.0,0.0,2.0,1.0,1.0,0.75,16.0,7.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,13.0,0.0,0.0,0.32142857142857145,28.0,106.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
29043,13.0,2010-02-16,86,1.0,0.0,7.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,13.0,0.0,0.0,0.32142857142857145,28.0,106.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
28950,10.0,2010-02-09,89,1.0,0.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,13.0,0.0,0.0,0.32142857142857145,28.0,106.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.29411764705882354,17.0,27.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
28887,8.0,2010-02-01,89,1.0,0.0,13.0,0.0,0.0,0.32142857142857145,28.0,106.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.29411764705882354,17.0,27.0,0.0,0.0,0.3333333333333333,27.0,32.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
28776,6.0,2010-01-19,88,1.0,3.0,106.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.29411764705882354,17.0,27.0,0.0,0.0,0.3333333333333333,27.0,32.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
28186,53.0,2009-10-05,86,1.0,3.0,6.0,0.0,0.0,0.29411764705882354,17.0,27.0,0.0,0.0,0.3333333333333333,27.0,32.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
28133,51.0,2009-09-29,90,0.0,3.0,27.0,0.0,0.0,0.3333333333333333,27.0,32.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
28003,49.0,2009-09-02,57,1.0,3.0,32.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
27680,42.0,2009-08-01,73,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6666666666666666,18.0,3.0,0.0
27677,42.0,2009-07-31,73,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.2,15.0,2.0,1.0
27672,42.0,2009-07-30,73,1.0,0.0,2.0,1.0,1.0,0.5384615384615384,26.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.2,15.0,42.0,0.0,0.0,0.3870967741935484,31.0,1.0,1.0
27665,42.0,2009-07-28,73,1.0,0.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.2,15.0,42.0,0.0,0.0,0.3870967741935484,31.0,17.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
27643,41.0,2009-07-23,75,1.0,3.0,0.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.2,15.0,42.0,0.0,0.0,0.3870967741935484,31.0,17.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
27636,41.0,2009-07-23,75,1.0,3.0,17.0,0.0,0.0,0.2,15.0,42.0,0.0,0.0,0.3870967741935484,31.0,17.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,1.0
27488,37.0,2009-07-06,101,1.0,2.0,42.0,0.0,0.0,0.3870967741935484,31.0,17.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
27108,31.0,2009-05-25,97,1.0,0.0,17.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,43.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
26930,26.0,2009-05-08,120,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,43.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.4,20.0,2.0,0.0
26925,26.0,2009-05-07,120,1.0,0.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,43.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.3333333333333333,27.0,1.0,1.0
26909,26.0,2009-05-05,120,1.0,0.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,43.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.3333333333333333,27.0,147.0,0.0,0.0,0.28,25.0,0.0,1.0
26727,22.0,2009-04-08,110,1.0,0.0,43.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.3333333333333333,27.0,147.0,0.0,0.0,0.28,25.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
26406,16.0,2009-02-24,88,1.0,0.0,22.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.3333333333333333,27.0,147.0,0.0,0.0,0.28,25.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,33.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
26156,8.0,2009-02-02,90,1.0,0.0,14.0,0.0,0.0,0.3333333333333333,27.0,147.0,0.0,0.0,0.28,25.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,33.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
26012,6.0,2009-01-19,101,1.0,3.0,147.0,0.0,0.0,0.28,25.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,33.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,8.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
25273,51.0,2008-08-25,82,1.0,3.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,33.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,8.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
25222,50.0,2008-08-18,81,1.0,3.0,33.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,8.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3448275862068966,29.0,6.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
25035,45.0,2008-07-16,79,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,8.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3448275862068966,29.0,6.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
25030,45.0,2008-07-15,79,1.0,0.0,8.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3448275862068966,29.0,6.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
24855,39.0,2008-07-07,78,1.0,0.0,14.0,0.0,0.0,0.3448275862068966,29.0,6.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.4,0.4782608695652174,46.0,0.0,0.0
