,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46170,44.0,2016-07-19,113,1.0,0.0,5.0,0.0,0.3333333333333333,0.4666666666666667,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,14.0,0.0,0.25,0.41025641025641024,39.0,34.0,0.0,0.0,0.40625,32.0,2.0,1.0,0.5,0.5227272727272727,44.0,0.0,0.0
46066,40.0,2016-07-14,117,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,14.0,0.0,0.25,0.41025641025641024,39.0,34.0,0.0,0.0,0.40625,32.0,2.0,1.0,0.5,0.5227272727272727,44.0,25.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
46057,40.0,2016-07-12,117,1.0,0.0,14.0,0.0,0.25,0.41025641025641024,39.0,34.0,0.0,0.0,0.40625,32.0,2.0,1.0,0.5,0.5227272727272727,44.0,25.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0
45953,39.0,2016-06-28,114,1.0,2.0,34.0,0.0,0.0,0.40625,32.0,2.0,1.0,0.5,0.5227272727272727,44.0,25.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6842105263157895,19.0,5.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
45699,33.0,2016-05-25,93,1.0,0.0,2.0,1.0,0.5,0.5227272727272727,44.0,25.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6842105263157895,19.0,5.0,0.0,0.0,0.14285714285714285,14.0,3.0,1.0,1.0,0.8571428571428571,14.0,1.0,0.0
45639,33.0,2016-05-23,93,1.0,0.0,25.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6842105263157895,19.0,5.0,0.0,0.0,0.14285714285714285,14.0,3.0,1.0,1.0,0.8571428571428571,14.0,5.0,0.0,0.3333333333333333,0.3333333333333333,24.0,0.0,1.0
45401,26.0,2016-04-28,90,1.0,0.0,2.0,1.0,1.0,0.6842105263157895,19.0,5.0,0.0,0.0,0.14285714285714285,14.0,3.0,1.0,1.0,0.8571428571428571,14.0,5.0,0.0,0.3333333333333333,0.3333333333333333,24.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
45392,26.0,2016-04-26,90,1.0,0.0,5.0,0.0,0.0,0.14285714285714285,14.0,3.0,1.0,1.0,0.8571428571428571,14.0,5.0,0.0,0.3333333333333333,0.3333333333333333,24.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
45375,25.0,2016-04-21,85,1.0,0.0,3.0,1.0,1.0,0.8571428571428571,14.0,5.0,0.0,0.3333333333333333,0.3333333333333333,24.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,43.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
45360,25.0,2016-04-18,85,1.0,0.0,5.0,0.0,0.3333333333333333,0.3333333333333333,24.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,43.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0
