,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46537,52.0,2016-08-31,106,1.0,3.0,2.0,1.0,0.6,0.5,56.0,95.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.72,25.0,112.0,0.0,0.0,0.4166666666666667,24.0,14.0,0.0,0.4,0.4666666666666667,45.0,1.0,0.0
46471,52.0,2016-08-29,106,1.0,3.0,95.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.72,25.0,112.0,0.0,0.0,0.4166666666666667,24.0,14.0,0.0,0.4,0.4666666666666667,45.0,89.0,0.0,0.0,0.1111111111111111,9.0,0.0,1.0
45718,33.0,2016-05-26,161,1.0,0.0,2.0,1.0,1.0,0.72,25.0,112.0,0.0,0.0,0.4166666666666667,24.0,14.0,0.0,0.4,0.4666666666666667,45.0,89.0,0.0,0.0,0.1111111111111111,9.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
45667,33.0,2016-05-24,161,1.0,0.0,112.0,0.0,0.0,0.4166666666666667,24.0,14.0,0.0,0.4,0.4666666666666667,45.0,89.0,0.0,0.0,0.1111111111111111,9.0,2.0,1.0,1.0,0.5652173913043478,23.0,27.0,0.0,0.3333333333333333,0.48,25.0,0.0,1.0
44676,7.0,2016-02-02,106,0.0,3.0,14.0,0.0,0.4,0.4666666666666667,45.0,89.0,0.0,0.0,0.1111111111111111,9.0,2.0,1.0,1.0,0.5652173913043478,23.0,27.0,0.0,0.3333333333333333,0.48,25.0,19.0,0.0,0.0,0.18181818181818182,22.0,0.0,0.0
44585,6.0,2016-01-19,110,1.0,3.0,89.0,0.0,0.0,0.1111111111111111,9.0,2.0,1.0,1.0,0.5652173913043478,23.0,27.0,0.0,0.3333333333333333,0.48,25.0,19.0,0.0,0.0,0.18181818181818182,22.0,3.0,1.0,0.6666666666666666,0.6176470588235294,34.0,0.0,0.0
44241,61.0,2015-10-22,81,0.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,27.0,0.0,0.3333333333333333,0.48,25.0,19.0,0.0,0.0,0.18181818181818182,22.0,3.0,1.0,0.6666666666666666,0.6176470588235294,34.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0
44227,61.0,2015-10-20,81,0.0,3.0,27.0,0.0,0.3333333333333333,0.48,25.0,19.0,0.0,0.0,0.18181818181818182,22.0,3.0,1.0,0.6666666666666666,0.6176470588235294,34.0,9.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
43981,53.0,2015-09-23,59,0.0,3.0,19.0,0.0,0.0,0.18181818181818182,22.0,3.0,1.0,0.6666666666666666,0.6176470588235294,34.0,9.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
43940,52.0,2015-09-04,66,1.0,3.0,3.0,1.0,0.6666666666666666,0.6176470588235294,34.0,9.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
