,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46136,43.0,2016-07-19,136,1.0,0.0,56.0,0.0,0.25,0.4666666666666667,45.0,28.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5625,32.0,12.0,0.0,0.0,0.4,20.0,0.0,0.0
45677,33.0,2016-05-24,120,1.0,0.0,28.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5625,32.0,12.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.56,25.0,0.0,0.0
45418,27.0,2016-04-26,102,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5625,32.0,12.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.56,25.0,23.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
45336,24.0,2016-04-20,102,1.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,12.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.56,25.0,23.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,0.0
45325,24.0,2016-04-19,102,1.0,0.0,12.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.56,25.0,23.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,18.0,0.0,0.0,0.2,15.0,0.0,1.0
45248,22.0,2016-04-07,105,1.0,0.0,2.0,1.0,1.0,0.56,25.0,23.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,18.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,0.0
45239,22.0,2016-04-05,105,1.0,0.0,23.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,18.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
45065,19.0,2016-03-13,103,1.0,3.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,18.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.0,0.2,15.0,1.0,0.0
45041,19.0,2016-03-12,103,1.0,3.0,18.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
44927,16.0,2016-02-23,105,1.0,3.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,8.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,15.0,0.0,0.25,0.4186046511627907,43.0,0.0,0.0
44847,13.0,2016-02-16,95,1.0,3.0,8.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,15.0,0.0,0.25,0.4186046511627907,43.0,5.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
44806,12.0,2016-02-08,90,0.0,3.0,4.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,15.0,0.0,0.25,0.4186046511627907,43.0,5.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
44736,9.0,2016-02-04,94,0.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,15.0,0.0,0.25,0.4186046511627907,43.0,5.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.631578947368421,19.0,266.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,0.0
44726,9.0,2016-02-02,94,0.0,3.0,15.0,0.0,0.25,0.4186046511627907,43.0,5.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.631578947368421,19.0,266.0,0.0,0.3333333333333333,0.45714285714285713,35.0,39.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
44549,6.0,2016-01-18,98,1.0,3.0,5.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.631578947368421,19.0,266.0,0.0,0.3333333333333333,0.45714285714285713,35.0,39.0,0.0,0.0,0.43478260869565216,23.0,21.0,0.0,0.0,0.4,15.0,0.0,0.0
