,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46159,44.0,2016-07-18,159,1.0,0.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,49.0,0.0,0.0,0.2962962962962963,27.0,98.0,0.0,0.3333333333333333,0.4722222222222222,36.0,13.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
46085,41.0,2016-07-12,159,1.0,0.0,49.0,0.0,0.0,0.2962962962962963,27.0,98.0,0.0,0.3333333333333333,0.4722222222222222,36.0,13.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.53125,32.0,105.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
45673,33.0,2016-05-24,143,1.0,0.0,98.0,0.0,0.3333333333333333,0.4722222222222222,36.0,13.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.53125,32.0,105.0,0.0,0.0,0.46153846153846156,26.0,28.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
44870,14.0,2016-02-16,152,0.0,3.0,13.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.53125,32.0,105.0,0.0,0.0,0.46153846153846156,26.0,28.0,0.0,0.0,0.43478260869565216,23.0,50.0,0.0,0.0,0.25,16.0,0.0,0.0
44680,7.0,2016-02-03,156,0.0,3.0,1.0,1.0,0.6666666666666666,0.53125,32.0,105.0,0.0,0.0,0.46153846153846156,26.0,28.0,0.0,0.0,0.43478260869565216,23.0,50.0,0.0,0.0,0.25,16.0,33.0,0.0,0.0,0.25,24.0,1.0,0.0
44674,7.0,2016-02-02,156,0.0,3.0,105.0,0.0,0.0,0.46153846153846156,26.0,28.0,0.0,0.0,0.43478260869565216,23.0,50.0,0.0,0.0,0.25,16.0,33.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5094339622641509,53.0,0.0,1.0
44257,62.0,2015-10-20,123,0.0,3.0,28.0,0.0,0.0,0.43478260869565216,23.0,50.0,0.0,0.0,0.25,16.0,33.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5094339622641509,53.0,20.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
43974,53.0,2015-09-22,141,0.0,3.0,50.0,0.0,0.0,0.25,16.0,33.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5094339622641509,53.0,20.0,0.0,0.3333333333333333,0.4375,32.0,41.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
43617,47.0,2015-08-03,144,1.0,0.0,33.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5094339622641509,53.0,20.0,0.0,0.3333333333333333,0.4375,32.0,41.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.56,25.0,0.0,0.0
43355,39.0,2015-07-01,163,1.0,2.0,2.0,1.0,0.6,0.5094339622641509,53.0,20.0,0.0,0.3333333333333333,0.4375,32.0,41.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.56,25.0,7.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
