,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46594,52.0,2016-09-08,142,1.0,3.0,3.0,1.0,1.0,0.6428571428571429,14.0,2.0,1.0,1.0,0.6333333333333333,30.0,1.0,1.0,1.0,0.6333333333333333,30.0,3.0,1.0,1.0,0.5757575757575758,33.0,58.0,0.0,0.25,0.4222222222222222,45.0,4.0,0.0
46587,52.0,2016-09-05,142,1.0,3.0,2.0,1.0,1.0,0.6333333333333333,30.0,1.0,1.0,1.0,0.6333333333333333,30.0,3.0,1.0,1.0,0.5757575757575758,33.0,58.0,0.0,0.25,0.4222222222222222,45.0,2.0,1.0,0.75,0.55,40.0,3.0,1.0
46577,52.0,2016-09-03,142,1.0,3.0,1.0,1.0,1.0,0.6333333333333333,30.0,3.0,1.0,1.0,0.5757575757575758,33.0,58.0,0.0,0.25,0.4222222222222222,45.0,2.0,1.0,0.75,0.55,40.0,3.0,1.0,1.0,0.76,25.0,2.0,1.0
46563,52.0,2016-09-02,142,1.0,3.0,3.0,1.0,1.0,0.5757575757575758,33.0,58.0,0.0,0.25,0.4222222222222222,45.0,2.0,1.0,0.75,0.55,40.0,3.0,1.0,1.0,0.76,25.0,13.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0
46524,52.0,2016-08-30,142,1.0,3.0,58.0,0.0,0.25,0.4222222222222222,45.0,2.0,1.0,0.75,0.55,40.0,3.0,1.0,1.0,0.76,25.0,13.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46027,39.0,2016-07-03,165,1.0,2.0,2.0,1.0,0.75,0.55,40.0,3.0,1.0,1.0,0.76,25.0,13.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6428571428571429,28.0,2.0,0.0
46009,39.0,2016-07-01,165,1.0,2.0,3.0,1.0,1.0,0.76,25.0,13.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6428571428571429,28.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0
45968,39.0,2016-06-28,165,1.0,2.0,13.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6428571428571429,28.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
45857,37.0,2016-06-15,166,1.0,2.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.6428571428571429,28.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.6666666666666666,18.0,34.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
45782,34.0,2016-06-11,223,1.0,2.0,1.0,1.0,0.6666666666666666,0.6428571428571429,28.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.6666666666666666,18.0,34.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0
45780,34.0,2016-06-10,223,1.0,2.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.6666666666666666,18.0,34.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,4.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0
45776,34.0,2016-06-09,223,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,18.0,34.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0
45764,34.0,2016-06-07,223,1.0,2.0,34.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
45505,29.0,2016-05-04,274,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,33.0,0.0,0.0,0.4,20.0,1.0,0.0
45485,29.0,2016-05-03,274,1.0,0.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,33.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0
45462,28.0,2016-04-29,337,1.0,0.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,33.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6842105263157895,19.0,12.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0
45458,28.0,2016-04-28,337,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,33.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6842105263157895,19.0,12.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0
45450,28.0,2016-04-27,337,1.0,0.0,33.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6842105263157895,19.0,12.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.75,16.0,19.0,0.0,0.0,0.4166666666666667,24.0,0.0,1.0
45147,20.0,2016-03-25,366,1.0,3.0,1.0,1.0,1.0,0.6842105263157895,19.0,12.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.75,16.0,19.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
