,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
19063,36.0,2006-06-29,447,1.0,2.0,2.0,1.0,0.6,0.5333333333333333,45.0,329.0,0.0,0.0,0.3684210526315789,19.0,43.0,0.0,0.0,0.36666666666666664,30.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
19011,36.0,2006-06-27,447,1.0,2.0,329.0,0.0,0.0,0.3684210526315789,19.0,43.0,0.0,0.0,0.36666666666666664,30.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,351.0,0.0,0.0,0.28,25.0,0.0,1.0
16557,47.0,2005-08-02,240,1.0,3.0,43.0,0.0,0.0,0.36666666666666664,30.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,351.0,0.0,0.0,0.28,25.0,12.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
16088,36.0,2005-06-20,212,1.0,2.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,351.0,0.0,0.0,0.28,25.0,12.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5135135135135135,37.0,0.0,0.0
15986,33.0,2005-06-08,205,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,18.0,351.0,0.0,0.0,0.28,25.0,12.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5135135135135135,37.0,349.0,0.0,0.25,0.39473684210526316,38.0,1.0,0.0
15970,33.0,2005-06-07,205,1.0,2.0,351.0,0.0,0.0,0.28,25.0,12.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5135135135135135,37.0,349.0,0.0,0.25,0.39473684210526316,38.0,7.0,0.0,0.3333333333333333,0.48717948717948717,39.0,0.0,1.0
13176,35.0,2004-06-21,301,1.0,2.0,12.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.5135135135135135,37.0,349.0,0.0,0.25,0.39473684210526316,38.0,7.0,0.0,0.3333333333333333,0.48717948717948717,39.0,344.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
13076,32.0,2004-06-09,326,1.0,2.0,2.0,1.0,0.6666666666666666,0.5135135135135135,37.0,349.0,0.0,0.25,0.39473684210526316,38.0,7.0,0.0,0.3333333333333333,0.48717948717948717,39.0,344.0,0.0,0.3333333333333333,0.45454545454545453,33.0,14.0,0.0,0.4,0.4423076923076923,52.0,1.0,0.0
13053,32.0,2004-06-07,326,1.0,2.0,349.0,0.0,0.25,0.39473684210526316,38.0,7.0,0.0,0.3333333333333333,0.48717948717948717,39.0,344.0,0.0,0.3333333333333333,0.45454545454545453,33.0,14.0,0.0,0.4,0.4423076923076923,52.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
10343,36.0,2003-06-24,458,1.0,2.0,7.0,0.0,0.3333333333333333,0.48717948717948717,39.0,344.0,0.0,0.3333333333333333,0.45454545454545453,33.0,14.0,0.0,0.4,0.4423076923076923,52.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
10244,34.0,2003-06-17,456,1.0,2.0,344.0,0.0,0.3333333333333333,0.45454545454545453,33.0,14.0,0.0,0.4,0.4423076923076923,52.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,252.0,0.0,0.0,0.4,20.0,0.0,0.0
7643,39.0,2002-07-08,175,1.0,2.0,14.0,0.0,0.4,0.4423076923076923,52.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,252.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
7472,36.0,2002-06-24,157,1.0,2.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,252.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
7385,34.0,2002-06-17,154,1.0,2.0,7.0,0.0,0.0,0.43478260869565216,23.0,252.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.38095238095238093,21.0,28.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
7337,33.0,2002-06-10,151,1.0,2.0,252.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.38095238095238093,21.0,28.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
5615,61.0,2001-10-01,145,1.0,3.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.38095238095238093,21.0,28.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.4090909090909091,22.0,35.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
5549,59.0,2001-09-24,148,1.0,0.0,14.0,0.0,0.0,0.38095238095238093,21.0,28.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.4090909090909091,22.0,35.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0,1.0,0.6333333333333333,30.0,0.0,0.0
5426,55.0,2001-09-10,131,1.0,3.0,28.0,0.0,0.0,0.43478260869565216,23.0,14.0,0.0,0.0,0.4090909090909091,22.0,35.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0,1.0,0.6333333333333333,30.0,7.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,0.0
5198,51.0,2001-08-13,123,1.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,35.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0,1.0,0.6333333333333333,30.0,7.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,1.0,0.6666666666666666,0.5,30.0,0.0,0.0
4999,48.0,2001-07-30,129,1.0,3.0,35.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0,1.0,0.6333333333333333,30.0,7.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,1.0,0.6666666666666666,0.5,30.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
4622,38.0,2001-06-25,182,1.0,2.0,0.0,1.0,1.0,0.6333333333333333,30.0,7.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,1.0,0.6666666666666666,0.5,30.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
4569,38.0,2001-06-25,182,1.0,2.0,7.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,1.0,0.6666666666666666,0.5,30.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.7058823529411765,17.0,203.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,1.0
4517,36.0,2001-06-18,189,1.0,2.0,0.0,1.0,0.6666666666666666,0.5,30.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.7058823529411765,17.0,203.0,0.0,0.3333333333333333,0.41935483870967744,31.0,70.0,0.0,0.0,0.4,20.0,1.0,0.0
