,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
30096,36.0,2010-06-21,143,1.0,2.0,100.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,393.0,0.0,0.0,0.43478260869565216,23.0,177.0,0.0,0.3333333333333333,0.34782608695652173,23.0,5.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
29255,19.0,2010-03-13,165,1.0,3.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,393.0,0.0,0.0,0.43478260869565216,23.0,177.0,0.0,0.3333333333333333,0.34782608695652173,23.0,5.0,0.0,0.0,0.4090909090909091,22.0,680.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
29228,19.0,2010-03-11,165,1.0,3.0,393.0,0.0,0.0,0.43478260869565216,23.0,177.0,0.0,0.3333333333333333,0.34782608695652173,23.0,5.0,0.0,0.0,0.4090909090909091,22.0,680.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
26286,12.0,2009-02-11,277,0.0,3.0,177.0,0.0,0.3333333333333333,0.34782608695652173,23.0,5.0,0.0,0.0,0.4090909090909091,22.0,680.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7142857142857143,14.0,0.0,0.0
25229,50.0,2008-08-18,293,1.0,3.0,5.0,0.0,0.0,0.4090909090909091,22.0,680.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7142857142857143,14.0,2.0,1.0,1.0,0.6666666666666666,12.0,0.0,0.0
25200,49.0,2008-08-13,293,1.0,3.0,680.0,0.0,0.0,0.29411764705882354,17.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7142857142857143,14.0,2.0,1.0,1.0,0.6666666666666666,12.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
20004,58.0,2006-10-03,119,1.0,3.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7142857142857143,14.0,2.0,1.0,1.0,0.6666666666666666,12.0,14.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.25,0.39473684210526316,38.0,0.0,0.0
19928,55.0,2006-09-29,126,0.0,3.0,1.0,1.0,1.0,0.7142857142857143,14.0,2.0,1.0,1.0,0.6666666666666666,12.0,14.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.25,0.39473684210526316,38.0,28.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
19920,55.0,2006-09-28,126,0.0,3.0,2.0,1.0,1.0,0.6666666666666666,12.0,14.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.25,0.39473684210526316,38.0,28.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0
19909,55.0,2006-09-26,126,0.0,3.0,14.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.25,0.39473684210526316,38.0,28.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6,20.0,13.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
19820,52.0,2006-09-12,106,1.0,3.0,13.0,0.0,0.25,0.39473684210526316,38.0,28.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6,20.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
19730,51.0,2006-08-30,108,1.0,3.0,28.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6,20.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,34.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
19484,47.0,2006-08-02,109,1.0,3.0,1.0,1.0,1.0,0.6,20.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,34.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
19471,47.0,2006-08-01,109,1.0,3.0,13.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,34.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,130.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0
19248,41.0,2006-07-19,103,1.0,3.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,34.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,130.0,0.0,0.3333333333333333,0.41379310344827586,29.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,0.0
19234,41.0,2006-07-18,103,1.0,3.0,34.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,130.0,0.0,0.3333333333333333,0.41379310344827586,29.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,28.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,1.0
